日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-05,BK0956,eSIM,1516.03,-1.28,197215232,3.26,29217776,0.48,167997456,2.78,-61114976,-1.01,-136100256,-2.25
2023-07-04,BK0956,eSIM,1535.69,0.87,120997152,2.44,128184912,2.59,-7187760,-0.15,-96964384,-1.96,-24032768,-0.48
2023-07-03,BK0956,eSIM,1522.41,-2.23,-413771040,-6.45,-280867616,-4.38,-132903424,-2.07,86489808,1.35,327281216,5.11
2023-06-30,BK0956,eSIM,1557.17,1.61,502155328,7.57,105570416,1.59,396584912,5.98,-275419296,-4.15,-226736032,-3.42
2023-06-29,BK0956,eSIM,1532.45,1.73,9611104,0.19,-115042464,-2.27,124653568,2.46,45718672,0.9,-55329792,-1.09
2023-06-28,BK0956,eSIM,1506.46,-2.09,-363867856,-6.96,-107859344,-2.06,-256008512,-4.9,80102800,1.53,283765040,5.43
2023-06-27,BK0956,eSIM,1538.67,1.99,137611856,2.8200000000000003,40858736,0.84,96753120,1.98,-25772240,-0.53,-111839616,-2.29
2023-06-26,BK0956,eSIM,1508.66,-3.69,-330557760,-5.87,-229611216,-4.07,-100946544,-1.79,57447520,1.02,273110240,4.85
2023-06-21,BK0956,eSIM,1566.45,-3.06,-903798960,-11.3,-809573904,-10.13,-94225056,-1.18,356812880,4.46,546986080,6.84
2023-06-20,BK0956,eSIM,1615.89,0.34,65306688,0.65,-10025712,-0.1,75332400,0.75,-76927152,-0.76,11620448,0.12
2023-06-19,BK0956,eSIM,1610.36,1.93,211477136,3.02,284471552,4.06,-72994416,-1.04,-167873472,-2.39,-43603664,-0.62
2023-06-16,BK0956,eSIM,1579.87,1.08,111297472,1.95,21623984,0.38,89673488,1.57,-70887792,-1.24,-40409696,-0.71
