日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-12,BK0831,万达概念,890.94,-1.07,-168547184,-5.94,-105657264,-3.73,-62889920,-2.22,3731552,0.13,164815632,5.8100000000000005
2023-07-11,BK0831,万达概念,900.6,1.31,-88643776,-3.0,-12779152,-0.43,-75864624,-2.5700000000000003,-59993696,-2.03,148637472,5.03
2023-07-10,BK0831,万达概念,888.93,1.3,88536448,3.9,26980592,1.19,61555856,2.71,11169088,0.49,-99705552,-4.4
2023-07-07,BK0831,万达概念,877.56,-0.18,-65535466,-3.65,-33799130,-1.88,-31736336,-1.77,13402880,0.75,52132592,2.91
2023-07-06,BK0831,万达概念,879.11,0.18,-108062344,-5.6,-83183704,-4.31,-24878640,-1.29,-13427344,-0.7000000000000001,121489680,6.29
2023-07-05,BK0831,万达概念,877.57,-0.73,-144939996,-6.42,-105549372,-4.68,-39390624,-1.74,26386496,1.17,118553488,5.25
2023-07-04,BK0831,万达概念,884.02,0.06,-136229552,-5.19,-57867600,-2.2,-78361952,-2.99,49211456,1.87,87018112,3.31
2023-07-03,BK0831,万达概念,883.46,1.32,95055552,2.98,71346768,2.24,23708784,0.74,-9331440,-0.29,-85724096,-2.69
2023-06-30,BK0831,万达概念,871.97,0.98,22453232,0.89,-21932608,-0.87,44385840,1.77,-27353984,-1.09,4900752,0.2
2023-06-29,BK0831,万达概念,863.49,0.0,22211029,1.04,46056437,2.16,-23845408,-1.12,-26106688,-1.22,3895664,0.18
2023-06-28,BK0831,万达概念,863.5,-0.54,-109522695,-4.61,-118528247,-4.99,9005552,0.38,-10829952,-0.46,120352624,5.07
2023-06-27,BK0831,万达概念,868.18,1.8,340417568,9.78,152906032,4.39,187511536,5.39,-102978128,-2.96,-237439440,-6.82
2023-06-26,BK0831,万达概念,852.82,-1.38,-349119400,-10.37,-263902584,-7.84,-85216816,-2.53,10614704,0.32,338504688,10.05
2023-06-21,BK0831,万达概念,864.79,-0.4,-51793920,-1.7000000000000002,-16172960,-0.53,-35620960,-1.17,-41378336,-1.36,93172256,3.05
2023-06-20,BK0831,万达概念,868.3,-0.6000000000000001,-180109056,-5.73,-181664752,-5.78,1555696,0.05,-19083888,-0.61,199192928,6.34
2023-06-19,BK0831,万达概念,873.57,-0.25,-605996800,-12.71,-527552800,-11.07,-78444000,-1.65,191076816,4.01,414919968,8.71
2023-06-16,BK0831,万达概念,875.73,0.71,215471728,4.38,157876576,3.21,57595152,1.17,-89005808,-1.81,-126465920,-2.5700000000000003
