日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-04,BK0643,上海自贸,2694.16,-0.15,-158353104,-3.16,-96534448,-1.93,-61818656,-1.23,-42314576,-0.84,200667680,4.0
2023-08-03,BK0643,上海自贸,2698.34,-0.41,-387616752,-7.98,-192031776,-3.95,-195584976,-4.03,87362624,1.8,300254160,6.18
2023-08-02,BK0643,上海自贸,2709.37,0.32,-125211872,-2.15,-62441936,-1.07,-62769936,-1.08,50809760,0.87,74402112,1.28
2023-08-01,BK0643,上海自贸,2700.82,0.11,-133650016,-2.19,-102372784,-1.67,-31277232,-0.51,-31987968,-0.52,165637968,2.71
2023-07-31,BK0643,上海自贸,2697.77,1.65,47518976,0.62,-25174080,-0.33,72693056,0.95,-205126688,-2.69,157607728,2.07
2023-07-28,BK0643,上海自贸,2653.96,1.6,117827936,1.98,152729872,2.5700000000000003,-34901936,-0.59,-170799792,-2.87,52971856,0.89
2023-07-27,BK0643,上海自贸,2612.27,-0.36,-217824592,-4.85,-69209600,-1.54,-148614992,-3.31,-9062512,-0.2,226887104,5.05
2023-07-26,BK0643,上海自贸,2621.61,0.35000000000000003,-148108720,-3.27,-100748560,-2.22,-47360160,-1.04,-96171552,-2.12,244280288,5.39
2023-07-24,BK0643,上海自贸,2562.19,-0.08,-214831097,-6.25,-116321209,-3.38,-98509888,-2.86,-10376240,-0.30000000000000004,225207344,6.55
2023-07-21,BK0643,上海自贸,2564.16,0.17,-194233242,-5.97,-84642138,-2.6,-109591104,-3.37,-11114752,-0.34,205348000,6.31
2023-07-20,BK0643,上海自贸,2559.91,-1.01,-269712595,-8.02,-176034707,-5.23,-93677888,-2.79,15592512,0.46,254120080,7.56
2023-07-19,BK0643,上海自贸,2585.96,0.23,-105795728,-2.92,-64795728,-1.79,-41000000,-1.13,-25849488,-0.71,131645216,3.63
2023-07-17,BK0643,上海自贸,2569.06,-0.18,18697264,0.54,80331536,2.34,-61634272,-1.8,-39677168,-1.16,20979904,0.61
2023-07-14,BK0643,上海自贸,2573.6,-0.41,-92136394,-2.45,-34479770,-0.92,-57656624,-1.53,75988576,2.02,16147808,0.43
2023-07-13,BK0643,上海自贸,2584.17,1.27,-87721857,-2.11,-36135137,-0.87,-51586720,-1.24,-61190016,-1.47,148911872,3.59
2023-07-12,BK0643,上海自贸,2551.88,-1.6,-159533586,-4.54,-53899506,-1.53,-105634080,-3.0,7951360,0.23,151582240,4.31
2023-07-11,BK0643,上海自贸,2593.43,0.67,-14774826,-0.43,-414922,-0.01,-14359904,-0.42,-24026704,-0.7000000000000001,38801536,1.13
2023-07-10,BK0643,上海自贸,2576.09,0.17,56504143,1.64,11602207,0.34,44901936,1.3,-64917216,-1.89,8413072,0.24
2023-07-07,BK0643,上海自贸,2571.79,-0.17,-187299239,-5.64,-81337271,-2.45,-105961968,-3.19,27416416,0.8300000000000001,159882832,4.82
2023-07-06,BK0643,上海自贸,2576.06,0.33,-82719232,-2.37,-7208496,-0.21,-75510736,-2.17,71159696,2.04,11559552,0.33
2023-07-05,BK0643,上海自贸,2567.66,-0.43,-152085920,-4.12,-41855040,-1.13,-110230880,-2.99,51659776,1.4,100426160,2.72
2023-07-04,BK0643,上海自贸,2578.84,0.49,-136040528,-3.33,-147518208,-3.61,11477680,0.28,66091568,1.62,69948960,1.71
2023-07-03,BK0643,上海自贸,2566.21,0.91,150167504,3.09,82061872,1.69,68105632,1.4,-166580688,-3.43,16413184,0.34
2023-06-30,BK0643,上海自贸,2543.08,1.01,-39505616,-1.0,23908208,0.61,-63413824,-1.61,-86183680,-2.19,125689280,3.19
2023-06-29,BK0643,上海自贸,2517.73,0.02,-194956422,-5.5,-87678198,-2.47,-107278224,-3.03,72845744,2.06,122110672,3.45
2023-06-28,BK0643,上海自贸,2517.33,0.0,-82521246,-2.56,-44539950,-1.38,-37981296,-1.18,13527456,0.42,68993792,2.14
2023-06-27,BK0643,上海自贸,2517.39,1.43,90848098,2.33,39343314,1.01,51504784,1.32,-56315456,-1.45,-34532624,-0.89
2023-06-26,BK0643,上海自贸,2482.01,-2.02,-263862049,-5.73,-145526257,-3.16,-118335792,-2.5700000000000003,51863520,1.13,211998528,4.6
2023-06-21,BK0643,上海自贸,2533.3,-1.44,-149351152,-3.41,-138864832,-3.17,-10486320,-0.24,17205200,0.39,132145952,3.02
2023-06-20,BK0643,上海自贸,2570.42,-1.53,-315028760,-7.7,-216633656,-5.29,-98395104,-2.4,93700032,2.29,221328720,5.41
2023-06-19,BK0643,上海自贸,2610.46,-1.0,-219627808,-4.44,-145534912,-2.94,-74092896,-1.5,94503952,1.91,125123824,2.53
2023-06-16,BK0643,上海自贸,2636.94,-0.12,39317360,0.67,104563456,1.78,-65246096,-1.11,-168602192,-2.87,129284832,2.2
