日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-01,BK1005,专精特新,955.38,-0.12,-674497664,-1.12,-353848960,-0.59,-320648704,-0.53,79289344,0.13,576289792,0.96
2023-07-31,BK1005,专精特新,956.51,0.24,-1423495888,-2.22,-752002256,-1.17,-671493632,-1.05,654205184,1.02,768231936,1.2
2023-07-28,BK1005,专精特新,954.22,-0.05,-2544458608,-3.96,-1246945392,-1.94,-1297513216,-2.02,456604928,0.71,2004515328,3.12
2023-07-27,BK1005,专精特新,954.66,-0.65,-1949799168,-3.24,-713932544,-1.19,-1235866624,-2.06,482781440,0.8,1419478784,2.36
2023-07-26,BK1005,专精特新,960.88,-0.93,-2677736512,-5.12,-1035900480,-1.98,-1641836032,-3.14,323217408,0.62,2281661696,4.36
2023-07-24,BK1005,专精特新,956.97,-0.19,-1509056048,-3.01,-471451952,-0.94,-1037604096,-2.07,-456780288,-0.91,1980255232,3.95
2023-07-21,BK1005,专精特新,958.82,-1.15,-3222108464,-5.5,-1049270576,-1.79,-2172837888,-3.71,-140591360,-0.24,3330111744,5.69
2023-07-20,BK1005,专精特新,970.01,-1.59,-3464303568,-5.1,-1318859728,-1.94,-2145443840,-3.16,-158575616,-0.23,3524866304,5.19
2023-07-19,BK1005,专精特新,985.64,-0.79,-2788935312,-4.47,-1030584208,-1.65,-1758351104,-2.8200000000000003,-179578624,-0.29,2888142848,4.62
2023-07-17,BK1005,专精特新,994.83,-0.38,-2867387008,-3.95,-1123088512,-1.55,-1744298496,-2.4,627391488,0.86,2199324416,3.03
2023-07-14,BK1005,专精特新,998.67,0.12,-1241554688,-1.49,-199323392,-0.24,-1042231296,-1.25,255492864,0.31,1022355456,1.23
2023-07-13,BK1005,专精特新,997.43,1.12,-566044160,-0.72,18775296,0.02,-584819456,-0.75,63200512,0.08,532378112,0.68
2023-07-12,BK1005,专精特新,986.4,-1.24,-3639178080,-4.46,-1374232928,-1.6800000000000002,-2264945152,-2.77,697147392,0.85,2825508864,3.46
2023-07-11,BK1005,专精特新,998.81,1.27,-403352784,-0.58,169627952,0.24,-572980736,-0.8200000000000001,-136098304,-0.19,504763392,0.72
2023-07-10,BK1005,专精特新,986.31,-0.24,-2259450112,-3.37,-991604224,-1.48,-1267845888,-1.89,330514176,0.49,1870236928,2.79
2023-07-07,BK1005,专精特新,988.73,-1.11,-3620678784,-4.95,-1279832704,-1.75,-2340846080,-3.2,159887360,0.22,3397204480,4.65
2023-07-06,BK1005,专精特新,999.82,0.11,-1603904512,-2.05,-142027008,-0.18,-1461877504,-1.87,-269936384,-0.35000000000000003,1837499136,2.35
2023-07-05,BK1005,专精特新,998.77,-0.65,-3096226304,-3.61,-1153962752,-1.35,-1942263552,-2.27,134346496,0.16,2909252096,3.4
2023-07-04,BK1005,专精特新,1005.29,1.27,-1250464256,-1.46,-207609856,-0.24,-1042854400,-1.22,-49593600,-0.06,1282726400,1.5
2023-07-03,BK1005,专精特新,992.66,-0.18,-1776632320,-1.86,-392482560,-0.41,-1384149760,-1.45,-417193216,-0.44,2114407936,2.21
2023-06-30,BK1005,专精特新,994.44,1.26,-912348416,-0.99,-318499840,-0.34,-593848576,-0.64,-169487872,-0.18,1054245632,1.14
2023-06-29,BK1005,专精特新,982.02,2.05,511354880,0.6000000000000001,1116892928,1.3,-605538048,-0.71,-464689664,-0.54,13988096,0.02
2023-06-28,BK1005,专精特新,962.26,-0.25,-2542937088,-3.21,-838285568,-1.06,-1704651520,-2.15,-268524800,-0.34,2821899520,3.56
2023-06-27,BK1005,专精特新,964.7,1.19,-1710639152,-2.34,-825342512,-1.13,-885296640,-1.21,-44153344,-0.06,1727530496,2.36
2023-06-26,BK1005,专精特新,953.31,-1.64,-3714788864,-4.2,-1643909376,-1.86,-2070879488,-2.34,264014336,0.30000000000000004,3396360704,3.84
2023-06-21,BK1005,专精特新,969.2,-1.45,-4546696704,-4.9,-1826931968,-1.97,-2719764736,-2.93,211509504,0.23,4291292160,4.63
2023-06-20,BK1005,专精特新,983.43,0.29,-2167560704,-2.18,-1177934848,-1.18,-989625856,-0.99,307798016,0.31,1841589248,1.85
2023-06-19,BK1005,专精特新,980.56,1.01,-403869440,-0.42,465363968,0.48,-869233408,-0.9,-448335360,-0.46,883305472,0.92
2023-06-16,BK1005,专精特新,970.76,0.6900000000000001,-1073454080,-1.24,55448320,0.06,-1128902400,-1.31,541102080,0.63,542211328,0.63
