日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-19,BK0838,东北振兴,997.53,0.25,-145893280,-2.4,-90325648,-1.48,-55567632,-0.91,-38743168,-0.64,184636448,3.03
2023-07-17,BK0838,东北振兴,990.71,0.16,-387034752,-5.89,-85297152,-1.3,-301737600,-4.59,-41324176,-0.63,428358912,6.52
2023-07-14,BK0838,东北振兴,989.1,0.08,-389882288,-5.02,-145188720,-1.87,-244693568,-3.15,-17601856,-0.23,407484144,5.25
2023-07-13,BK0838,东北振兴,988.27,0.64,50790304,0.66,120918528,1.56,-70128224,-0.9,-318070608,-4.1,267280320,3.45
2023-07-12,BK0838,东北振兴,981.96,-0.71,-168977968,-2.54,6853904,0.1,-175831872,-2.65,-105752864,-1.59,274730816,4.14
2023-07-11,BK0838,东北振兴,989.0,0.84,-203905118,-3.68,-122297438,-2.21,-81607680,-1.47,11553776,0.21,192351344,3.48
2023-07-10,BK0838,东北振兴,980.73,0.42,53065184,0.85,8288512,0.13,44776672,0.72,-5602880,-0.09,-47462304,-0.76
2023-07-07,BK0838,东北振兴,976.65,0.1,-238454608,-4.27,-113432816,-2.03,-125021792,-2.24,5821152,0.1,232633440,4.16
2023-07-06,BK0838,东北振兴,975.65,-0.24,-284576592,-4.5600000000000005,-228614128,-3.67,-55962464,-0.9,24808720,0.4,259767872,4.17
2023-07-05,BK0838,东北振兴,978.04,-0.23,-301059856,-3.94,-142252576,-1.86,-158807280,-2.08,-33059248,-0.43,334119120,4.37
2023-07-04,BK0838,东北振兴,980.32,0.73,-102256464,-1.14,43675808,0.49,-145932272,-1.63,-81142608,-0.91,183399056,2.05
2023-07-03,BK0838,东北振兴,973.25,1.1,289833104,3.26,442748112,4.98,-152915008,-1.72,-215289312,-2.42,-74543792,-0.84
2023-06-30,BK0838,东北振兴,962.64,1.07,-55354256,-0.84,48133952,0.73,-103488208,-1.56,-54359584,-0.8200000000000001,109713840,1.66
2023-06-29,BK0838,东北振兴,952.43,0.59,-48784976,-0.81,43538656,0.73,-92323632,-1.54,57358576,0.96,-8573600,-0.14
2023-06-28,BK0838,东北振兴,946.83,0.2,-122849664,-1.89,-57942208,-0.89,-64907456,-1.0,-47257008,-0.73,170106656,2.62
2023-06-27,BK0838,东北振兴,944.93,1.83,-58210608,-1.01,-118284992,-2.05,60074384,1.04,-69371168,-1.2,127581776,2.21
2023-06-26,BK0838,东北振兴,927.91,-1.67,-392867888,-5.52,-185420640,-2.6,-207447248,-2.91,-42466480,-0.6000000000000001,435334368,6.11
2023-06-21,BK0838,东北振兴,943.63,-0.76,-432301872,-6.36,-162777072,-2.4,-269524800,-3.97,11750432,0.17,420551456,6.19
2023-06-20,BK0838,东北振兴,950.87,-0.53,-145747936,-2.04,-130893600,-1.83,-14854336,-0.21,2094336,0.03,143653632,2.01
2023-06-19,BK0838,东北振兴,955.92,-0.58,-337978624,-4.99,-223847520,-3.31,-114131104,-1.69,-21162800,-0.31,359141424,5.31
2023-06-16,BK0838,东北振兴,961.5,0.68,-147624848,-2.02,-94539648,-1.3,-53085200,-0.73,-2375904,-0.03,150000752,2.06
