日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-05,BK0685,举牌,2130.58,-0.32,-49957743,-6.45,-28077976,-3.62,-21879767,-2.8200000000000003,7171832,0.93,42785904,5.52
2023-07-04,BK0685,举牌,2137.39,-0.02,-12236065,-1.28,-32916584,-3.45,20680519,2.16,4780496,0.5,7455552,0.78
2023-07-03,BK0685,举牌,2137.79,0.52,-7638896,-0.56,2133602,0.16,-9772498,-0.72,19236976,1.41,-11598080,-0.85
2023-06-30,BK0685,举牌,2126.71,0.95,86571170,5.5,59806754,3.8,26764416,1.7000000000000002,-24782912,-1.57,-61788256,-3.93
2023-06-29,BK0685,举牌,2106.64,1.21,49261721,4.07,39400205,3.26,9861516,0.8200000000000001,7130848,0.59,-56392576,-4.66
2023-06-28,BK0685,举牌,2081.47,1.53,-2364524,-0.23,9291050,0.9,-11655574,-1.13,-18254320,-1.77,20618848,2.0
2023-06-27,BK0685,举牌,2050.07,4.3,50580434,4.93,47128768,4.6,3451666,0.34,5298016,0.52,-55878448,-5.45
2023-06-26,BK0685,举牌,1965.63,0.45,-17479064,-2.12,-21896645,-2.66,4417581,0.54,7455184,0.91,10023872,1.22
2023-06-21,BK0685,举牌,1956.74,-1.16,-47198134,-6.09,-5772426,-0.75,-41425708,-5.35,11558121,1.49,35640000,4.6
2023-06-20,BK0685,举牌,1979.73,-1.1,-32330057,-3.65,-3670395,-0.41,-28659662,-3.24,-21499440,-2.43,53829488,6.08
2023-06-19,BK0685,举牌,2001.65,-1.15,-62428201,-5.53,10144783,0.9,-72572984,-6.43,2263568,0.2,60164640,5.33
2023-06-16,BK0685,举牌,2025.02,0.76,69376484,6.03,15639631,1.36,53736853,4.67,-27541712,-2.39,-41834768,-3.63
