日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-07,BK0834,乡村振兴,1360.61,0.71,628033728,3.44,697271872,3.82,-69238144,-0.38,-235634944,-1.29,-392398848,-2.15
2023-07-06,BK0834,乡村振兴,1350.98,-0.03,-294265952,-2.35,-244046544,-1.95,-50219408,-0.4,55088640,0.44,239177344,1.91
2023-07-05,BK0834,乡村振兴,1351.36,-0.31,-541388336,-3.78,-221954304,-1.55,-319434032,-2.23,-4071936,-0.03,545460224,3.81
2023-07-04,BK0834,乡村振兴,1355.63,0.2,-348729520,-2.39,-135021376,-0.93,-213708144,-1.47,-173387008,-1.19,522116352,3.58
2023-07-03,BK0834,乡村振兴,1352.97,0.92,151614976,0.98,453442800,2.93,-301827824,-1.95,-164647936,-1.06,13033216,0.08
2023-06-30,BK0834,乡村振兴,1340.6,1.0,-583504944,-4.15,-197728864,-1.41,-385776080,-2.74,129025024,0.92,454479872,3.23
2023-06-29,BK0834,乡村振兴,1327.28,0.54,-303402080,-2.23,-262419952,-1.93,-40982128,-0.30000000000000004,8433920,0.06,294968064,2.16
2023-06-28,BK0834,乡村振兴,1320.18,-0.17,-783562352,-5.32,-357138080,-2.42,-426424272,-2.89,293341440,1.99,490220800,3.33
2023-06-27,BK0834,乡村振兴,1322.37,2.04,-210978224,-1.52,-663456,0.0,-210314768,-1.51,-47774720,-0.34,258753024,1.86
2023-06-26,BK0834,乡村振兴,1295.93,-1.71,-1302042656,-7.89,-644706128,-3.91,-657336528,-3.98,149499392,0.91,1152543232,6.98
2023-06-21,BK0834,乡村振兴,1318.54,-1.6800000000000002,-1580466528,-9.06,-986430320,-5.65,-594036208,-3.4,128745472,0.74,1451720960,8.32
2023-06-20,BK0834,乡村振兴,1341.04,-1.1,-766269120,-5.04,-469903424,-3.09,-296365696,-1.95,-7026688,-0.05,773295664,5.09
2023-06-19,BK0834,乡村振兴,1355.9,-0.35000000000000003,-551219824,-3.08,-144462448,-0.81,-406757376,-2.27,-25268480,-0.14,576488192,3.22
2023-06-16,BK0834,乡村振兴,1360.69,0.9,129360416,0.79,28497088,0.17,100863328,0.62,-49231616,-0.30000000000000004,-80128768,-0.49
