日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-03,BK0579,云计算,2461.35,-0.19,-1905404672,-2.4,-255448320,-0.32,-1649956352,-2.08,-114403328,-0.14,2019688448,2.54
2023-08-02,BK0579,云计算,2465.92,0.13,-1464892672,-1.92,-440437760,-0.58,-1024454912,-1.34,92281600,0.12,1371199744,1.8
2023-08-01,BK0579,云计算,2462.82,0.33,-111839232,-0.12,381734912,0.42,-493574144,-0.54,-505146880,-0.55,611708928,0.67
2023-07-31,BK0579,云计算,2454.62,0.73,-1839315200,-1.84,-605290496,-0.6000000000000001,-1234024704,-1.23,186280192,0.19,1652163072,1.65
2023-07-28,BK0579,云计算,2436.91,0.78,2698646528,2.83,4360855552,4.57,-1662209024,-1.74,-2444086528,-2.56,-258699008,-0.27
2023-07-27,BK0579,云计算,2418.0,-1.21,-4855815936,-7.01,-2359736320,-3.41,-2496079616,-3.6,651834880,0.94,4204041984,6.07
2023-07-26,BK0579,云计算,2447.51,-2.02,-6806162944,-8.03,-3944064768,-4.65,-2862098176,-3.38,1436006144,1.69,5351770112,6.31
2023-07-24,BK0579,云计算,2455.5,0.93,1347488000,1.6800000000000002,2554750464,3.18,-1207262464,-1.51,-1509713408,-1.88,171238912,0.21
2023-07-21,BK0579,云计算,2432.87,-0.84,-5237992960,-7.5,-2892486656,-4.14,-2345506304,-3.36,645699840,0.92,4589445632,6.57
2023-07-20,BK0579,云计算,2453.41,-2.33,-9792493824,-10.89,-6508238848,-7.24,-3284254976,-3.65,1619345664,1.8,8165622528,9.08
2023-07-19,BK0579,云计算,2511.95,0.27,-2151472384,-2.85,-1040976896,-1.38,-1110495488,-1.47,-28999680,-0.04,2186001920,2.89
2023-07-17,BK0579,云计算,2548.05,-0.04,-3898955264,-3.75,-2324792064,-2.24,-1574163200,-1.51,602482176,0.58,3292644096,3.17
2023-07-14,BK0579,云计算,2549.16,2.65,3441092096,2.65,2812377088,2.17,628715008,0.48,-840267776,-0.65,-2597723392,-2.0
2023-07-13,BK0579,云计算,2483.28,1.55,1646310912,1.67,2154987264,2.18,-508676352,-0.51,-1752524288,-1.77,111307520,0.11
2023-07-12,BK0579,云计算,2445.32,-2.75,-12757972224,-11.9,-8349195264,-7.79,-4408776960,-4.11,2656499968,2.48,10087834368,9.41
2023-07-11,BK0579,云计算,2514.42,0.41,73837312,0.08,1256682240,1.43,-1182844928,-1.35,-962554624,-1.1,896479744,1.02
2023-07-10,BK0579,云计算,2504.09,-0.26,-3035297280,-4.01,-2110896640,-2.79,-924400640,-1.22,564679680,0.75,2463980032,3.25
2023-07-07,BK0579,云计算,2510.57,-1.88,-6133827072,-6.25,-3797622016,-3.87,-2336205056,-2.38,518927104,0.53,5601153024,5.71
2023-07-06,BK0579,云计算,2558.78,0.26,-44989440,-0.05,512532992,0.53,-557522432,-0.58,-999519232,-1.04,1047149824,1.08
2023-07-05,BK0579,云计算,2552.26,-1.16,-6430304768,-6.75,-4063816704,-4.26,-2366488064,-2.48,1163264768,1.22,5276305920,5.53
2023-07-04,BK0579,云计算,2582.28,0.8,-788162560,-0.78,204978432,0.2,-993140992,-0.98,-340583936,-0.34,1118819584,1.1
2023-07-03,BK0579,云计算,2561.66,0.0,-2961146880,-2.48,-2426934272,-2.03,-534212608,-0.45,1049891840,0.88,1901401344,1.59
2023-06-30,BK0579,云计算,2561.62,0.59,-156093440,-0.15,-72881920,-0.07,-83211520,-0.08,-902899712,-0.84,1059665920,0.99
2023-06-29,BK0579,云计算,2546.48,1.14,-3137493504,-2.78,-1062362880,-0.94,-2075130624,-1.84,311375872,0.28,2811121408,2.49
2023-06-28,BK0579,云计算,2517.73,-2.25,-5985291008,-5.02,-3924838144,-3.29,-2060452864,-1.73,878563584,0.74,5100413696,4.28
2023-06-27,BK0579,云计算,2575.74,1.04,-2474372096,-2.36,-1230850048,-1.18,-1243522048,-1.19,556368896,0.53,1919944448,1.83
2023-06-26,BK0579,云计算,2549.34,-5.23,-12106100224,-8.48,-6373731584,-4.46,-5732368640,-4.01,271542528,0.19,11823261184,8.28
2023-06-21,BK0579,云计算,2689.97,-3.76,-14739909632,-9.1,-10322900480,-6.37,-4417009152,-2.73,2116963328,1.31,12606544128,7.78
2023-06-20,BK0579,云计算,2795.05,0.02,-1655424256,-0.91,357513984,0.2,-2012938240,-1.11,-1773928704,-0.98,3444829184,1.9
2023-06-19,BK0579,云计算,2794.48,2.12,-977111552,-0.56,1655711232,0.95,-2632822784,-1.51,-487241472,-0.28,1465527040,0.84
2023-06-16,BK0579,云计算,2736.52,2.41,3740090112,2.44,4231345664,2.77,-491255552,-0.32,-1868238080,-1.22,-1888247296,-1.23
