日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-01,BK0684,京津冀,1552.19,-0.2,-1160998528,-8.29,-801677280,-5.72,-359321248,-2.56,208335296,1.49,952663200,6.8
2023-07-31,BK0684,京津冀,1555.28,2.2,115516288,0.78,332059856,2.25,-216543568,-1.47,-247009024,-1.6800000000000002,131492848,0.89
2023-07-28,BK0684,京津冀,1521.82,0.92,451507168,3.59,518901504,4.13,-67394336,-0.54,-414942944,-3.3,-36564208,-0.29
2023-07-27,BK0684,京津冀,1507.98,-0.92,-672398832,-4.94,-235399616,-1.73,-436999216,-3.21,116922112,0.86,555476688,4.08
2023-07-26,BK0684,京津冀,1522.01,1.02,-276113264,-2.31,-7817680,-0.07,-268295584,-2.25,-51452432,-0.43,327565696,2.74
2023-07-24,BK0684,京津冀,1465.11,0.05,-634220688,-6.95,-285362208,-3.13,-348858480,-3.82,84612816,0.93,549607872,6.02
2023-07-21,BK0684,京津冀,1464.38,1.55,189623920,2.31,152974720,1.86,36649200,0.45,-111617392,-1.36,-78006544,-0.95
2023-07-20,BK0684,京津冀,1442.05,-0.37,-544109808,-7.07,-178062656,-2.31,-366047152,-4.76,-6891344,-0.09,551001136,7.16
2023-07-19,BK0684,京津冀,1447.47,0.9,-40309456,-0.6900000000000001,149685552,2.5700000000000003,-189995008,-3.27,-17276224,-0.30000000000000004,57585696,0.99
2023-07-17,BK0684,京津冀,1430.93,-0.07,-121908336,-1.86,84207136,1.28,-206115472,-3.14,-76924000,-1.17,198832352,3.03
2023-07-14,BK0684,京津冀,1431.99,0.35000000000000003,68897760,1.1,95355616,1.53,-26457856,-0.42,-14714416,-0.24,-54183344,-0.87
2023-07-13,BK0684,京津冀,1426.98,0.35000000000000003,-209787152,-3.23,-153199360,-2.36,-56587792,-0.87,-4096080,-0.06,213883232,3.29
2023-07-12,BK0684,京津冀,1421.99,-1.07,-324196192,-5.61,-51719200,-0.9,-272476992,-4.72,-91821744,-1.59,416017952,7.2
2023-07-11,BK0684,京津冀,1437.43,0.4,-370735856,-6.07,-173675744,-2.84,-197060112,-3.23,12200560,0.2,358535296,5.87
2023-07-10,BK0684,京津冀,1431.75,0.35000000000000003,-85883568,-1.54,-30088176,-0.54,-55795392,-1.0,-87602496,-1.57,173486080,3.11
2023-07-07,BK0684,京津冀,1426.82,-0.2,-348691968,-5.57,-205619600,-3.28,-143072368,-2.28,47284208,0.75,301407776,4.8100000000000005
2023-07-06,BK0684,京津冀,1429.65,0.8300000000000001,113681712,1.74,83056176,1.27,30625536,0.47,-37371696,-0.5700000000000001,-76310000,-1.17
2023-07-05,BK0684,京津冀,1417.93,-0.35000000000000003,-242996832,-3.81,-101429616,-1.59,-141567216,-2.22,-44589664,-0.7000000000000001,287586480,4.51
2023-07-04,BK0684,京津冀,1422.97,-0.33,-273040704,-4.09,-76960416,-1.15,-196080288,-2.93,27915072,0.42,245125648,3.67
2023-07-03,BK0684,京津冀,1427.75,1.29,20459472,0.25,46806480,0.56,-26347008,-0.32,97184816,1.16,-117644288,-1.41
2023-06-30,BK0684,京津冀,1409.55,0.92,-120401088,-1.82,-108690768,-1.64,-11710320,-0.18,-73319264,-1.11,193720352,2.93
2023-06-29,BK0684,京津冀,1396.72,-0.22,-194691088,-2.67,-179476016,-2.46,-15215072,-0.21,-7740480,-0.11,202431568,2.77
2023-06-28,BK0684,京津冀,1399.77,0.06,-593242960,-6.58,-362551568,-4.02,-230691392,-2.56,234972784,2.61,358270160,3.98
2023-06-27,BK0684,京津冀,1398.87,3.0,167698208,2.15,171846704,2.2,-4148496,-0.05,-142305728,-1.83,-25392480,-0.33
2023-06-26,BK0684,京津冀,1358.14,-1.48,-311859984,-4.59,-136192480,-2.0,-175667504,-2.58,-91626656,-1.35,403486640,5.93
2023-06-21,BK0684,京津冀,1378.57,-1.16,-474329744,-6.07,-276676544,-3.54,-197653200,-2.53,31437104,0.4,442892640,5.66
2023-06-20,BK0684,京津冀,1394.68,-1.42,-354176560,-4.28,-207178112,-2.5,-146998448,-1.78,20366752,0.25,333809824,4.03
2023-06-19,BK0684,京津冀,1414.72,-1.09,-344119872,-3.66,-131372560,-1.4,-212747312,-2.26,13104416,0.14,331015472,3.52
2023-06-16,BK0684,京津冀,1430.34,0.7000000000000001,-37426848,-0.38,105250272,1.07,-142677120,-1.45,42713376,0.43,-5286528,-0.05
