日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0866,人造肉,987.59,-0.15,-88257536,-6.35,-37192316,-2.67,-51065220,-3.67,-19666736,-1.41,107924272,7.76
2023-09-04,BK0866,人造肉,997.33,1.55,87622800,3.52,9887088,0.4,77735712,3.12,-66927840,-2.69,-20694960,-0.8300000000000001
2023-08-31,BK0866,人造肉,966.96,-0.02,74941133,4.66,-7338931,-0.46,82280064,5.11,-10690576,-0.66,-64250560,-3.99
2023-08-29,BK0866,人造肉,975.07,2.3,131406952,7.92,14833864,0.89,116573088,7.03,-32222352,-1.94,-99184592,-5.98
2023-08-28,BK0866,人造肉,953.14,0.16,-85580255,-4.35,-77523519,-3.94,-8056736,-0.41,58336368,2.97,27243888,1.39
2023-08-25,BK0866,人造肉,951.64,-1.28,-5236026,-0.37,-7868746,-0.56,2632720,0.19,11992400,0.85,-6756384,-0.48
2023-08-24,BK0866,人造肉,964.01,1.39,28309516,2.43,54155833,4.65,-25846317,-2.22,17553904,1.51,-45863424,-3.94
2023-08-23,BK0866,人造肉,950.84,-0.98,-40791084,-4.94,-25583325,-3.1,-15207759,-1.84,-16819165,-2.04,57610240,6.98
2023-08-21,BK0866,人造肉,969.1,-0.56,21697280,2.01,-4981487,-0.46,26678767,2.47,-19036640,-1.76,-2660640,-0.25
2023-08-18,BK0866,人造肉,974.54,-1.81,-38627975,-3.25,-16069592,-1.35,-22558383,-1.9,-19810080,-1.67,58438048,4.92
2023-08-16,BK0866,人造肉,984.56,0.19,68405923,4.54,17146115,1.14,51259808,3.4,-6366288,-0.42,-62039648,-4.12
2023-08-15,BK0866,人造肉,982.71,-0.63,-26702618,-2.37,-379828,-0.03,-26322790,-2.34,41445424,3.68,-14742816,-1.31
2023-08-14,BK0866,人造肉,988.96,-0.42,-16877636,-1.41,-11036087,-0.92,-5841549,-0.49,-23004656,-1.93,39882288,3.34
2023-08-11,BK0866,人造肉,993.14,-1.85,-67518509,-5.64,-13228414,-1.1,-54290095,-4.53,13449680,1.12,54068832,4.52
2023-08-10,BK0866,人造肉,1011.87,0.78,-14221517,-1.19,2536391,0.21,-16757908,-1.4,5174944,0.43,9046576,0.76
2023-08-09,BK0866,人造肉,1004.05,0.0,22899293,2.11,58152920,5.37,-35253627,-3.25,3486512,0.32,-26385808,-2.44
2023-08-08,BK0866,人造肉,1004.02,0.26,-26439168,-2.07,-20045972,-1.57,-6393196,-0.5,9406000,0.74,17033168,1.33
2023-08-07,BK0866,人造肉,1001.38,0.19,-64427225,-4.04,3824727,0.24,-68251952,-4.28,26198848,1.64,38228368,2.4
