日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0938,代糖概念,899.59,0.23,-14097191,-2.01,-22270587,-3.17,8173396,1.16,29827073,4.24,-15729872,-2.24
2023-09-04,BK0938,代糖概念,903.43,0.86,25166875,2.87,4104319,0.47,21062556,2.4,-37595174,-4.29,12428288,1.42
2023-08-31,BK0938,代糖概念,892.46,-0.05,45852284,4.83,5589307,0.59,40262977,4.24,-20394832,-2.15,-25457456,-2.68
2023-08-29,BK0938,代糖概念,886.28,1.95,25303519,2.5,12826214,1.27,12477305,1.23,-6283472,-0.62,-19020048,-1.88
2023-08-28,BK0938,代糖概念,869.34,0.64,-50881983,-4.23,-11318125,-0.94,-39563858,-3.29,28574208,2.38,22307792,1.86
2023-08-25,BK0938,代糖概念,863.77,-1.25,9859436,1.57,-5824544,-0.93,15683980,2.5,-28072612,-4.48,18213184,2.9
2023-08-24,BK0938,代糖概念,874.74,0.95,-32414960,-5.33,6992663,1.15,-39407623,-6.47,-12814717,-2.11,45229677,7.43
2023-08-23,BK0938,代糖概念,866.48,-1.54,-7592771,-1.25,-1105000,-0.18,-6487771,-1.06,254788,0.04,7337984,1.2
2023-08-21,BK0938,代糖概念,881.64,-1.01,-35215049,-5.76,-6116191,-1.0,-29098858,-4.76,4006446,0.66,31208608,5.11
2023-08-18,BK0938,代糖概念,890.65,-1.77,-20884019,-3.32,-14079009,-2.23,-6805010,-1.08,6477395,1.03,14406624,2.29
2023-08-16,BK0938,代糖概念,898.22,-0.65,-21523790,-3.42,-11548952,-1.83,-9974838,-1.58,-9657630,-1.53,31181408,4.95
2023-08-15,BK0938,代糖概念,904.1,-0.14,-30763389,-4.03,-25472716,-3.33,-5290673,-0.6900000000000001,-6425250,-0.84,37188640,4.87
2023-08-14,BK0938,代糖概念,905.4,-0.11,-18013635,-2.39,-10114204,-1.34,-7899431,-1.05,-26072238,-3.46,44085872,5.85
2023-08-11,BK0938,代糖概念,906.39,-1.22,9756251,1.18,9857071,1.2,-100820,-0.01,-4771631,-0.58,-4984624,-0.6000000000000001
2023-08-10,BK0938,代糖概念,917.59,0.23,-41103093,-6.94,-14625089,-2.47,-26478004,-4.47,20037484,3.38,21065615,3.55
2023-08-09,BK0938,代糖概念,915.5,-0.36,6607288,0.97,-908862,-0.13,7516150,1.11,-19329021,-2.84,12721744,1.87
2023-08-08,BK0938,代糖概念,918.82,0.18,-42830884,-5.12,-22045334,-2.64,-20785550,-2.49,-11093312,-1.33,53924192,6.45
2023-08-07,BK0938,代糖概念,917.13,-1.06,-27257875,-2.81,-27630264,-2.85,372389,0.04,-5968912,-0.62,33226768,3.42
2023-08-04,BK0938,代糖概念,926.94,-1.16,-25155005,-2.06,-24107212,-1.98,-1047793,-0.09,-21221024,-1.74,46376016,3.8
2023-08-03,BK0938,代糖概念,937.81,0.5,-21508998,-2.62,2780533,0.34,-24289531,-2.96,18527684,2.26,2981312,0.36
2023-08-02,BK0938,代糖概念,933.17,-0.47,-40662879,-5.67,-22865408,-3.19,-17797471,-2.48,-8141125,-1.14,48804000,6.8100000000000005
2023-08-01,BK0938,代糖概念,937.59,-0.51,-42413381,-3.92,4106852,0.38,-46520233,-4.3,26421744,2.44,15991632,1.48
2023-07-31,BK0938,代糖概念,942.37,0.45,-94384853,-8.36,-34811653,-3.08,-59573200,-5.28,42068832,3.73,52316016,4.63
2023-07-28,BK0938,代糖概念,938.18,0.8200000000000001,-29649977,-2.73,30123876,2.77,-59773853,-5.5,-12995008,-1.2,42644960,3.92
2023-07-27,BK0938,代糖概念,930.58,-0.74,-33243831,-2.83,-36451301,-3.11,3207470,0.27,-5023280,-0.43,38267120,3.26
2023-07-26,BK0938,代糖概念,937.48,0.07,-20272738,-2.18,-3857240,-0.41,-16415498,-1.77,-45759616,-4.92,66032352,7.1
2023-07-24,BK0938,代糖概念,930.69,-0.78,-72715241,-6.32,10461090,0.91,-83176331,-7.23,5606480,0.49,67108768,5.83
2023-07-21,BK0938,代糖概念,938.03,0.78,-54573903,-4.8100000000000005,-16634903,-1.46,-37939000,-3.34,11455392,1.01,43118512,3.8
2023-07-20,BK0938,代糖概念,930.76,-0.87,-68451698,-6.11,-43622967,-3.9,-24828731,-2.22,7979344,0.71,60472368,5.4
2023-07-19,BK0938,代糖概念,938.91,0.08,-73139180,-6.24,-66233854,-5.65,-6905326,-0.59,-32201600,-2.75,105340784,8.99
2023-07-17,BK0938,代糖概念,938.6,-0.88,-52737584,-2.84,37060080,2.0,-89797664,-4.84,-28224176,-1.52,80961760,4.36
2023-07-14,BK0938,代糖概念,946.94,0.87,2303056,0.09,7558368,0.29,-5255312,-0.2,18977888,0.73,-21280928,-0.81
2023-07-13,BK0938,代糖概念,938.78,0.99,-55292863,-3.55,-21370239,-1.37,-33922624,-2.18,6244800,0.4,49048064,3.15
2023-07-12,BK0938,代糖概念,929.54,-0.63,-117102998,-6.97,-44819190,-2.67,-72283808,-4.3,50882400,3.03,66220608,3.94
2023-07-11,BK0938,代糖概念,935.43,1.4,-52284973,-3.89,16157216,1.2,-68442189,-5.09,-17540192,-1.3,69825184,5.19
2023-07-10,BK0938,代糖概念,922.48,0.65,-58884132,-3.82,25443164,1.65,-84327296,-5.47,14341536,0.93,44542592,2.89
2023-07-07,BK0938,代糖概念,916.53,-0.43,-41342046,-3.15,-51416142,-3.92,10074096,0.77,15162240,1.16,26179808,2.0
2023-07-06,BK0938,代糖概念,920.5,-0.18,-146145791,-9.07,-48478959,-3.01,-97666832,-6.06,61724768,3.83,84421040,5.24
2023-07-05,BK0938,代糖概念,922.12,-0.56,-75333963,-5.78,-45435990,-3.49,-29897973,-2.3,47880480,3.68,27453488,2.11
2023-07-04,BK0938,代糖概念,927.31,-0.76,-148876440,-8.43,-54828008,-3.11,-94048432,-5.33,-13159664,-0.75,162036096,9.18
2023-07-03,BK0938,代糖概念,934.39,-0.37,-107029447,-4.55,-42488807,-1.81,-64540640,-2.74,17968000,0.76,89061440,3.78
