日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-10,BK0905,传感器,1235.12,-0.11,-740147776,-7.45,-282923824,-2.85,-457223952,-4.6,119637280,1.2,620492480,6.25
2023-08-09,BK0905,传感器,1236.47,-1.26,-1834736976,-13.7,-1145394144,-8.55,-689342832,-5.15,165365984,1.23,1666622304,12.44
2023-08-08,BK0905,传感器,1252.25,-0.35000000000000003,-452901504,-3.36,-93049408,-0.6900000000000001,-359852096,-2.67,224685312,1.66,227069168,1.6800000000000002
2023-08-07,BK0905,传感器,1256.71,-0.4,-757041424,-5.33,-288711888,-2.03,-468329536,-3.29,100840960,0.71,654960368,4.61
2023-08-04,BK0905,传感器,1261.81,0.72,-509118240,-2.85,-306666096,-1.72,-202452144,-1.13,64731904,0.36,443656448,2.49
2023-08-03,BK0905,传感器,1252.82,-0.7000000000000001,-739377376,-5.67,-383189296,-2.94,-356188080,-2.73,152273408,1.17,586911024,4.5
2023-08-02,BK0905,传感器,1261.64,0.92,-99586016,-0.7000000000000001,15802144,0.11,-115388160,-0.81,20675584,0.15,78367232,0.55
2023-08-01,BK0905,传感器,1250.12,-0.39,-408776288,-2.68,-213823632,-1.4,-194952656,-1.28,198081792,1.3,209455616,1.37
2023-07-31,BK0905,传感器,1254.98,0.42,-487921696,-2.83,-234463504,-1.36,-253458192,-1.47,-24502528,-0.14,511984128,2.97
2023-07-28,BK0905,传感器,1249.75,0.1,-1029383920,-5.36,-804923376,-4.19,-224460544,-1.17,182387968,0.95,844802560,4.4
2023-07-27,BK0905,传感器,1248.5,-0.56,-1008329376,-6.36,-552791632,-3.49,-455537744,-2.87,200874496,1.27,806180480,5.08
2023-07-26,BK0905,传感器,1255.54,-1.51,-922910304,-7.17,-460243888,-3.58,-462666416,-3.59,217853152,1.69,701974176,5.45
2023-07-24,BK0905,传感器,1256.61,0.34,-107727216,-0.89,43809312,0.36,-151536528,-1.25,-37420032,-0.31,143322304,1.18
2023-07-21,BK0905,传感器,1252.3,-1.11,-805056416,-5.48,-352871424,-2.4,-452184992,-3.08,49267712,0.34,753581568,5.13
2023-07-20,BK0905,传感器,1266.41,-2.25,-1748722016,-10.03,-1253062896,-7.18,-495659120,-2.84,301942528,1.73,1445642240,8.29
2023-07-19,BK0905,传感器,1295.51,-0.95,-788600864,-4.74,-409753296,-2.46,-378847568,-2.28,171743744,1.03,613564160,3.69
2023-07-17,BK0905,传感器,1305.44,-0.41,-194237520,-0.97,-147729232,-0.74,-46508288,-0.23,-275946240,-1.38,466765056,2.33
2023-07-14,BK0905,传感器,1310.87,-0.41,-411457952,-1.95,-244746144,-1.16,-166711808,-0.79,34679296,0.16,375762176,1.78
2023-07-13,BK0905,传感器,1316.33,1.05,377848560,1.76,229986032,1.07,147862528,0.6900000000000001,-218319104,-1.02,-159933952,-0.74
2023-07-12,BK0905,传感器,1302.62,-1.85,-1379101792,-6.15,-751220576,-3.35,-627881216,-2.8,343871488,1.53,1028004352,4.58
2023-07-11,BK0905,传感器,1327.15,1.92,596854336,2.63,845749312,3.72,-248894976,-1.1,-346513920,-1.52,-255509760,-1.12
2023-07-10,BK0905,传感器,1302.13,-0.62,-1056984208,-6.98,-599854288,-3.96,-457129920,-3.02,247588608,1.64,809235968,5.35
2023-07-07,BK0905,传感器,1310.25,-1.5,-1013591200,-5.03,-719427232,-3.5700000000000003,-294163968,-1.46,160915712,0.8,850251264,4.22
2023-07-06,BK0905,传感器,1330.17,0.41,-103604016,-0.47,442664656,2.02,-546268672,-2.49,-34333696,-0.16,128930816,0.59
2023-07-05,BK0905,传感器,1324.76,-0.54,-729349824,-3.06,-68816576,-0.29,-660533248,-2.77,182183168,0.76,534685440,2.24
2023-07-04,BK0905,传感器,1331.89,2.63,796328416,3.19,615285216,2.46,181043200,0.72,-172248064,-0.6900000000000001,-608993280,-2.44
2023-07-03,BK0905,传感器,1297.7,-0.25,114266464,0.54,-88298656,-0.42,202565120,0.96,-230761984,-1.1,110859008,0.53
2023-06-30,BK0905,传感器,1300.92,0.67,277522128,1.42,489462736,2.51,-211940608,-1.09,-209631232,-1.08,-69453824,-0.36
2023-06-29,BK0905,传感器,1292.24,2.63,186493808,1.09,270224096,1.58,-83730288,-0.49,-3737088,-0.02,-176565760,-1.04
2023-06-28,BK0905,传感器,1259.07,-0.96,-1027222368,-6.21,-546136528,-3.3,-481085840,-2.91,55575552,0.34,968783104,5.85
2023-06-27,BK0905,传感器,1271.32,0.71,-596101776,-3.97,-324167536,-2.16,-271934240,-1.81,184615168,1.23,408084992,2.72
2023-06-26,BK0905,传感器,1262.38,-2.75,-1394545616,-6.6,-990180560,-4.69,-404365056,-1.91,-15597824,-0.07,1398428672,6.62
2023-06-21,BK0905,传感器,1298.05,-1.45,-1854143360,-7.14,-1194330496,-4.6,-659812864,-2.54,321618432,1.24,1542889984,5.94
2023-06-20,BK0905,传感器,1317.11,0.79,-581569024,-2.48,-265155840,-1.13,-316413184,-1.35,155102464,0.66,433676288,1.85
2023-06-19,BK0905,传感器,1306.76,1.74,530749776,2.23,564223312,2.37,-33473536,-0.14,-117814016,-0.49,-414752000,-1.74
2023-06-16,BK0905,传感器,1284.47,0.77,8913120,0.04,31985120,0.16,-23072000,-0.11,-48720896,-0.24,39307008,0.19
