日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-07,BK0719,健康中国,1154.98,-0.29,-706818832,-5.35,-416582160,-3.15,-290236672,-2.2,29131008,0.22,677687808,5.13
2023-07-06,BK0719,健康中国,1158.35,-0.96,-910712608,-5.88,-650125440,-4.2,-260587168,-1.6800000000000002,-93225216,-0.6000000000000001,1003937536,6.48
2023-07-05,BK0719,健康中国,1169.62,-0.66,-580970752,-3.37,-297882176,-1.73,-283088576,-1.64,63479808,0.37,517490944,3.0
2023-07-04,BK0719,健康中国,1177.34,-0.29,-615915680,-3.32,-169776976,-0.92,-446138704,-2.41,-2206976,-0.01,618122496,3.34
2023-07-03,BK0719,健康中国,1180.73,-0.05,-669493280,-3.32,-314450464,-1.56,-355042816,-1.76,183992320,0.91,485501184,2.41
2023-06-30,BK0719,健康中国,1181.37,1.16,-9681760,-0.05,87011600,0.49,-96693360,-0.55,-109389568,-0.62,119071488,0.67
2023-06-29,BK0719,健康中国,1167.84,1.14,-143542640,-0.9,-9276240,-0.06,-134266400,-0.84,87851264,0.55,55691520,0.35000000000000003
2023-06-28,BK0719,健康中国,1154.65,-0.35000000000000003,-972743536,-6.47,-615699936,-4.1,-357043600,-2.38,282771968,1.88,689971712,4.59
2023-06-27,BK0719,健康中国,1158.69,2.06,255633568,1.62,206039776,1.3,49593792,0.31,-86168832,-0.55,-169464832,-1.07
2023-06-26,BK0719,健康中国,1135.28,-1.8,-1016965984,-5.55,-460513120,-2.51,-556452864,-3.04,-152999936,-0.8300000000000001,1169965824,6.38
2023-06-21,BK0719,健康中国,1156.13,-1.37,-1313681104,-7.15,-572022784,-3.11,-741658320,-4.04,163275264,0.89,1150405888,6.26
2023-06-20,BK0719,健康中国,1172.22,-0.84,-1216864336,-5.67,-779768912,-3.63,-437095424,-2.04,170041856,0.79,1046822400,4.88
2023-06-19,BK0719,健康中国,1182.13,-0.24,-1145135472,-4.88,-606563696,-2.58,-538571776,-2.29,139695360,0.6000000000000001,1005440256,4.28
2023-06-16,BK0719,健康中国,1185.0,0.35000000000000003,109809104,0.5,118433744,0.53,-8624640,-0.04,-42490624,-0.19,-67318528,-0.30000000000000004
