日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-10,BK0989,储能,1705.44,0.6000000000000001,-275265280,-0.4,-521546752,-0.75,246281472,0.36,-58332672,-0.08,342160128,0.5
2023-07-07,BK0989,储能,1695.28,-0.81,-2775613184,-4.58,-1543965440,-2.55,-1231647744,-2.03,210920192,0.35000000000000003,2564265984,4.23
2023-07-06,BK0989,储能,1709.05,-0.28,-1553038336,-2.55,-795429120,-1.3,-757609216,-1.24,-451602688,-0.74,1998529024,3.28
2023-07-05,BK0989,储能,1713.92,-0.72,-3640749312,-5.19,-1706235136,-2.43,-1934514176,-2.76,285616128,0.41,3359970560,4.79
2023-07-04,BK0989,储能,1726.4,0.29,-2333863168,-2.97,-618795264,-0.79,-1715067904,-2.18,60554496,0.08,2271584000,2.89
2023-07-03,BK0989,储能,1721.47,1.37,399797504,0.41,230221568,0.23,169575936,0.17,-746202880,-0.76,345130752,0.35000000000000003
2023-06-30,BK0989,储能,1698.23,1.4,1054181376,1.29,668327424,0.8200000000000001,385853952,0.47,-1356246528,-1.67,298183936,0.37
2023-06-29,BK0989,储能,1674.83,0.75,-2928594944,-4.06,-1408605952,-1.95,-1519988992,-2.11,-87445760,-0.12,3012903168,4.17
2023-06-28,BK0989,储能,1662.39,0.17,-1590065664,-2.11,-308278784,-0.41,-1281786880,-1.7000000000000002,-48061440,-0.06,1640214272,2.18
2023-06-27,BK0989,储能,1659.54,1.75,-1209959680,-1.71,-432191232,-0.61,-777768448,-1.1,162453760,0.23,1043318528,1.47
2023-06-26,BK0989,储能,1630.99,-1.0,-3229142528,-4.17,-1423461632,-1.84,-1805680896,-2.33,-41504768,-0.05,3267239680,4.22
2023-06-21,BK0989,储能,1647.39,-1.3,-4127006976,-5.31,-2367520000,-3.04,-1759486976,-2.26,531926528,0.68,3606478080,4.64
2023-06-20,BK0989,储能,1669.06,-0.36,-2900867072,-3.78,-1665438464,-2.17,-1235428608,-1.61,364673024,0.48,2537289984,3.31
2023-06-19,BK0989,储能,1675.12,-0.08,-5068466944,-6.24,-2930332928,-3.61,-2138134016,-2.63,1067483136,1.31,3986460416,4.91
2023-06-16,BK0989,储能,1676.47,0.87,-276321792,-0.31,765916416,0.85,-1042238208,-1.16,-886559744,-0.99,1154902272,1.29
