日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-14,BK0698,免疫治疗,1321.63,0.77,-98886676,-2.09,-21468756,-0.45,-77417920,-1.64,42322368,0.89,56564304,1.19
2023-08-11,BK0698,免疫治疗,1311.53,-0.6900000000000001,-144477479,-2.89,-49879319,-1.0,-94598160,-1.89,10044608,0.2,134432880,2.69
2023-08-10,BK0698,免疫治疗,1320.63,-0.48,-383834301,-9.39,-94999629,-2.32,-288834672,-7.07,85978416,2.1,297855904,7.29
2023-08-09,BK0698,免疫治疗,1327.0,0.8,46314720,0.81,17254528,0.30000000000000004,29060192,0.51,6377968,0.11,-52692704,-0.92
2023-08-08,BK0698,免疫治疗,1316.43,1.06,1000176,0.02,31385456,0.62,-30385280,-0.6000000000000001,10199072,0.2,-11199232,-0.22
2023-08-07,BK0698,免疫治疗,1302.65,-2.49,-690276064,-10.5,-246490736,-3.75,-443785328,-6.75,205697840,3.13,484578224,7.37
2023-08-04,BK0698,免疫治疗,1335.98,-0.26,-235150000,-5.48,-34951552,-0.81,-200198448,-4.66,13220864,0.31,221929136,5.17
2023-08-03,BK0698,免疫治疗,1339.48,1.17,-58964724,-1.27,3977740,0.09,-62942464,-1.35,186961872,4.02,-127997136,-2.75
2023-08-02,BK0698,免疫治疗,1323.98,-1.24,-344224626,-8.73,-158025650,-4.01,-186198976,-4.72,-52090256,-1.32,396314880,10.05
2023-08-01,BK0698,免疫治疗,1340.66,-0.9,-370529264,-6.99,-234844848,-4.43,-135684416,-2.56,41285088,0.78,329244176,6.21
2023-07-31,BK0698,免疫治疗,1352.85,-0.44,-435806656,-7.09,-154818048,-2.52,-280988608,-4.57,-47885200,-0.78,483691824,7.86
2023-07-28,BK0698,免疫治疗,1358.8,0.94,-202287008,-4.62,-62952704,-1.44,-139334304,-3.18,-29840960,-0.68,232127968,5.31
2023-07-27,BK0698,免疫治疗,1346.19,-0.48,-247598483,-7.98,-136470307,-4.4,-111128176,-3.58,51109888,1.65,196488608,6.33
2023-07-26,BK0698,免疫治疗,1352.69,0.27,-7858431,-0.2,-6022031,-0.16,-1836400,-0.05,-7140112,-0.18,14998544,0.39
2023-07-24,BK0698,免疫治疗,1344.09,0.53,-105973475,-2.67,-74631203,-1.88,-31342272,-0.79,134720,0.0,105838752,2.67
2023-07-21,BK0698,免疫治疗,1336.96,0.6900000000000001,-49229744,-1.12,-24655664,-0.56,-24574080,-0.56,7975232,0.18,41254544,0.94
2023-07-20,BK0698,免疫治疗,1327.76,-0.59,-143627420,-5.12,-47615196,-1.7000000000000002,-96012224,-3.43,-85953264,-3.07,229580656,8.19
2023-07-19,BK0698,免疫治疗,1335.63,-0.27,-118349930,-4.1,-62293194,-2.16,-56056736,-1.94,-3572416,-0.12,121922352,4.22
2023-07-17,BK0698,免疫治疗,1341.84,0.13,34647835,1.03,56163339,1.67,-21515504,-0.64,-541728,-0.02,-34106096,-1.02
2023-07-14,BK0698,免疫治疗,1340.06,-0.25,-47987936,-1.42,5349376,0.16,-53337312,-1.57,31709072,0.94,16278864,0.48
2023-07-13,BK0698,免疫治疗,1343.4,0.8,-33345041,-0.96,41381599,1.19,-74726640,-2.14,4808832,0.14,28536192,0.8200000000000001
2023-07-12,BK0698,免疫治疗,1332.77,-1.03,-152112279,-4.8,-31995191,-1.01,-120117088,-3.79,-17491472,-0.55,169603744,5.35
2023-07-11,BK0698,免疫治疗,1346.61,0.62,-17638767,-0.49,-13549551,-0.37,-4089216,-0.11,-120515120,-3.32,138153872,3.81
2023-07-10,BK0698,免疫治疗,1338.3,0.36,58355112,1.6,26745640,0.74,31609472,0.87,34538720,0.95,-92893824,-2.55
2023-07-07,BK0698,免疫治疗,1333.51,-0.17,-117154329,-3.43,-95749881,-2.8,-21404448,-0.63,71891568,2.1,45262752,1.32
2023-07-06,BK0698,免疫治疗,1335.78,-1.23,-257711775,-6.8100000000000005,-182516815,-4.82,-75194960,-1.99,49630928,1.31,208080848,5.5
2023-07-05,BK0698,免疫治疗,1352.35,-0.73,-113442080,-2.31,-91951008,-1.87,-21491072,-0.44,153806912,3.13,-40364848,-0.8200000000000001
2023-07-04,BK0698,免疫治疗,1362.28,0.56,-114815216,-1.98,-66068000,-1.14,-48747216,-0.84,173263456,2.99,-58448224,-1.01
2023-07-03,BK0698,免疫治疗,1354.71,-0.44,-73754592,-1.75,-33016080,-0.78,-40738512,-0.97,39734016,0.94,34020576,0.81
2023-06-30,BK0698,免疫治疗,1360.68,1.04,-53485408,-1.13,-39052848,-0.8200000000000001,-14432560,-0.30000000000000004,79742432,1.6800000000000002,-26257024,-0.55
2023-06-29,BK0698,免疫治疗,1346.69,0.96,87932144,1.97,118297376,2.65,-30365232,-0.68,-38883856,-0.87,-49048288,-1.1
2023-06-28,BK0698,免疫治疗,1333.85,-0.63,-152311527,-4.66,-57699943,-1.77,-94611584,-2.89,64375680,1.97,87935856,2.69
2023-06-27,BK0698,免疫治疗,1342.33,2.13,45399515,1.19,64452651,1.7000000000000002,-19053136,-0.5,-12069168,-0.32,-33330336,-0.88
2023-06-26,BK0698,免疫治疗,1314.39,-0.56,-210446573,-4.91,-67394301,-1.57,-143052272,-3.34,-2322224,-0.05,212768800,4.97
2023-06-21,BK0698,免疫治疗,1321.8,-1.86,-314096287,-7.49,-140336671,-3.35,-173759616,-4.14,39448160,0.94,274648128,6.55
2023-06-20,BK0698,免疫治疗,1346.87,-0.66,-188840560,-3.72,-87496128,-1.73,-101344432,-2.0,-8341632,-0.16,197182176,3.89
2023-06-19,BK0698,免疫治疗,1355.85,0.03,83685456,1.31,2665008,0.04,81020448,1.26,55781920,0.87,-139467376,-2.17
2023-06-16,BK0698,免疫治疗,1355.47,0.94,127033920,2.34,69415936,1.28,57617984,1.06,-30423824,-0.56,-96610096,-1.78
