日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0699,全息技术,2490.56,1.56,1921605,0.1,31475045,1.71,-29553440,-1.61,-58975360,-3.21,57053760,3.1
2023-09-04,BK0699,全息技术,2464.05,1.34,28265220,1.52,60950772,3.28,-32685552,-1.76,-69639424,-3.75,41374208,2.23
2023-08-31,BK0699,全息技术,2437.43,-0.30000000000000004,-24741152,-1.14,4534816,0.21,-29275968,-1.34,-36707008,-1.6800000000000002,61448160,2.8200000000000003
2023-08-29,BK0699,全息技术,2409.79,4.17,216324613,7.58,109036885,3.82,107287728,3.76,-137303488,-4.8100000000000005,-79021136,-2.77
2023-08-28,BK0699,全息技术,2313.24,0.91,-117866869,-4.78,-64920037,-2.63,-52946832,-2.15,-14685520,-0.6000000000000001,132552368,5.37
2023-08-25,BK0699,全息技术,2292.34,-3.29,-302875541,-12.46,-228434373,-9.4,-74441168,-3.06,20075552,0.8300000000000001,282800000,11.64
2023-08-24,BK0699,全息技术,2370.22,-0.42,-45745053,-2.5,-61661405,-3.38,15916352,0.87,-47495280,-2.6,93240320,5.11
2023-08-23,BK0699,全息技术,2380.1,-1.85,-139421313,-8.59,-105578049,-6.5,-33843264,-2.08,-29531008,-1.82,168952320,10.41
2023-08-21,BK0699,全息技术,2394.23,-1.72,-312111235,-11.38,-283408915,-10.33,-28702320,-1.05,79804064,2.91,232307200,8.47
2023-08-18,BK0699,全息技术,2436.21,-2.49,-250426004,-11.32,-174855732,-7.91,-75570272,-3.42,-31340032,-1.42,281766032,12.74
2023-08-16,BK0699,全息技术,2481.35,-1.15,-177095000,-8.57,-114181864,-5.53,-62913136,-3.04,42893632,2.08,134201376,6.49
2023-08-15,BK0699,全息技术,2510.26,-0.6000000000000001,-41662657,-1.7000000000000002,20851071,0.85,-62513728,-2.55,-9703584,-0.4,51366240,2.09
2023-08-14,BK0699,全息技术,2525.31,0.77,-27092799,-1.29,-74108239,-3.52,47015440,2.23,-20092016,-0.95,47184816,2.24
2023-08-11,BK0699,全息技术,2506.13,-2.13,-206900187,-9.81,-104030891,-4.93,-102869296,-4.88,10695056,0.51,196205136,9.3
2023-08-10,BK0699,全息技术,2560.66,0.04,-194694311,-7.79,-26068887,-1.04,-168625424,-6.75,70354880,2.8200000000000003,124339424,4.98
2023-08-09,BK0699,全息技术,2559.66,-2.34,-1061412064,-21.31,-948438272,-19.04,-112973792,-2.27,193435632,3.88,867976432,17.42
2023-08-08,BK0699,全息技术,2620.99,-0.28,175600048,4.29,137777504,3.37,37822544,0.92,-47645264,-1.17,-127954800,-3.13
2023-08-07,BK0699,全息技术,2628.31,-0.46,-184726304,-3.85,30782192,0.64,-215508496,-4.49,-32077904,-0.67,216804224,4.52
2023-08-04,BK0699,全息技术,2640.57,2.51,232294736,4.89,140940976,2.97,91353760,1.92,-66138992,-1.39,-166155744,-3.5
2023-08-03,BK0699,全息技术,2576.03,-0.48,-217340768,-7.52,-108405728,-3.75,-108935040,-3.77,-85220352,-2.95,302561120,10.48
2023-08-02,BK0699,全息技术,2588.41,-0.64,-122343168,-3.28,-74046368,-1.99,-48296800,-1.3,18351936,0.49,103991232,2.79
2023-08-01,BK0699,全息技术,2605.09,0.64,58543616,1.42,174014192,4.21,-115470576,-2.79,-20023712,-0.48,-38519904,-0.93
2023-07-31,BK0699,全息技术,2588.62,0.63,-100992368,-3.4,-50134048,-1.69,-50858320,-1.71,-20685392,-0.7000000000000001,121677760,4.1
2023-07-28,BK0699,全息技术,2572.38,1.06,-159153216,-5.42,-149515952,-5.1,-9637264,-0.33,-31412912,-1.07,190566128,6.5
2023-07-27,BK0699,全息技术,2545.35,-1.71,-331583027,-12.24,-141559331,-5.23,-190023696,-7.01,28275152,1.04,303307856,11.2
2023-07-26,BK0699,全息技术,2589.55,-0.99,-245655088,-6.4,-157773792,-4.11,-87881296,-2.29,102217232,2.66,143437856,3.74
2023-07-24,BK0699,全息技术,2575.56,1.38,20758583,0.6000000000000001,145811143,4.19,-125052560,-3.6,-43583632,-1.25,22825056,0.66
2023-07-21,BK0699,全息技术,2540.53,-0.71,-228305008,-5.96,-136301232,-3.56,-92003776,-2.4,29503104,0.77,198801888,5.19
2023-07-20,BK0699,全息技术,2558.76,-2.95,-934910192,-17.65,-872093440,-16.47,-62816752,-1.19,302270240,5.71,632639968,11.95
2023-07-19,BK0699,全息技术,2636.64,0.17,-2679424,-0.06,55899952,1.31,-58579376,-1.37,30697072,0.72,-28017680,-0.65
2023-07-17,BK0699,全息技术,2640.16,-0.08,199293616,3.08,10060560,0.16,189233056,2.93,-155287328,-2.4,-44006304,-0.68
2023-07-14,BK0699,全息技术,2642.17,-0.42,64309504,1.12,125036896,2.17,-60727392,-1.06,-11450720,-0.2,-52858768,-0.92
2023-07-13,BK0699,全息技术,2653.43,1.4,-39835936,-0.71,-82503536,-1.46,42667600,0.76,-9083680,-0.16,48919632,0.87
