日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-19,BK0808,军民融合,1349.87,-0.89,-1657958368,-6.19,-1002485216,-3.74,-655473152,-2.45,261269760,0.97,1396608512,5.21
2023-07-17,BK0808,军民融合,1359.28,-0.05,-951548464,-2.86,-177511728,-0.53,-774036736,-2.33,138462464,0.42,813067008,2.44
2023-07-14,BK0808,军民融合,1359.96,0.07,-158826768,-0.4,322079216,0.8200000000000001,-480905984,-1.22,-8651264,-0.02,167477504,0.43
2023-07-13,BK0808,军民融合,1359.02,0.51,-376326112,-1.1,-187424224,-0.55,-188901888,-0.55,-14742272,-0.04,391038720,1.14
2023-07-12,BK0808,军民融合,1352.07,-1.7000000000000002,-2395653824,-6.05,-1214961600,-3.07,-1180692224,-2.98,248093440,0.63,2147607296,5.42
2023-07-11,BK0808,军民融合,1375.43,1.44,-9443248,-0.03,-323848112,-0.92,314404864,0.89,-40139264,-0.11,49524224,0.14
2023-07-10,BK0808,军民融合,1355.87,-0.02,-510081936,-1.6,-286759568,-0.9,-223322368,-0.7000000000000001,388316160,1.22,122411008,0.38
2023-07-07,BK0808,军民融合,1356.13,-1.29,-2306854880,-6.9,-1306704864,-3.91,-1000150016,-2.99,349295872,1.05,1957821696,5.86
2023-07-06,BK0808,军民融合,1373.83,-0.07,-612388464,-1.67,-346545008,-0.94,-265843456,-0.72,-209781248,-0.5700000000000001,822048512,2.24
2023-07-05,BK0808,军民融合,1374.75,-1.0,-2296806576,-5.87,-1305272752,-3.34,-991533824,-2.53,216563968,0.55,2080360960,5.32
2023-07-04,BK0808,军民融合,1388.68,0.61,-1176509184,-2.58,-629183744,-1.38,-547325440,-1.2,-36648448,-0.08,1213638912,2.66
2023-07-03,BK0808,军民融合,1380.23,0.01,-278507520,-0.59,95195136,0.2,-373702656,-0.79,-280249856,-0.59,558805248,1.18
2023-06-30,BK0808,军民融合,1380.1,1.27,-262109184,-0.53,-77731840,-0.16,-184377344,-0.37,-302677760,-0.61,566112000,1.15
2023-06-29,BK0808,军民融合,1362.75,1.01,-1089734624,-2.37,-676384480,-1.47,-413350144,-0.9,-21080064,-0.05,1110024960,2.42
2023-06-28,BK0808,军民融合,1349.18,0.19,-1386887168,-2.86,-177840640,-0.37,-1209046528,-2.5,178525440,0.37,1208283392,2.49
2023-06-27,BK0808,军民融合,1346.6,1.97,-522575920,-1.24,-97825072,-0.23,-424750848,-1.01,115804160,0.28,406602752,0.97
2023-06-26,BK0808,军民融合,1320.61,-2.19,-3458336544,-7.51,-1770868768,-3.85,-1687467776,-3.66,394321152,0.86,3063836928,6.65
2023-06-21,BK0808,军民融合,1350.22,-0.98,-2319321088,-4.33,-1429430784,-2.67,-889890304,-1.66,-100153088,-0.19,2420022016,4.51
2023-06-20,BK0808,军民融合,1363.53,1.08,1013382912,1.6800000000000002,1320735744,2.19,-307352832,-0.51,-1090366976,-1.81,77000704,0.13
2023-06-19,BK0808,军民融合,1348.98,0.8300000000000001,-582353408,-1.19,-135762688,-0.28,-446590720,-0.91,-158987008,-0.32,741122304,1.51
2023-06-16,BK0808,军民融合,1337.85,1.52,1290599936,2.78,978614016,2.11,311985920,0.67,-490425088,-1.06,-799729920,-1.72
