日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-12,BK1100,减速器,1063.66,-1.97,-1278199984,-7.84,-601323264,-3.69,-676876720,-4.15,72976128,0.45,1205223680,7.39
2023-07-11,BK1100,减速器,1085.03,0.53,-424647040,-3.0,-89439776,-0.63,-335207264,-2.37,-275875584,-1.95,700522480,4.95
2023-07-10,BK1100,减速器,1079.31,-2.55,-810088368,-5.47,-138563008,-0.94,-671525360,-4.53,-265992960,-1.8,1076081296,7.26
2023-07-07,BK1100,减速器,1107.59,-1.46,-1424577664,-7.17,-681255552,-3.43,-743322112,-3.74,109950976,0.55,1314626816,6.62
2023-07-06,BK1100,减速器,1123.95,1.04,40781632,0.21,270879808,1.38,-230098176,-1.17,-220607744,-1.13,179826176,0.92
2023-07-05,BK1100,减速器,1112.42,-3.63,-1239654064,-6.12,-476244144,-2.35,-763409920,-3.77,-229223424,-1.13,1468877056,7.25
2023-07-04,BK1100,减速器,1154.28,3.29,-781436272,-3.18,-166546288,-0.68,-614889984,-2.5,-36343808,-0.15,817779968,3.32
2023-07-03,BK1100,减速器,1117.55,-1.99,-1382853920,-4.98,-861960736,-3.1,-520893184,-1.87,140100352,0.5,1242753536,4.47
2023-06-30,BK1100,减速器,1140.28,3.27,292544400,1.19,364996752,1.49,-72452352,-0.30000000000000004,-171607808,-0.7000000000000001,-120936448,-0.49
2023-06-29,BK1100,减速器,1104.2,4.48,505793456,2.05,879710128,3.5700000000000003,-373916672,-1.52,-128072192,-0.52,-377721088,-1.53
2023-06-28,BK1100,减速器,1056.82,5.09,251471936,1.21,291442496,1.4,-39970560,-0.19,-294746368,-1.42,43274496,0.21
2023-06-27,BK1100,减速器,1005.67,1.39,-100699104,-0.59,-41223360,-0.24,-59475744,-0.35000000000000003,-323477760,-1.88,424176896,2.47
2023-06-26,BK1100,减速器,991.85,-1.03,-723151440,-4.21,-350041840,-2.04,-373109600,-2.17,148361984,0.86,574789632,3.34
2023-06-21,BK1100,减速器,1002.18,1.42,-555591888,-3.32,-21815696,-0.13,-533776192,-3.19,102200320,0.61,453391360,2.71
2023-06-20,BK1100,减速器,988.17,5.62,964753104,6.01,835429872,5.21,129323232,0.81,-215088896,-1.34,-749664400,-4.67
2023-06-19,BK1100,减速器,935.57,1.41,42645520,0.35000000000000003,111564416,0.91,-68918896,-0.56,-93791104,-0.77,51145600,0.42
2023-06-16,BK1100,减速器,922.55,1.91,-600636240,-5.64,-234558016,-2.2,-366078224,-3.44,161986592,1.52,438649648,4.12
