日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-07,BK0878,分拆预期,1334.01,-0.54,-1106444000,-5.65,-602108384,-3.08,-504335616,-2.58,12313600,0.06,1094130432,5.59
2023-07-06,BK0878,分拆预期,1341.3,0.12,-524156144,-2.48,-21468144,-0.1,-502688000,-2.38,-138738432,-0.66,662894592,3.14
2023-07-05,BK0878,分拆预期,1339.66,-0.36,-275240608,-1.25,93069152,0.42,-368309760,-1.6800000000000002,-291776256,-1.33,567016704,2.58
2023-07-04,BK0878,分拆预期,1344.46,0.28,-185355184,-0.66,112240976,0.4,-297596160,-1.06,25486080,0.09,159869184,0.5700000000000001
2023-07-03,BK0878,分拆预期,1340.64,0.85,916593376,3.01,741535968,2.44,175057408,0.58,-338315520,-1.11,-578277888,-1.9
2023-06-30,BK0878,分拆预期,1329.35,1.11,-67280624,-0.32,177511696,0.8300000000000001,-244792320,-1.15,-293561088,-1.38,360841728,1.69
2023-06-29,BK0878,分拆预期,1314.75,0.4,-713756720,-3.5,-341769264,-1.6800000000000002,-371987456,-1.82,310622976,1.52,403133440,1.98
2023-06-28,BK0878,分拆预期,1309.53,-0.31,-819069760,-3.83,-388394304,-1.81,-430675456,-2.01,286466048,1.34,532603392,2.49
2023-06-27,BK0878,分拆预期,1313.65,1.69,50417328,0.22,139422640,0.61,-89005312,-0.39,-34199296,-0.15,-16218624,-0.07
2023-06-26,BK0878,分拆预期,1291.88,-1.51,-1921913856,-7.84,-1125596160,-4.59,-796317696,-3.25,318097152,1.3,1603816448,6.55
2023-06-21,BK0878,分拆预期,1311.63,-1.18,-940106400,-3.66,-600907680,-2.34,-339198720,-1.32,82666240,0.32,857440256,3.34
2023-06-20,BK0878,分拆预期,1327.29,-0.26,-1117699376,-4.53,-788040752,-3.19,-329658624,-1.34,154473472,0.63,963225600,3.9
2023-06-19,BK0878,分拆预期,1330.79,-0.61,-1437736224,-4.94,-1357365024,-4.67,-80371200,-0.28,417070336,1.43,1020665856,3.51
2023-06-16,BK0878,分拆预期,1338.93,0.94,698898960,2.36,680845840,2.3,18053120,0.06,-302110720,-1.02,-396788480,-1.34
