日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-19,BK0668,医疗器械概念,3390.42,-0.38,-825510688,-2.77,-506972192,-1.7000000000000002,-318538496,-1.07,-32043008,-0.11,856881408,2.87
2023-07-17,BK0668,医疗器械概念,3412.4,-0.56,-1548880912,-4.46,-1120867856,-3.23,-428013056,-1.23,516268288,1.49,1032340736,2.97
2023-07-14,BK0668,医疗器械概念,3431.69,-0.4,-35293264,-0.09,-50894160,-0.14,15600896,0.04,-145027840,-0.38,173687296,0.46
2023-07-13,BK0668,医疗器械概念,3445.36,1.07,338628928,0.85,509476928,1.27,-170848000,-0.43,-482465536,-1.21,153689344,0.38
2023-07-12,BK0668,医疗器械概念,3408.97,-1.55,-2163104256,-6.17,-1111775744,-3.17,-1051328512,-3.0,391405568,1.12,1770012672,5.05
2023-07-11,BK0668,医疗器械概念,3462.71,0.72,-150721408,-0.45,2369152,0.01,-153090560,-0.46,-146266368,-0.44,296285952,0.89
2023-07-10,BK0668,医疗器械概念,3438.04,-0.18,-1050352480,-2.99,-397086560,-1.13,-653265920,-1.86,-28503552,-0.08,1075776768,3.07
2023-07-07,BK0668,医疗器械概念,3444.27,-0.55,-1430599760,-3.97,-901689936,-2.5,-528909824,-1.47,132621312,0.37,1293542912,3.59
2023-07-06,BK0668,医疗器械概念,3463.16,-0.7000000000000001,-989832800,-2.52,-309655904,-0.79,-680176896,-1.73,-300627456,-0.77,1289178624,3.28
2023-07-05,BK0668,医疗器械概念,3487.69,-0.65,-1131949136,-2.67,-261377104,-0.62,-870572032,-2.06,73534976,0.17,1056741888,2.5
2023-07-04,BK0668,医疗器械概念,3510.51,0.45,-607863040,-1.27,-149257216,-0.31,-458605824,-0.95,270316032,0.56,336530176,0.7000000000000001
2023-07-03,BK0668,医疗器械概念,3494.78,-0.04,-1592738624,-3.43,-896675392,-1.93,-696063232,-1.5,592478720,1.28,998522368,2.15
2023-06-30,BK0668,医疗器械概念,3496.04,1.06,-457659392,-0.97,83839232,0.18,-541498624,-1.15,112493824,0.24,344810240,0.73
2023-06-29,BK0668,医疗器械概念,3459.3,1.39,-615547616,-1.35,-4535264,-0.01,-611012352,-1.34,349623808,0.77,266685184,0.59
2023-06-28,BK0668,医疗器械概念,3411.73,-0.5,-1996043344,-4.58,-457883472,-1.05,-1538159872,-3.53,378034432,0.87,1614381056,3.7
2023-06-27,BK0668,医疗器械概念,3428.88,1.55,-812231280,-1.94,-591017584,-1.41,-221213696,-0.53,446973184,1.07,361098240,0.86
2023-06-26,BK0668,医疗器械概念,3376.52,-1.45,-2442888912,-4.91,-1133183184,-2.28,-1309705728,-2.63,-63205376,-0.13,2501721088,5.03
2023-06-21,BK0668,医疗器械概念,3426.08,-1.46,-4946211584,-8.77,-2986701056,-5.3,-1959510528,-3.47,847313920,1.5,4103069696,7.28
2023-06-20,BK0668,医疗器械概念,3476.88,-0.22,-1929357312,-3.56,-904000512,-1.67,-1025356800,-1.89,402612480,0.74,1524411904,2.81
2023-06-19,BK0668,医疗器械概念,3484.53,-0.09,-2667223552,-4.68,-1235047424,-2.17,-1432176128,-2.51,763744000,1.34,1898912000,3.33
2023-06-16,BK0668,医疗器械概念,3487.71,0.46,811891456,1.43,1124199936,1.98,-312308480,-0.55,-720573952,-1.27,-92193024,-0.16
