日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-14,BK0889,医疗美容,1674.42,0.9,-337365488,-2.98,-91782016,-0.81,-245583472,-2.17,30722944,0.27,297870432,2.63
2023-08-11,BK0889,医疗美容,1659.47,0.02,-261849792,-2.16,1565776,0.01,-263415568,-2.17,24432560,0.2,231436160,1.91
2023-08-10,BK0889,医疗美容,1659.09,-0.12,-775789232,-7.83,-291660176,-2.94,-484129056,-4.89,73726464,0.74,694111168,7.01
2023-08-09,BK0889,医疗美容,1661.04,1.09,417008352,3.07,277152144,2.04,139856208,1.03,-167650304,-1.23,-235421952,-1.73
2023-08-08,BK0889,医疗美容,1643.21,0.6900000000000001,-86382272,-0.81,-14313216,-0.13,-72069056,-0.68,-85540800,-0.81,171730816,1.62
2023-08-07,BK0889,医疗美容,1631.99,-2.19,-1653114736,-12.97,-623131648,-4.89,-1029983088,-8.08,280470272,2.2,1373567808,10.78
2023-08-04,BK0889,医疗美容,1668.46,-0.55,-536698944,-4.67,-208132832,-1.81,-328566112,-2.86,-203952144,-1.77,739615616,6.43
2023-08-03,BK0889,医疗美容,1677.61,1.03,-226127696,-2.14,68500208,0.65,-294627904,-2.79,48817056,0.46,170815808,1.62
2023-08-02,BK0889,医疗美容,1660.57,-1.05,-1067507200,-9.96,-367498832,-3.43,-700008368,-6.53,-123145296,-1.15,1200205568,11.2
2023-08-01,BK0889,医疗美容,1678.12,-1.09,-848367312,-7.34,-315671840,-2.73,-532695472,-4.61,13787856,0.12,833661312,7.21
2023-07-31,BK0889,医疗美容,1696.54,0.37,-703860576,-4.76,-422596080,-2.86,-281264496,-1.9,-5698816,-0.04,737512960,4.98
2023-07-28,BK0889,医疗美容,1690.21,1.14,-259458096,-2.22,109503296,0.94,-368961392,-3.16,-64581024,-0.55,291144128,2.5
2023-07-27,BK0889,医疗美容,1671.13,-0.4,-349711792,-3.89,-262270720,-2.92,-87441072,-0.97,-7658752,-0.09,326071536,3.63
2023-07-26,BK0889,医疗美容,1677.87,0.08,-396261360,-4.47,-130395376,-1.47,-265865984,-3.0,55422608,0.63,341946720,3.86
2023-07-24,BK0889,医疗美容,1664.73,0.73,-142286944,-1.7000000000000002,-57509552,-0.6900000000000001,-84777392,-1.01,-31843520,-0.38,192241504,2.29
2023-07-21,BK0889,医疗美容,1652.66,1.16,309227264,3.16,59375504,0.61,249851760,2.55,-172169472,-1.76,-129184144,-1.32
2023-07-20,BK0889,医疗美容,1633.76,-0.11,-157608992,-2.17,-60690960,-0.84,-96918032,-1.33,-29218720,-0.4,186827696,2.5700000000000003
2023-07-19,BK0889,医疗美容,1635.58,-0.14,-254965872,-4.0,-186305712,-2.92,-68660160,-1.08,-23500480,-0.37,278466352,4.37
2023-07-17,BK0889,医疗美容,1642.89,0.01,-217949888,-2.6,-65506272,-0.78,-152443616,-1.82,194595552,2.32,23354336,0.28
2023-07-14,BK0889,医疗美容,1642.65,-0.6000000000000001,283208720,3.33,310793856,3.66,-27585136,-0.32,-167201264,-1.97,-116007456,-1.37
2023-07-13,BK0889,医疗美容,1652.64,1.01,55357920,0.64,104112688,1.21,-48754768,-0.56,-39363232,-0.46,-15994688,-0.19
2023-07-12,BK0889,医疗美容,1636.15,-1.08,-188543120,-2.34,67199616,0.8300000000000001,-255742736,-3.17,-1869600,-0.02,190412704,2.36
2023-07-11,BK0889,医疗美容,1654.05,0.52,-232269392,-2.91,-3650608,-0.05,-228618784,-2.86,-88945744,-1.11,321215152,4.02
2023-07-10,BK0889,医疗美容,1645.57,0.03,-110238944,-1.13,11967168,0.12,-122206112,-1.25,200779312,2.05,-90540368,-0.92
2023-07-07,BK0889,医疗美容,1645.07,-0.11,194492544,2.05,116929600,1.24,77562944,0.8200000000000001,-165104096,-1.74,-29388432,-0.31
2023-07-06,BK0889,医疗美容,1646.87,-0.72,-183447344,-1.99,-90669504,-0.99,-92777840,-1.01,-119234480,-1.3,302681824,3.29
2023-07-05,BK0889,医疗美容,1658.87,-0.37,-127775360,-1.4,-58623248,-0.64,-69152112,-0.76,-1985056,-0.02,129760400,1.42
2023-07-04,BK0889,医疗美容,1665.09,-0.05,-122011168,-1.37,-58506864,-0.66,-63504304,-0.72,9227648,0.1,112783520,1.27
2023-07-03,BK0889,医疗美容,1665.84,0.7000000000000001,75287392,0.68,-88819440,-0.81,164106832,1.49,17355184,0.16,-92642576,-0.84
2023-06-30,BK0889,医疗美容,1654.34,1.24,411177136,4.19,449596336,4.58,-38419200,-0.39,-222480704,-2.27,-188696432,-1.92
2023-06-29,BK0889,医疗美容,1634.06,0.79,-283430208,-3.58,61660848,0.78,-345091056,-4.36,-2052736,-0.03,285482944,3.6
2023-06-28,BK0889,医疗美容,1621.29,-0.4,-369125392,-4.58,-74327888,-0.92,-294797504,-3.66,111756640,1.39,257368768,3.19
2023-06-27,BK0889,医疗美容,1627.87,1.88,60911600,0.7000000000000001,149788288,1.72,-88876688,-1.02,-38304784,-0.44,-22606816,-0.26
2023-06-26,BK0889,医疗美容,1597.77,-1.57,-289441792,-2.87,-54224928,-0.54,-235216864,-2.33,-101173056,-1.0,390614864,3.88
2023-06-21,BK0889,医疗美容,1623.26,-1.04,-563267552,-6.79,-87240592,-1.05,-476026960,-5.74,-44179072,-0.53,607446624,7.32
2023-06-20,BK0889,医疗美容,1640.28,-0.75,-575982464,-6.71,-183703952,-2.14,-392278512,-4.57,212352576,2.47,363629888,4.24
2023-06-19,BK0889,医疗美容,1652.64,-0.54,-364469568,-3.35,-58516752,-0.54,-305952816,-2.81,70636560,0.65,293832992,2.7
2023-06-16,BK0889,医疗美容,1661.64,0.32,-198332336,-2.1,32989376,0.35000000000000003,-231321712,-2.45,70731280,0.75,127601056,1.35
