日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-14,BK0917,半导体概念,1507.06,0.09,-2129641728,-2.15,-494256128,-0.5,-1635385600,-1.65,73403648,0.07,2053177600,2.07
2023-07-13,BK0917,半导体概念,1505.77,2.6,3258527744,3.46,2726483456,2.9,532044288,0.5700000000000001,-1069967104,-1.14,-2186580736,-2.32
2023-07-12,BK0917,半导体概念,1467.65,-1.7000000000000002,-6946070272,-7.58,-3595476736,-3.93,-3350593536,-3.66,1850668288,2.02,5091811072,5.5600000000000005
2023-07-11,BK0917,半导体概念,1493.1,1.94,1951772928,2.42,1908524032,2.37,43248896,0.05,-701958144,-0.87,-1249972992,-1.55
2023-07-10,BK0917,半导体概念,1464.64,-0.51,-2647650048,-4.39,-1342061312,-2.22,-1305588736,-2.16,382461696,0.63,2264885760,3.75
2023-07-07,BK0917,半导体概念,1472.13,-1.45,-4281648640,-6.06,-2426625792,-3.43,-1855022848,-2.62,671590400,0.95,3609256704,5.11
2023-07-06,BK0917,半导体概念,1493.76,0.35000000000000003,-647934720,-0.8200000000000001,533126400,0.67,-1181061120,-1.49,-255261184,-0.32,902652160,1.14
2023-07-05,BK0917,半导体概念,1488.54,-1.22,-4174574336,-5.23,-1873862144,-2.35,-2300712192,-2.88,578936832,0.73,3595689728,4.5
2023-07-04,BK0917,半导体概念,1506.87,1.43,1345505024,1.5,1173779200,1.31,171725824,0.19,-513401600,-0.5700000000000001,-831314432,-0.93
2023-07-03,BK0917,半导体概念,1485.56,-0.01,-1805500928,-2.06,-1018913280,-1.16,-786587648,-0.9,9120256,0.01,1796689664,2.05
2023-06-30,BK0917,半导体概念,1485.66,1.82,1329707776,1.6,1093139968,1.31,236567808,0.28,-855152640,-1.03,-475668992,-0.5700000000000001
2023-06-29,BK0917,半导体概念,1459.17,1.1,-1622041344,-2.12,-673629184,-0.88,-948412160,-1.24,195432448,0.26,1426412800,1.87
2023-06-28,BK0917,半导体概念,1443.3,-0.48,-1383283200,-1.72,-116089088,-0.14,-1267194112,-1.57,-237353728,-0.29,1619390720,2.01
2023-06-27,BK0917,半导体概念,1450.3,0.89,-1384052480,-2.03,-795473920,-1.17,-588578560,-0.86,522533120,0.77,861430272,1.26
2023-06-26,BK0917,半导体概念,1437.48,-1.69,-3744790016,-4.3,-1905910016,-2.19,-1838880000,-2.11,-153056256,-0.18,3897188608,4.48
2023-06-21,BK0917,半导体概念,1462.18,-2.67,-7295483392,-7.33,-3959607808,-3.98,-3335875584,-3.35,263124224,0.26,7032706048,7.06
2023-06-20,BK0917,半导体概念,1502.3,-0.37,-5127396096,-4.83,-2799152896,-2.63,-2328243200,-2.19,257921024,0.24,4867539712,4.58
2023-06-19,BK0917,半导体概念,1507.94,1.17,-1658156288,-1.55,-957665024,-0.89,-700491264,-0.65,-81379072,-0.08,1738776576,1.62
2023-06-16,BK0917,半导体概念,1490.52,1.1,269754880,0.28,789221120,0.8200000000000001,-519466240,-0.54,-576907264,-0.6000000000000001,306626816,0.32
