日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-06,BK0995,华为昇腾,1059.91,1.66,1449679072,14.8,1491785296,15.23,-42106224,-0.43,-682992000,-6.98,-766687072,-7.83
2023-07-05,BK0995,华为昇腾,1042.63,-1.71,-901892208,-9.34,-631131296,-6.53,-270760912,-2.8,204437792,2.12,697454416,7.22
2023-07-04,BK0995,华为昇腾,1060.75,1.24,261954320,2.47,239879296,2.26,22075024,0.21,-55008112,-0.52,-206946224,-1.95
2023-07-03,BK0995,华为昇腾,1047.74,0.28,-107259696,-1.22,-28443072,-0.32,-78816624,-0.9,72982528,0.8300000000000001,34277184,0.39
2023-06-30,BK0995,华为昇腾,1044.84,0.59,-228890640,-2.65,-214917360,-2.49,-13973280,-0.16,54487536,0.63,174403104,2.02
2023-06-29,BK0995,华为昇腾,1038.75,0.58,-891863808,-9.5,-392822768,-4.19,-499041040,-5.32,78570912,0.84,813292896,8.66
2023-06-28,BK0995,华为昇腾,1032.78,-2.37,-884905616,-6.49,-516992512,-3.79,-367913104,-2.7,158561424,1.16,726344208,5.32
2023-06-27,BK0995,华为昇腾,1057.87,2.86,592048624,5.77,730314624,7.11,-138266000,-1.35,-483007968,-4.71,-109040640,-1.06
2023-06-26,BK0995,华为昇腾,1028.47,-6.28,-1182184080,-10.01,-383752720,-3.25,-798431360,-6.76,-218386432,-1.85,1400570512,11.86
2023-06-21,BK0995,华为昇腾,1097.37,-3.74,-1733467792,-12.17,-1242266032,-8.72,-491201760,-3.45,227863040,1.6,1505604544,10.57
2023-06-20,BK0995,华为昇腾,1139.97,1.4,895691360,5.27,914966624,5.39,-19275264,-0.11,-563093248,-3.32,-332598096,-1.96
2023-06-19,BK0995,华为昇腾,1124.19,1.17,-359464576,-2.84,-293213024,-2.31,-66251552,-0.52,23674896,0.19,335789680,2.65
2023-06-16,BK0995,华为昇腾,1111.16,1.47,28112848,0.21,421557776,3.22,-393444928,-3.0,-98784208,-0.75,70671360,0.54
