日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0854,华为概念,2664.58,1.37,390985984,0.23,1312790016,0.76,-921804032,-0.53,-945858048,-0.55,554865920,0.32
2023-09-04,BK0854,华为概念,2628.03,1.79,5315183360,3.51,3121617152,2.06,2193566208,1.45,-1629746944,-1.08,-3684651264,-2.44
2023-08-31,BK0854,华为概念,2595.44,-0.2,-6145445632,-3.97,-2679060480,-1.73,-3466385152,-2.24,223075584,0.14,5922372096,3.82
2023-08-29,BK0854,华为概念,2544.87,4.52,5764413696,3.23,4085032704,2.29,1679380992,0.94,-2885456896,-1.62,-2878871296,-1.61
2023-08-28,BK0854,华为概念,2434.7,0.56,-3203706112,-1.84,274170112,0.16,-3477876224,-2.0,-734938880,-0.42,3938165760,2.26
2023-08-25,BK0854,华为概念,2421.08,-3.24,-9669304064,-7.19,-4567987456,-3.39,-5101316608,-3.79,-399681280,-0.30000000000000004,10068936448,7.48
2023-08-24,BK0854,华为概念,2502.13,-0.13,-2344573184,-1.69,-662573312,-0.48,-1681999872,-1.21,-1194114304,-0.86,3538666752,2.55
2023-08-23,BK0854,华为概念,2505.5,-1.94,-7423588352,-5.83,-3992994816,-3.14,-3430593536,-2.7,796615936,0.63,6626742528,5.21
2023-08-21,BK0854,华为概念,2505.42,-0.30000000000000004,-2568292096,-2.36,-886665216,-0.81,-1681626880,-1.54,-603813120,-0.55,3171855104,2.91
2023-08-18,BK0854,华为概念,2512.86,-2.12,-8248614656,-7.02,-4173158144,-3.55,-4075456512,-3.47,926628608,0.79,7321842944,6.23
2023-08-16,BK0854,华为概念,2528.75,-1.63,-7123100416,-6.16,-3310456832,-2.86,-3812643584,-3.3,272118016,0.24,6850718464,5.92
2023-08-15,BK0854,华为概念,2570.78,-1.33,-6242419968,-5.36,-3150416640,-2.71,-3092003328,-2.66,274906368,0.24,5967374592,5.12
2023-08-14,BK0854,华为概念,2605.45,1.05,-2760556800,-2.05,-506574848,-0.38,-2253981952,-1.67,-226857216,-0.17,2987357184,2.22
2023-08-11,BK0854,华为概念,2578.3,-2.07,-8148154112,-6.84,-3752849664,-3.15,-4395304448,-3.69,-666328576,-0.56,8814123264,7.4
2023-08-10,BK0854,华为概念,2632.7,0.08,-5533003776,-5.05,-2287251200,-2.09,-3245752576,-2.96,-235032320,-0.21,5768015616,5.27
2023-08-09,BK0854,华为概念,2630.64,-1.17,-10857770496,-8.26,-5616126976,-4.27,-5241643520,-3.99,404916992,0.31,10452617216,7.96
2023-08-08,BK0854,华为概念,2661.75,-0.59,-6211243776,-4.74,-3334972416,-2.55,-2876271360,-2.2,-149594112,-0.11,6360693760,4.86
2023-08-07,BK0854,华为概念,2677.46,0.04,-5909343232,-3.92,-3114997248,-2.07,-2794345984,-1.85,542326016,0.36,5366718208,3.56
2023-08-04,BK0854,华为概念,2676.43,1.45,3007092480,1.66,3819680512,2.11,-812588032,-0.45,-831367168,-0.46,-2176147968,-1.2
2023-08-03,BK0854,华为概念,2638.2,-0.46,-5147999488,-4.14,-1752460800,-1.41,-3395538688,-2.73,482406656,0.39,4665489408,3.75
2023-08-02,BK0854,华为概念,2650.42,0.24,-3005065216,-2.16,-866440960,-0.62,-2138624256,-1.54,303557888,0.22,2700931584,1.94
2023-08-01,BK0854,华为概念,2643.98,-0.07,-2862658048,-1.84,-1248002560,-0.8,-1614655488,-1.04,136159488,0.09,2726373376,1.76
2023-07-31,BK0854,华为概念,2645.83,0.8,360711936,0.2,933152000,0.53,-572440064,-0.32,-482144256,-0.27,121363968,0.07
2023-07-28,BK0854,华为概念,2624.88,0.67,2232326400,1.43,4163067648,2.68,-1930741248,-1.24,-3270190848,-2.1,1037745152,0.67
2023-07-27,BK0854,华为概念,2607.36,-1.16,-8295762432,-6.0,-4218997248,-3.05,-4076765184,-2.95,987106560,0.71,7308446720,5.28
2023-07-26,BK0854,华为概念,2637.85,-1.72,-11000262656,-7.59,-6432949504,-4.44,-4567313152,-3.15,1549803520,1.07,9450398976,6.52
2023-07-24,BK0854,华为概念,2638.37,0.25,-2257845760,-1.82,-1308838656,-1.06,-949007104,-0.77,193585152,0.16,2064155392,1.66
2023-07-21,BK0854,华为概念,2631.67,-0.89,-6495066880,-4.78,-2398746112,-1.77,-4096320768,-3.02,-288108288,-0.21,6783205888,4.99
2023-07-20,BK0854,华为概念,2655.41,-2.07,-13351552256,-8.25,-7579340800,-4.68,-5772211456,-3.5700000000000003,64829184,0.04,13286642176,8.21
2023-07-19,BK0854,华为概念,2711.62,-0.28,-5819193600,-3.74,-3025331968,-1.95,-2793861632,-1.8,-316960000,-0.2,6136123136,3.95
2023-07-17,BK0854,华为概念,2731.82,-0.30000000000000004,-8865729024,-4.72,-4630996480,-2.47,-4234732544,-2.25,1097466624,0.58,7768279808,4.14
2023-07-14,BK0854,华为概念,2740.09,0.95,1866349056,0.88,3211046144,1.51,-1344697088,-0.63,-2825851904,-1.33,959538176,0.45
2023-07-13,BK0854,华为概念,2714.3,1.45,119412736,0.06,1454551552,0.76,-1335138816,-0.7000000000000001,-1604146944,-0.84,1484233472,0.77
2023-07-12,BK0854,华为概念,2675.41,-1.98,-13792503040,-6.86,-6895500800,-3.43,-6897002240,-3.43,1470392320,0.73,12322210048,6.13
2023-07-11,BK0854,华为概念,2729.47,1.22,2549913856,1.46,3737310208,2.13,-1187396352,-0.68,-1147867136,-0.66,-1402345984,-0.8
2023-07-10,BK0854,华为概念,2696.46,-0.36,-5712104704,-3.75,-3553482752,-2.33,-2158621952,-1.42,895233536,0.59,4816776448,3.16
2023-07-07,BK0854,华为概念,2706.18,-1.35,-9107314688,-4.97,-4761894912,-2.6,-4345419776,-2.37,803353088,0.44,8304056320,4.53
2023-07-06,BK0854,华为概念,2743.25,0.39,1118530560,0.58,3275194368,1.71,-2156663808,-1.13,-2057309696,-1.08,938807040,0.49
2023-07-05,BK0854,华为概念,2732.6,-1.0,-8487666432,-4.48,-3819849216,-2.02,-4667817216,-2.46,892496384,0.47,7595069440,4.01
2023-07-04,BK0854,华为概念,2760.21,1.18,1399152384,0.68,2811143680,1.37,-1411991296,-0.6900000000000001,-1309134080,-0.64,-90046464,-0.04
2023-07-03,BK0854,华为概念,2728.0,0.03,-1894098432,-0.86,-767587328,-0.35000000000000003,-1126511104,-0.51,-829108224,-0.38,2722946816,1.24
2023-06-30,BK0854,华为概念,2727.22,1.33,2039402240,1.07,1717713920,0.9,321688320,0.17,-1842352640,-0.97,-196969728,-0.1
2023-06-29,BK0854,华为概念,2691.51,1.64,-857459968,-0.5,356674560,0.21,-1214134528,-0.71,-1119415552,-0.65,1977085440,1.15
2023-06-28,BK0854,华为概念,2647.96,-1.59,-8974681344,-4.63,-3562051328,-1.84,-5412630016,-2.79,608849664,0.31,8365847552,4.31
2023-06-27,BK0854,华为概念,2690.66,1.52,-2150531072,-1.3,-286402304,-0.17,-1864128768,-1.13,-800341760,-0.48,2950840320,1.78
2023-06-26,BK0854,华为概念,2650.49,-3.19,-14960318976,-6.84,-7057274880,-3.22,-7903044096,-3.61,-311939072,-0.14,15272273408,6.98
2023-06-21,BK0854,华为概念,2737.73,-2.7,-21101540096,-8.83,-12898374400,-5.4,-8203165696,-3.43,2022096896,0.85,19079430912,7.98
2023-06-20,BK0854,华为概念,2813.62,-0.08,-6157835520,-2.32,-1642097920,-0.62,-4515737600,-1.7000000000000002,-914444288,-0.34,7072071424,2.66
2023-06-19,BK0854,华为概念,2815.87,1.5,-366362880,-0.14,1869369600,0.71,-2235732480,-0.85,-1258950656,-0.48,1625236480,0.62
2023-06-16,BK0854,华为概念,2774.14,1.46,1866596608,0.79,2199073024,0.93,-332476416,-0.14,-1969405952,-0.8300000000000001,102748672,0.04
