日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0984,华为汽车,1439.75,1.54,293858560,1.74,480016496,2.84,-186157936,-1.1,-178806528,-1.06,-115052032,-0.68
2023-09-04,BK0984,华为汽车,1424.36,2.3,1271427648,7.06,883219552,4.91,388208096,2.16,-503193088,-2.8,-768234496,-4.27
2023-08-31,BK0984,华为汽车,1387.98,-0.5,-908665008,-6.24,-300353808,-2.06,-608311200,-4.18,-146261248,-1.0,1054926336,7.25
2023-08-29,BK0984,华为汽车,1381.39,5.54,1078025376,5.47,693374880,3.52,384650496,1.95,-580318720,-2.95,-497706752,-2.53
2023-08-28,BK0984,华为汽车,1308.82,0.87,-32078032,-0.22,221731984,1.49,-253810016,-1.7000000000000002,157652992,1.06,-125574912,-0.84
2023-08-25,BK0984,华为汽车,1297.48,-2.42,-511525120,-5.44,-245899936,-2.61,-265625184,-2.8200000000000003,-43793232,-0.47,555318352,5.91
2023-08-24,BK0984,华为汽车,1329.6,-0.05,9010560,0.1,98778208,1.04,-89767648,-0.95,-173060016,-1.83,164049440,1.73
2023-08-23,BK0984,华为汽车,1330.32,-2.17,-642389568,-6.79,-393767584,-4.16,-248621984,-2.63,70199968,0.74,572189616,6.04
2023-08-21,BK0984,华为汽车,1340.87,-0.96,-504230976,-5.75,-287203824,-3.27,-217027152,-2.47,62751728,0.72,441479232,5.03
2023-08-18,BK0984,华为汽车,1353.82,-1.32,-765344480,-7.21,-344828784,-3.25,-420515696,-3.96,205035632,1.93,560308832,5.28
2023-08-16,BK0984,华为汽车,1342.66,-1.84,-980578880,-9.96,-457005776,-4.64,-523573104,-5.32,-121320080,-1.23,1101898960,11.19
2023-08-15,BK0984,华为汽车,1367.86,-1.21,-780954720,-8.02,-428346992,-4.4,-352607728,-3.62,107259728,1.1,673695024,6.92
2023-08-14,BK0984,华为汽车,1384.57,-0.18,-1278076736,-9.19,-780590624,-5.61,-497486112,-3.58,-122173952,-0.88,1400250800,10.07
2023-08-11,BK0984,华为汽车,1387.06,-1.33,-506272624,-4.32,-194868112,-1.66,-311404512,-2.66,-68070320,-0.58,574342928,4.9
2023-08-10,BK0984,华为汽车,1405.82,-0.43,-909696048,-10.34,-371744720,-4.22,-537951328,-6.11,-114299392,-1.3,1023995440,11.64
2023-08-09,BK0984,华为汽车,1411.95,-1.55,-1119324064,-8.81,-574980624,-4.52,-544343440,-4.28,-31938096,-0.25,1151262112,9.06
2023-08-08,BK0984,华为汽车,1434.17,-0.77,-950440400,-7.29,-742621328,-5.7,-207819072,-1.59,26610128,0.2,923830224,7.09
2023-08-07,BK0984,华为汽车,1445.31,-0.07,-489893936,-3.51,-355445616,-2.55,-134448320,-0.96,50187264,0.36,439706624,3.15
2023-08-04,BK0984,华为汽车,1446.39,0.8200000000000001,190908496,1.08,29448480,0.17,161460016,0.91,-197664000,-1.12,6755840,0.04
2023-08-03,BK0984,华为汽车,1434.58,-0.86,-1033758544,-7.38,-531793904,-3.8,-501964640,-3.58,93198080,0.67,940560448,6.72
2023-08-02,BK0984,华为汽车,1447.02,0.12,-796499904,-4.31,-531211200,-2.87,-265288704,-1.44,192409600,1.04,604090112,3.27
2023-08-01,BK0984,华为汽车,1445.29,-0.92,-400310784,-1.83,-423305984,-1.94,22995200,0.11,62759424,0.29,337551360,1.55
2023-07-31,BK0984,华为汽车,1458.64,1.19,727289296,2.49,537576912,1.84,189712384,0.65,-254606592,-0.87,-472682752,-1.62
2023-07-28,BK0984,华为汽车,1441.51,1.06,1699209888,6.79,1260416672,5.04,438793216,1.75,-736836352,-2.94,-962373376,-3.85
2023-07-27,BK0984,华为汽车,1426.32,0.91,-729141248,-3.31,-379638784,-1.72,-349502464,-1.59,109789696,0.5,619351552,2.81
2023-07-26,BK0984,华为汽车,1413.4,-2.29,-2251481760,-12.3,-1836440864,-10.04,-415040896,-2.27,505593344,2.76,1745888512,9.54
2023-07-24,BK0984,华为汽车,1407.89,-0.4,-372451392,-3.67,-234432592,-2.31,-138018800,-1.36,201597312,1.98,170854080,1.6800000000000002
2023-07-21,BK0984,华为汽车,1413.49,-1.42,-732716544,-5.39,-361012592,-2.65,-371703952,-2.73,-247651328,-1.82,980367664,7.21
2023-07-20,BK0984,华为汽车,1433.91,-2.69,-2045426304,-10.82,-1203316592,-6.37,-842109712,-4.46,27823104,0.15,2017603072,10.67
2023-07-19,BK0984,华为汽车,1473.61,-0.6900000000000001,-781343456,-4.77,-516939728,-3.16,-264403728,-1.61,23885312,0.15,757458176,4.62
2023-07-17,BK0984,华为汽车,1464.31,-0.59,-645077520,-3.29,-13656080,-0.07,-631421440,-3.22,-141100544,-0.72,786178304,4.01
2023-07-14,BK0984,华为汽车,1473.0,-0.66,-1315734928,-6.22,-948004240,-4.48,-367730688,-1.74,37516288,0.18,1278218496,6.05
2023-07-13,BK0984,华为汽车,1482.85,-0.56,-1054754368,-4.44,-647829568,-2.73,-406924800,-1.71,-145268480,-0.61,1200022528,5.05
2023-07-12,BK0984,华为汽车,1491.26,0.15,-1366015904,-3.98,-1142357664,-3.33,-223658240,-0.65,241964288,0.71,1124051456,3.28
2023-07-11,BK0984,华为汽车,1488.96,2.94,1233208976,4.6,896074128,3.34,337134848,1.26,-208566016,-0.78,-1024643072,-3.82
2023-07-10,BK0984,华为汽车,1446.38,-0.15,-298413520,-1.55,74214704,0.38,-372628224,-1.93,-385016064,-2.0,683429632,3.54
2023-07-07,BK0984,华为汽车,1448.56,-1.41,-594020128,-2.87,-239573280,-1.16,-354446848,-1.71,238078976,1.15,355941376,1.72
2023-07-06,BK0984,华为汽车,1469.27,0.98,307027632,1.33,207530160,0.9,99497472,0.43,-331226880,-1.44,24199424,0.11
2023-07-05,BK0984,华为汽车,1455.03,-1.74,-1088375024,-4.02,-633978096,-2.34,-454396928,-1.6800000000000002,-111902720,-0.41,1200277760,4.43
2023-07-04,BK0984,华为汽车,1480.83,3.65,1716959232,5.4,1281317888,4.03,435641344,1.37,-452607488,-1.42,-1264352000,-3.97
2023-07-03,BK0984,华为汽车,1428.72,1.14,1420735376,6.17,1307480976,5.68,113254400,0.49,-712426240,-3.1,-708309248,-3.08
2023-06-30,BK0984,华为汽车,1412.67,1.47,-373456304,-2.59,-328832112,-2.28,-44624192,-0.31,43237120,0.30000000000000004,330219104,2.29
2023-06-29,BK0984,华为汽车,1392.15,1.56,200262960,1.35,35919456,0.24,164343504,1.11,-365665024,-2.47,165402368,1.12
2023-06-28,BK0984,华为汽车,1370.8,-0.7000000000000001,-660512128,-4.0,-411080144,-2.49,-249431984,-1.51,159398144,0.97,501113856,3.04
2023-06-27,BK0984,华为汽车,1380.51,1.02,-176179248,-1.13,-171381008,-1.1,-4798240,-0.03,-97864704,-0.63,274043904,1.75
2023-06-26,BK0984,华为汽车,1366.53,-1.41,-200972096,-0.8300000000000001,530766784,2.2,-731738880,-3.03,-583845888,-2.42,784817920,3.25
2023-06-21,BK0984,华为汽车,1386.01,-1.43,-1092116224,-6.09,-616933696,-3.44,-475182528,-2.65,24340736,0.14,1067775232,5.96
2023-06-20,BK0984,华为汽车,1406.17,0.85,447022368,2.04,424426528,1.93,22595840,0.1,-196361472,-0.89,-250660864,-1.14
2023-06-19,BK0984,华为汽车,1394.31,0.95,275684576,1.47,-80864288,-0.43,356548864,1.9,-121711360,-0.65,-153973248,-0.8200000000000001
2023-06-16,BK0984,华为汽车,1381.15,0.59,-429029296,-2.47,-365305520,-2.1,-63723776,-0.37,-187827968,-1.08,616857344,3.55
