日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-07,BK0870,单抗概念,1481.42,0.0,-27434208,-0.47,-68256320,-1.16,40822112,0.7000000000000001,-28590416,-0.49,56024624,0.96
2023-07-06,BK0870,单抗概念,1481.38,-1.81,-407878336,-5.42,-339668880,-4.51,-68209456,-0.91,44733648,0.59,363144704,4.83
2023-07-05,BK0870,单抗概念,1508.73,-0.29,23150016,0.24,-156008704,-1.62,179158720,1.86,185829776,1.93,-208979792,-2.17
2023-07-04,BK0870,单抗概念,1513.11,1.18,178675776,1.43,291075024,2.34,-112399248,-0.9,100756784,0.81,-279432560,-2.24
2023-07-03,BK0870,单抗概念,1495.53,0.33,144698752,1.86,48912624,0.63,95786128,1.23,86605504,1.11,-231304272,-2.98
2023-06-30,BK0870,单抗概念,1490.67,1.35,-59112704,-0.76,25427872,0.33,-84540576,-1.09,123515024,1.59,-64402336,-0.8300000000000001
2023-06-29,BK0870,单抗概念,1470.84,0.68,23069360,0.37,3094080,0.05,19975280,0.32,104731552,1.66,-127800912,-2.03
2023-06-28,BK0870,单抗概念,1460.97,-0.17,-233382224,-3.89,-134873760,-2.25,-98508464,-1.64,67449984,1.13,165932240,2.77
2023-06-27,BK0870,单抗概念,1463.46,1.27,52645072,0.89,-29912736,-0.5,82557808,1.39,-80373952,-1.35,27728896,0.47
2023-06-26,BK0870,单抗概念,1445.07,-1.43,-220496560,-3.29,-170449408,-2.55,-50047152,-0.75,-160561232,-2.4,381057808,5.69
2023-06-21,BK0870,单抗概念,1466.01,-1.36,-508596288,-7.83,-275743872,-4.25,-232852416,-3.59,52014176,0.8,456582128,7.03
2023-06-20,BK0870,单抗概念,1486.2,-0.59,-299669344,-4.65,-348447424,-5.41,48778080,0.76,29452272,0.46,270217072,4.19
2023-06-19,BK0870,单抗概念,1494.99,-0.51,-318424176,-4.19,-298173520,-3.93,-20250656,-0.27,8927056,0.12,309497120,4.08
2023-06-16,BK0870,单抗概念,1502.71,0.14,84577232,1.03,-53485024,-0.65,138062256,1.6800000000000002,-181424768,-2.21,96847552,1.18
