日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-14,BK0514,参股券商,12171.38,0.08,-1651877328,-4.78,-1137083088,-3.29,-514794240,-1.49,-98483456,-0.28,1750360832,5.06
2023-08-11,BK0514,参股券商,12161.36,-1.95,-3452378144,-9.36,-2274736416,-6.17,-1177641728,-3.19,611505152,1.66,2840873472,7.7
2023-08-10,BK0514,参股券商,12402.61,0.77,-434618112,-1.37,146241024,0.46,-580859136,-1.83,-43096832,-0.14,477715200,1.5
2023-08-09,BK0514,参股券商,12308.23,-0.77,-2743697088,-7.71,-1261480384,-3.54,-1482216704,-4.16,589495552,1.66,2154201600,6.05
2023-08-08,BK0514,参股券商,12403.7,-0.28,-2492937120,-5.92,-1424875424,-3.38,-1068061696,-2.54,419092480,1.0,2073844480,4.93
2023-08-07,BK0514,参股券商,12438.32,-0.95,-2239303680,-4.6,-1321812736,-2.71,-917490944,-1.88,-325230336,-0.67,2564534016,5.27
2023-08-04,BK0514,参股券商,12557.83,0.51,-525752576,-0.85,881452544,1.42,-1407205120,-2.26,-127342848,-0.2,653095424,1.05
2023-08-03,BK0514,参股券商,12493.54,0.8300000000000001,1913856,0.0,307188736,0.7000000000000001,-305274880,-0.7000000000000001,-489318656,-1.12,487404544,1.12
2023-08-02,BK0514,参股券商,12390.16,-0.01,-1708934400,-3.75,-566747392,-1.24,-1142187008,-2.51,75238400,0.17,1633695744,3.59
2023-08-01,BK0514,参股券商,12391.85,-0.30000000000000004,-2609297664,-4.95,-1411489280,-2.68,-1197808384,-2.27,185249280,0.35000000000000003,2424048384,4.6
2023-07-31,BK0514,参股券商,12428.67,1.84,-281941248,-0.46,141234432,0.23,-423175680,-0.6900000000000001,-332463360,-0.54,614404864,1.01
2023-07-28,BK0514,参股券商,12204.21,2.45,3458262272,6.76,2673204992,5.23,785057280,1.54,-1343353856,-2.63,-2114908416,-4.14
