日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-03,BK0525,参股银行,9073.49,1.01,424451840,0.7000000000000001,851695616,1.41,-427243776,-0.71,-376126208,-0.62,-48325888,-0.08
2023-06-30,BK0525,参股银行,8983.03,1.18,42159104,0.08,393619968,0.78,-351460864,-0.7000000000000001,-468659712,-0.93,426500608,0.85
2023-06-29,BK0525,参股银行,8878.22,0.33,-2534810368,-5.64,-1306019072,-2.91,-1228791296,-2.74,288818176,0.64,2245992448,5.0
2023-06-28,BK0525,参股银行,8849.23,0.1,-1582862336,-3.16,-842277888,-1.6800000000000002,-740584448,-1.48,88357888,0.18,1494504704,2.98
2023-06-27,BK0525,参股银行,8840.81,2.07,158248960,0.31,168884736,0.33,-10635776,-0.02,57769472,0.11,-216018432,-0.42
2023-06-26,BK0525,参股银行,8661.27,-1.24,-3635912192,-5.91,-1313992960,-2.14,-2321919232,-3.77,581289472,0.94,3054622720,4.96
2023-06-21,BK0525,参股银行,8769.73,-1.15,-3881262848,-6.92,-2558678016,-4.5600000000000005,-1322584832,-2.36,456630016,0.81,3424632576,6.11
2023-06-20,BK0525,参股银行,8871.91,-0.68,-1660577024,-2.63,-903900160,-1.43,-756676864,-1.2,-69318656,-0.11,1729895680,2.74
2023-06-19,BK0525,参股银行,8932.23,-0.63,-3169384192,-5.32,-1876967680,-3.15,-1292416512,-2.17,959567872,1.61,2209816576,3.71
2023-06-16,BK0525,参股银行,8988.6,0.58,714290944,1.12,272110592,0.43,442180352,0.7000000000000001,-401959168,-0.63,-312331776,-0.49
