日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-01,BK0911,口罩,1421.47,-0.61,-831474640,-3.65,-258646992,-1.14,-572827648,-2.51,-78783232,-0.35000000000000003,910257920,4.0
2023-07-31,BK0911,口罩,1430.14,0.7000000000000001,-459198352,-1.58,-278297744,-0.96,-180900608,-0.62,-196258304,-0.68,655456768,2.26
2023-07-28,BK0911,口罩,1420.21,0.93,275103984,1.11,438326512,1.76,-163222528,-0.66,-432343808,-1.74,157240064,0.63
2023-07-27,BK0911,口罩,1407.14,-0.68,-769150832,-3.88,-245465376,-1.24,-523685456,-2.64,-160642304,-0.81,929793024,4.68
2023-07-26,BK0911,口罩,1416.79,-0.4,-974795888,-4.71,-490701168,-2.37,-484094720,-2.34,138235648,0.67,836559872,4.04
2023-07-24,BK0911,口罩,1403.47,0.01,-978169600,-5.21,-396429136,-2.11,-581740464,-3.1,-119716608,-0.64,1097886208,5.85
2023-07-21,BK0911,口罩,1403.28,-0.12,-717513376,-3.6,-242970768,-1.22,-474542608,-2.38,-41284608,-0.21,758798080,3.81
2023-07-20,BK0911,口罩,1404.96,-0.5700000000000001,-581607008,-2.58,-177194592,-0.79,-404412416,-1.8,-229415424,-1.02,811022336,3.6
2023-07-19,BK0911,口罩,1413.04,-0.34,-967715872,-5.01,-376644960,-1.95,-591070912,-3.06,119171328,0.62,848544256,4.39
2023-07-17,BK0911,口罩,1417.26,-0.36,-655381504,-2.65,-180342784,-0.73,-475038720,-1.92,218441472,0.88,436939776,1.76
2023-07-14,BK0911,口罩,1422.37,0.1,-827450016,-3.39,-198433184,-0.81,-629016832,-2.58,99871744,0.41,727578624,2.98
2023-07-13,BK0911,口罩,1420.96,0.65,-474505264,-2.11,-47859248,-0.21,-426646016,-1.9,-230228480,-1.02,704733440,3.13
2023-07-12,BK0911,口罩,1411.75,-1.3,-1741398608,-8.08,-783617104,-3.64,-957781504,-4.44,410027264,1.9,1331371264,6.18
2023-07-11,BK0911,口罩,1430.29,0.63,-165839904,-0.8300000000000001,-4421920,-0.02,-161417984,-0.8,10725376,0.05,155114752,0.77
2023-07-10,BK0911,口罩,1421.32,-0.1,-795325808,-3.73,-361324400,-1.69,-434001408,-2.03,261102592,1.22,534223360,2.5
2023-07-07,BK0911,口罩,1422.7,-0.56,-1107521808,-5.51,-562453600,-2.8,-545068208,-2.71,193061888,0.96,914459904,4.55
2023-07-06,BK0911,口罩,1430.71,-0.43,-1041782000,-4.78,-456178672,-2.09,-585603328,-2.68,222554368,1.02,819227648,3.76
2023-07-05,BK0911,口罩,1436.91,-0.87,-1190150672,-5.12,-649481744,-2.79,-540668928,-2.33,39843840,0.17,1150306816,4.95
2023-07-04,BK0911,口罩,1449.48,0.62,-214579888,-0.8,144276816,0.54,-358856704,-1.35,-227756288,-0.85,442336256,1.66
2023-07-03,BK0911,口罩,1440.48,-0.17,-450187408,-1.44,-106463120,-0.34,-343724288,-1.1,-177024512,-0.5700000000000001,627212032,2.01
2023-06-30,BK0911,口罩,1442.91,1.47,62818160,0.22,222145904,0.78,-159327744,-0.56,-186076160,-0.66,123258112,0.43
2023-06-29,BK0911,口罩,1422.01,1.33,-343489280,-1.34,-20902400,-0.08,-322586880,-1.26,-82708224,-0.32,426197504,1.66
2023-06-28,BK0911,口罩,1403.39,-0.19,-796966256,-3.35,-437074032,-1.84,-359892224,-1.51,966400,0.0,796000000,3.35
2023-06-27,BK0911,口罩,1406.01,2.42,-664377040,-2.69,-150869968,-0.61,-513507072,-2.08,-41040640,-0.17,705417728,2.85
2023-06-26,BK0911,口罩,1372.81,-1.33,-1891848000,-6.76,-807497024,-2.89,-1084350976,-3.88,-11315712,-0.04,1903163648,6.8
2023-06-21,BK0911,口罩,1391.33,-1.01,-1321000848,-4.86,-451453584,-1.66,-869547264,-3.2,195313152,0.72,1125687808,4.14
2023-06-20,BK0911,口罩,1405.53,-0.30000000000000004,-1082767408,-3.53,-344381744,-1.12,-738385664,-2.41,230287616,0.75,852479744,2.78
2023-06-19,BK0911,口罩,1409.76,-0.35000000000000003,-772869760,-2.48,-462878336,-1.48,-309991424,-0.99,83807488,0.27,689062144,2.21
2023-06-16,BK0911,口罩,1414.66,0.39,-447165984,-1.45,-5015328,-0.02,-442150656,-1.43,11668224,0.04,435497984,1.41
