日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-03,BK0818,可燃冰,1015.99,1.61,-19059883,-1.44,24403484,1.84,-43463367,-3.28,-26325328,-1.99,45385200,3.43
2023-06-30,BK0818,可燃冰,999.94,0.84,-94461813,-11.11,-54184728,-6.38,-40277085,-4.74,-17044462,-2.01,111506272,13.12
2023-06-29,BK0818,可燃冰,991.62,0.25,-58941701,-7.07,-25826825,-3.1,-33114876,-3.97,-4878381,-0.59,63820080,7.66
2023-06-28,BK0818,可燃冰,989.13,0.81,9870674,1.0,26416075,2.67,-16545401,-1.67,-40664608,-4.11,30793920,3.11
2023-06-27,BK0818,可燃冰,981.18,2.44,-10162431,-0.92,-26838981,-2.43,16676550,1.51,-11740432,-1.06,21902848,1.98
2023-06-26,BK0818,可燃冰,957.79,-0.51,52799561,4.5600000000000005,40288594,3.48,12510967,1.08,-26451024,-2.28,-26348544,-2.28
2023-06-21,BK0818,可燃冰,962.69,-0.93,28548529,2.84,39968171,3.98,-11419642,-1.14,-25169264,-2.5,-3379264,-0.34
2023-06-20,BK0818,可燃冰,971.73,-1.06,-45238518,-4.52,22931991,2.29,-68170509,-6.8100000000000005,2429568,0.24,42808960,4.28
2023-06-19,BK0818,可燃冰,982.18,-0.76,24326409,2.16,2516902,0.22,21809507,1.93,-17580912,-1.56,-6745504,-0.6000000000000001
2023-06-16,BK0818,可燃冰,989.71,1.45,-17415823,-1.3,-11953577,-0.89,-5462246,-0.41,9171632,0.68,8244176,0.62
