日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-03,BK1082,噪声防治,1105.95,-0.8,-16421465,-2.87,-7019775,-1.23,-9401690,-1.64,-11306517,-1.97,27727983,4.84
2023-06-30,BK1082,噪声防治,1114.9,1.53,-28433569,-4.96,-16919852,-2.95,-11513717,-2.01,-3764438,-0.66,32198008,5.62
2023-06-29,BK1082,噪声防治,1098.06,1.5,-4570306,-1.0,13750653,3.01,-18320959,-4.02,5484688,1.2,-914382,-0.2
2023-06-28,BK1082,噪声防治,1081.83,0.09,-22658366,-6.79,-4568905,-1.37,-18089461,-5.42,7091377,2.13,15566989,4.67
2023-06-27,BK1082,噪声防治,1080.87,2.64,-10294818,-3.33,1538299,0.5,-11833117,-3.83,10190823,3.3,103995,0.03
2023-06-26,BK1082,噪声防治,1053.02,-1.82,-52746447,-14.52,-24346306,-6.7,-28400141,-7.82,6702686,1.84,46043762,12.67
2023-06-21,BK1082,噪声防治,1072.52,-0.87,-8799868,-2.31,-8415540,-2.21,-384328,-0.1,14604903,3.83,-5805035,-1.52
2023-06-20,BK1082,噪声防治,1081.88,-0.74,-6956344,-2.15,1995090,0.62,-8951434,-2.77,11050044,3.42,-4093700,-1.27
2023-06-19,BK1082,噪声防治,1089.99,-0.85,-21485828,-6.71,-1510100,-0.47,-19975728,-6.24,-4386461,-1.37,25872288,8.08
2023-06-16,BK1082,噪声防治,1099.33,0.0,-23387940,-7.14,-8988357,-2.74,-14399583,-4.4,-13541022,-4.13,36928962,11.27
