日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-10,BK0632,土地流转,1618.91,0.30000000000000004,-238745280,-4.4,-94594112,-1.74,-144151168,-2.66,36797200,0.68,201948064,3.73
2023-08-09,BK0632,土地流转,1614.13,-0.42,-85922071,-1.71,-15237159,-0.30000000000000004,-70684912,-1.4,-4803712,-0.1,90725776,1.8
2023-08-08,BK0632,土地流转,1620.96,-0.27,-362089920,-5.92,-204544496,-3.34,-157545424,-2.58,97494160,1.59,264595744,4.33
2023-08-07,BK0632,土地流转,1625.36,-0.46,-447314784,-5.76,-227185040,-2.93,-220129744,-2.84,17891328,0.23,429423456,5.53
2023-08-04,BK0632,土地流转,1632.86,-0.25,-430374928,-5.7,-79364032,-1.05,-351010896,-4.65,8407840,0.11,421967104,5.59
2023-08-03,BK0632,土地流转,1636.89,0.53,-113466400,-1.51,-80262832,-1.07,-33203568,-0.44,-95308928,-1.27,208775312,2.79
2023-08-02,BK0632,土地流转,1628.22,0.29,140704976,1.81,311658576,4.0,-170953600,-2.19,-201973360,-2.59,61268384,0.79
2023-08-01,BK0632,土地流转,1623.44,-0.58,-642063344,-8.35,-358602464,-4.67,-283460880,-3.69,88521776,1.15,553541568,7.2
2023-07-31,BK0632,土地流转,1632.88,2.43,29408432,0.32,61022672,0.66,-31614240,-0.34,-47375376,-0.51,17966944,0.19
2023-07-28,BK0632,土地流转,1594.18,1.1,-97643664,-1.51,19623696,0.30000000000000004,-117267360,-1.81,-120757952,-1.86,218401616,3.37
2023-07-27,BK0632,土地流转,1576.88,-0.8300000000000001,-260296816,-3.67,-109812272,-1.55,-150484544,-2.12,-39677200,-0.56,299974032,4.23
2023-07-26,BK0632,土地流转,1590.11,1.04,-300609168,-3.76,-126145824,-1.58,-174463344,-2.18,-36758864,-0.46,337368016,4.22
2023-07-24,BK0632,土地流转,1541.65,-0.41,-487150432,-8.96,-253137584,-4.65,-234012848,-4.3,154342432,2.84,332808016,6.12
2023-07-21,BK0632,土地流转,1548.02,1.1,75800224,1.32,59901216,1.04,15899008,0.28,56175536,0.98,-131975760,-2.3
2023-07-20,BK0632,土地流转,1531.24,-0.33,-142937101,-3.47,-109126061,-2.65,-33811040,-0.8200000000000001,-24506656,-0.59,167443760,4.06
2023-07-19,BK0632,土地流转,1536.34,0.48,-131686137,-3.26,-7887865,-0.2,-123798272,-3.07,-4924624,-0.12,136610784,3.39
2023-07-17,BK0632,土地流转,1520.69,-0.25,-255481797,-6.73,-93544629,-2.46,-161937168,-4.26,18559888,0.49,236921904,6.24
2023-07-14,BK0632,土地流转,1524.45,-0.05,-169113279,-4.04,-99453247,-2.37,-69660032,-1.66,64948688,1.55,104164608,2.49
2023-07-13,BK0632,土地流转,1525.23,0.93,34498301,0.88,105248701,2.68,-70750400,-1.8,-128684288,-3.27,94186016,2.39
2023-07-12,BK0632,土地流转,1511.23,-1.04,-331569840,-8.08,-124258528,-3.03,-207311312,-5.05,-458368,-0.01,332028192,8.09
2023-07-11,BK0632,土地流转,1527.15,0.0,-262697397,-6.75,-103635285,-2.66,-159062112,-4.09,4954384,0.13,257743024,6.63
2023-07-10,BK0632,土地流转,1527.19,0.08,-197633232,-4.58,-83802352,-1.94,-113830880,-2.64,-71166752,-1.65,268800000,6.23
2023-07-07,BK0632,土地流转,1526.01,0.55,-185962464,-3.34,-12486528,-0.22,-173475936,-3.11,8150368,0.15,177812080,3.19
2023-07-06,BK0632,土地流转,1517.7,1.11,152058192,3.5,144591632,3.33,7466560,0.17,-40797056,-0.94,-111261136,-2.56
2023-07-05,BK0632,土地流转,1500.99,-0.23,-139640365,-3.88,-59111965,-1.64,-80528400,-2.24,44790224,1.25,94850144,2.64
2023-07-04,BK0632,土地流转,1504.5,0.17,-35460948,-1.0,84763196,2.38,-120224144,-3.38,-62893824,-1.77,98354784,2.76
2023-07-03,BK0632,土地流转,1501.88,0.94,-157246856,-3.6,-87466568,-2.0,-69780288,-1.6,37288928,0.85,119957920,2.75
2023-06-30,BK0632,土地流转,1487.96,1.85,63618432,1.52,58437152,1.4,5181280,0.12,-67156864,-1.61,3538432,0.08
2023-06-29,BK0632,土地流转,1460.9,-0.26,-213861756,-6.04,-103265052,-2.92,-110596704,-3.12,23187536,0.66,190674224,5.39
2023-06-28,BK0632,土地流转,1464.73,0.08,-241902563,-6.5600000000000005,-140405011,-3.81,-101497552,-2.75,94698592,2.5700000000000003,147203968,3.99
2023-06-27,BK0632,土地流转,1463.6,2.25,20267214,0.52,-41427314,-1.06,61694528,1.58,-19461904,-0.5,-805296,-0.02
2023-06-26,BK0632,土地流转,1431.33,-1.2,-81648025,-2.13,-123975513,-3.24,42327488,1.1,-9297632,-0.24,90945664,2.37
2023-06-21,BK0632,土地流转,1448.76,-1.05,-240076109,-6.99,-142900413,-4.16,-97175696,-2.83,51607424,1.5,188468672,5.49
2023-06-20,BK0632,土地流转,1464.2,-1.43,-300940739,-7.76,-127376627,-3.29,-173564112,-4.48,45930272,1.18,255010480,6.58
2023-06-19,BK0632,土地流转,1485.51,-0.92,-333587008,-6.96,-205818544,-4.29,-127768464,-2.67,77786752,1.62,255800256,5.34
2023-06-16,BK0632,土地流转,1499.28,0.36,-131008490,-2.94,-96678954,-2.17,-34329536,-0.77,17974512,0.4,113033984,2.54
