日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-10,BK1070,土壤修复,796.91,0.63,-25353464,-1.54,-5565624,-0.34,-19787840,-1.2,-20144432,-1.22,45497888,2.76
2023-07-07,BK1070,土壤修复,791.89,-0.19,-26505944,-1.35,-19115496,-0.98,-7390448,-0.38,-13203776,-0.67,39709728,2.03
2023-07-06,BK1070,土壤修复,793.42,-0.2,-72685547,-4.06,-30256043,-1.69,-42429504,-2.37,-24393488,-1.36,97079040,5.42
2023-07-05,BK1070,土壤修复,795.01,-0.02,3597054,0.15,21142494,0.9,-17545440,-0.75,-20953296,-0.89,17356240,0.74
2023-07-04,BK1070,土壤修复,795.2,-0.4,-143151485,-6.85,-26217869,-1.25,-116933616,-5.6,2340208,0.11,140811280,6.74
2023-07-03,BK1070,土壤修复,798.41,1.02,14905103,0.55,49672911,1.82,-34767808,-1.28,-54040848,-1.98,39135744,1.44
2023-06-30,BK1070,土壤修复,790.31,0.84,-54587165,-2.76,-13816861,-0.7000000000000001,-40770304,-2.06,-4118384,-0.21,58705536,2.97
2023-06-29,BK1070,土壤修复,783.69,0.61,-107056343,-5.02,-64493911,-3.03,-42562432,-2.0,29046336,1.36,78010016,3.66
2023-06-28,BK1070,土壤修复,778.95,0.28,81660469,3.77,140280533,6.48,-58620064,-2.71,-97069520,-4.49,15409056,0.71
2023-06-27,BK1070,土壤修复,776.76,1.98,33409925,1.57,-782763,-0.04,34192688,1.61,-7534160,-0.35000000000000003,-25875792,-1.22
2023-06-26,BK1070,土壤修复,761.65,-0.5700000000000001,-22417884,-0.86,-10639516,-0.41,-11778368,-0.45,7537072,0.29,14880816,0.5700000000000001
2023-06-21,BK1070,土壤修复,766.01,-0.73,47273832,2.24,26821672,1.27,20452160,0.97,-81662912,-3.86,34389088,1.63
2023-06-20,BK1070,土壤修复,771.64,-0.77,-178838061,-8.25,-82163005,-3.79,-96675056,-4.46,-22827168,-1.05,201665232,9.31
2023-06-19,BK1070,土壤修复,777.59,-0.5,-198538300,-9.01,-114495068,-5.2,-84043232,-3.81,14166384,0.64,184371920,8.37
2023-06-16,BK1070,土壤修复,781.5,0.24,-21921929,-0.96,6553255,0.29,-28475184,-1.25,-15573840,-0.68,37495776,1.64
