日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-10,BK0692,在线旅游,1600.38,1.02,125275392,3.66,62464176,1.83,62811216,1.84,82508544,2.41,-207783936,-6.08
2023-07-07,BK0692,在线旅游,1584.21,0.07,32462728,1.27,-16043528,-0.63,48506256,1.9,24155792,0.95,-56618528,-2.22
2023-07-06,BK0692,在线旅游,1583.09,-0.39,-84681018,-3.03,-110811562,-3.97,26130544,0.94,58721424,2.1,25959600,0.93
2023-07-05,BK0692,在线旅游,1589.22,-0.95,-40221943,-1.47,-11966119,-0.44,-28255824,-1.03,-28283968,-1.04,68505920,2.51
2023-07-04,BK0692,在线旅游,1604.47,0.43,50353373,1.45,3920781,0.11,46432592,1.34,-49310384,-1.42,-1043008,-0.03
2023-07-03,BK0692,在线旅游,1597.54,2.72,239638374,4.6,146267814,2.81,93370560,1.79,112094992,2.15,-351733360,-6.76
2023-06-30,BK0692,在线旅游,1555.19,0.34,-43232961,-1.54,-65953825,-2.35,22720864,0.81,15232032,0.54,28000944,1.0
2023-06-29,BK0692,在线旅游,1549.92,-0.23,-14145607,-0.45,-13308679,-0.42,-836928,-0.03,-32183200,-1.03,46328816,1.48
2023-06-28,BK0692,在线旅游,1553.44,-0.48,-130277326,-3.67,-7948702,-0.22,-122328624,-3.45,20363824,0.5700000000000001,109913504,3.1
2023-06-27,BK0692,在线旅游,1560.89,3.9,351745708,8.42,206722940,4.95,145022768,3.47,-108067328,-2.59,-243678384,-5.83
2023-06-26,BK0692,在线旅游,1502.25,-2.83,-153544933,-4.74,-38957637,-1.2,-114587296,-3.54,-864880,-0.03,154409824,4.77
2023-06-21,BK0692,在线旅游,1546.06,-2.38,-233104170,-6.68,-159690970,-4.58,-73413200,-2.1,75637712,2.17,157466448,4.51
2023-06-20,BK0692,在线旅游,1583.82,-1.44,-220179092,-6.77,-96318180,-2.96,-123860912,-3.81,-42313008,-1.3,262492080,8.07
2023-06-19,BK0692,在线旅游,1606.96,-0.95,-165791380,-5.2,-68359556,-2.14,-97431824,-3.05,-14805728,-0.46,180597120,5.66
2023-06-16,BK0692,在线旅游,1622.42,-0.53,-143274210,-4.28,-109692914,-3.27,-33581296,-1.0,-39735616,-1.19,183009824,5.46
