日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0929,地塞米松,1188.52,-0.58,-47130268,-5.68,-27690459,-3.34,-19439809,-2.34,2600356,0.31,44529920,5.37
2023-09-04,BK0929,地塞米松,1207.59,0.92,44715696,3.3,32753746,2.41,11961950,0.88,-63048976,-4.65,18333296,1.35
2023-08-31,BK0929,地塞米松,1205.68,1.18,28072921,2.11,29359686,2.21,-1286765,-0.1,-47634928,-3.59,19562000,1.47
2023-08-29,BK0929,地塞米松,1198.98,2.71,25998787,1.98,40301235,3.07,-14302448,-1.09,-218352,-0.02,-25780448,-1.96
2023-08-28,BK0929,地塞米松,1167.3,0.88,-96404861,-4.97,-10778701,-0.56,-85626160,-4.41,15563600,0.8,80841248,4.16
2023-08-25,BK0929,地塞米松,1157.16,-1.04,-23483848,-2.63,-636159,-0.07,-22847689,-2.56,-23975536,-2.69,47459376,5.32
2023-08-24,BK0929,地塞米松,1169.36,-0.5,-84762809,-7.1,-31405800,-2.63,-53357009,-4.47,-4483440,-0.38,89246240,7.48
2023-08-23,BK0929,地塞米松,1175.25,-1.54,-23528814,-2.72,-13105839,-1.52,-10422975,-1.21,-5617616,-0.65,29146432,3.37
2023-08-21,BK0929,地塞米松,1199.46,-0.73,-71441713,-6.01,-37267404,-3.14,-34174309,-2.88,16840704,1.42,54601008,4.59
2023-08-18,BK0929,地塞米松,1208.22,-3.27,-107243369,-7.62,-63698062,-4.52,-43545307,-3.09,3577840,0.25,103665520,7.36
2023-08-16,BK0929,地塞米松,1245.84,-1.04,-103146076,-6.5600000000000005,-22323448,-1.42,-80822628,-5.14,-17580416,-1.12,120726496,7.67
2023-08-15,BK0929,地塞米松,1258.96,2.18,85904781,6.24,95788497,6.95,-9883716,-0.72,-56125136,-4.07,-29779648,-2.16
2023-08-14,BK0929,地塞米松,1232.11,-0.41,-125163154,-7.59,-42040338,-2.55,-83122816,-5.04,263616,0.02,124899536,7.57
2023-08-11,BK0929,地塞米松,1237.24,-0.33,-63983860,-3.45,-35086036,-1.89,-28897824,-1.56,28532416,1.54,35451440,1.91
2023-08-10,BK0929,地塞米松,1241.36,-0.54,-153111980,-10.38,-30066455,-2.04,-123045525,-8.34,14166320,0.96,138945648,9.42
2023-08-09,BK0929,地塞米松,1248.04,1.58,16325042,1.11,25730178,1.75,-9405136,-0.64,-46684368,-3.18,30359312,2.07
2023-08-08,BK0929,地塞米松,1228.6,1.56,-5357884,-0.39,18706380,1.37,-24064264,-1.76,-12483824,-0.91,17841696,1.3
2023-08-07,BK0929,地塞米松,1209.7,-2.46,-125025979,-7.74,-97068747,-6.01,-27957232,-1.73,5702704,0.35000000000000003,119323280,7.38
2023-08-04,BK0929,地塞米松,1240.21,-1.36,-50470162,-2.7,-22484754,-1.2,-27985408,-1.5,-20401552,-1.09,70871696,3.79
2023-08-03,BK0929,地塞米松,1257.27,2.91,23794724,1.38,2600932,0.15,21193792,1.23,23249616,1.35,-47044336,-2.74
2023-08-02,BK0929,地塞米松,1221.69,-1.01,-24418375,-1.95,-12986670,-1.04,-11431705,-0.91,45358704,3.62,-20940336,-1.67
2023-08-01,BK0929,地塞米松,1234.16,-0.67,-86314996,-6.25,-41145530,-2.98,-45169466,-3.27,30358288,2.2,55956720,4.05
