日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-03,BK0924,地摊经济,1446.13,2.31,658012448,6.15,587655952,5.49,70356496,0.66,-340119728,-3.18,-317892720,-2.97
2023-06-30,BK0924,地摊经济,1413.54,0.68,-689550032,-9.08,-547598160,-7.21,-141951872,-1.87,108420320,1.43,581129712,7.65
2023-06-29,BK0924,地摊经济,1403.97,0.39,-473577360,-6.03,-333702352,-4.25,-139875008,-1.78,54181792,0.6900000000000001,419395584,5.34
2023-06-28,BK0924,地摊经济,1398.48,0.12,-188212624,-2.5700000000000003,-97006912,-1.32,-91205712,-1.24,-94126864,-1.28,282339504,3.85
2023-06-27,BK0924,地摊经济,1396.85,2.21,42051616,0.53,-15672368,-0.2,57723984,0.73,-75197776,-0.95,33146176,0.42
2023-06-26,BK0924,地摊经济,1366.69,-1.43,-7782160,-0.08,272825920,2.76,-280608080,-2.84,-159651552,-1.62,167433712,1.7000000000000002
2023-06-21,BK0924,地摊经济,1386.47,-1.07,-418896608,-5.22,-281778192,-3.51,-137118416,-1.71,-90127888,-1.12,509024496,6.35
2023-06-20,BK0924,地摊经济,1401.41,-1.16,-594219664,-5.08,-426415488,-3.64,-167804176,-1.43,-30394208,-0.26,624613888,5.33
2023-06-19,BK0924,地摊经济,1417.79,-1.04,-744393712,-7.07,-551450496,-5.24,-192943216,-1.83,121537568,1.15,622856128,5.92
2023-06-16,BK0924,地摊经济,1432.72,-0.62,-656427264,-6.18,-323237984,-3.04,-333189280,-3.14,127436736,1.2,528990544,4.98
