日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-03,BK0873,垃圾分类,1219.7,0.46,-388043008,-4.06,-176441120,-1.85,-211601888,-2.22,56573360,0.59,330678064,3.46
2023-06-30,BK0873,垃圾分类,1214.14,1.06,-2484992,-0.03,-31035024,-0.36,28550032,0.33,-94320736,-1.09,96204288,1.11
2023-06-29,BK0873,垃圾分类,1201.36,0.66,-248292832,-3.0,-129967424,-1.57,-118325408,-1.43,-38283392,-0.46,286308464,3.46
2023-06-28,BK0873,垃圾分类,1193.52,0.33,-130774112,-1.62,-27639520,-0.34,-103134592,-1.28,-43852464,-0.54,174299344,2.16
2023-06-27,BK0873,垃圾分类,1189.57,1.95,-192987664,-2.48,-56790416,-0.73,-136197248,-1.75,-103731136,-1.33,297019296,3.82
2023-06-26,BK0873,垃圾分类,1166.8,-0.72,-321336560,-3.43,-113207808,-1.21,-208128752,-2.22,46187440,0.49,274806544,2.93
2023-06-21,BK0873,垃圾分类,1175.29,-0.89,-125769152,-1.81,-81382528,-1.17,-44386624,-0.64,54937376,0.79,70109872,1.01
2023-06-20,BK0873,垃圾分类,1185.85,-0.52,-267213456,-3.5,-189646224,-2.48,-77567232,-1.01,47792016,0.63,219010752,2.87
2023-06-19,BK0873,垃圾分类,1192.09,-0.49,-211784832,-2.74,-5847760,-0.08,-205937072,-2.67,-24967632,-0.32,236190304,3.06
2023-06-16,BK0873,垃圾分类,1197.94,0.08,-229293024,-2.84,-47830000,-0.59,-181463024,-2.24,8365248,0.1,220745216,2.73
