日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-03,BK0693,基因测序,1967.5,1.09,599773472,6.55,102347632,1.12,497425840,5.43,-1607520,-0.02,-601820736,-6.57
2023-08-02,BK0693,基因测序,1946.29,-1.09,-395504272,-4.83,-146764384,-1.79,-248739888,-3.04,28452256,0.35000000000000003,368377760,4.5
2023-08-01,BK0693,基因测序,1967.67,-0.31,224355600,2.2,128348672,1.26,96006928,0.94,-120650528,-1.18,-107241680,-1.05
2023-07-31,BK0693,基因测序,1973.86,-0.12,138139216,1.35,-52570992,-0.51,190710208,1.86,-82550528,-0.8,-58156400,-0.5700000000000001
2023-07-28,BK0693,基因测序,1976.19,1.11,-84332960,-1.29,-48081152,-0.73,-36251808,-0.55,-125793808,-1.92,212958816,3.25
2023-07-27,BK0693,基因测序,1954.43,-0.7000000000000001,-149481632,-2.66,-469504,-0.01,-149012128,-2.65,-14936336,-0.27,161834912,2.88
2023-07-26,BK0693,基因测序,1968.14,0.42,39768464,0.6000000000000001,73365824,1.1,-33597360,-0.5,-10772400,-0.16,-25310400,-0.38
2023-07-24,BK0693,基因测序,1947.23,0.63,-83196144,-1.47,-52662672,-0.93,-30533472,-0.54,84837440,1.49,-4085648,-0.07
2023-07-21,BK0693,基因测序,1935.09,0.76,99875296,1.81,6544464,0.12,93330832,1.69,-11505648,-0.21,-88800240,-1.61
2023-07-20,BK0693,基因测序,1920.55,-0.22,-153866992,-2.77,-150258480,-2.71,-3608512,-0.06,-12332656,-0.22,172021920,3.1
2023-07-19,BK0693,基因测序,1924.75,-0.03,-34550320,-0.7000000000000001,-12368704,-0.25,-22181616,-0.45,-62089968,-1.26,96057104,1.95
2023-07-17,BK0693,基因测序,1935.4,-0.7000000000000001,-369342544,-5.38,-190900176,-2.78,-178442368,-2.6,195874192,2.85,173286240,2.52
2023-07-14,BK0693,基因测序,1948.95,-0.1,-21766960,-0.32,-22924192,-0.34,1157232,0.02,44960848,0.67,-23465104,-0.35000000000000003
2023-07-13,BK0693,基因测序,1950.84,1.52,197236640,2.51,153621152,1.95,43615488,0.55,-75927040,-0.96,-120810096,-1.53
2023-07-12,BK0693,基因测序,1921.56,-1.55,-343405152,-6.16,-174156144,-3.12,-169249008,-3.04,-107754944,-1.93,449690368,8.07
2023-07-11,BK0693,基因测序,1951.8,0.61,-78378185,-1.69,-80841673,-1.74,2463488,0.05,-124632416,-2.69,202503296,4.37
2023-07-10,BK0693,基因测序,1939.87,0.09,-38804944,-0.7000000000000001,-12089776,-0.22,-26715168,-0.48,-24913200,-0.45,63593456,1.15
2023-07-07,BK0693,基因测序,1938.05,-0.29,-242206176,-4.4,-153680192,-2.79,-88525984,-1.61,87028816,1.58,153181856,2.78
2023-07-06,BK0693,基因测序,1943.7,-0.87,-208604928,-3.27,-179361008,-2.81,-29243920,-0.46,54526384,0.86,153996160,2.42
2023-07-05,BK0693,基因测序,1960.7,-0.67,-400210336,-5.3,-357103024,-4.73,-43107312,-0.5700000000000001,129580048,1.72,270489792,3.58
2023-07-04,BK0693,基因测序,1973.93,-0.12,-275169232,-2.69,-180300704,-1.77,-94868528,-0.93,9892096,0.1,265061840,2.6
2023-07-03,BK0693,基因测序,1976.27,0.47,-56918656,-0.62,23890688,0.26,-80809344,-0.88,23802624,0.26,31882080,0.35000000000000003
2023-06-30,BK0693,基因测序,1967.0,1.2,280550688,3.93,276252432,3.87,4298256,0.06,-186920672,-2.62,-94931744,-1.33
2023-06-29,BK0693,基因测序,1943.61,1.06,-103503648,-1.47,-71951968,-1.02,-31551680,-0.45,47893184,0.68,57146368,0.81
2023-06-28,BK0693,基因测序,1923.17,-0.43,-337902208,-5.42,-102345600,-1.64,-235556608,-3.78,54346320,0.87,284124352,4.5600000000000005
2023-06-27,BK0693,基因测序,1931.48,1.26,-83378288,-1.25,-59345312,-0.89,-24032976,-0.36,-151838000,-2.27,232232400,3.47
2023-06-26,BK0693,基因测序,1907.42,-1.51,-612607920,-7.07,-342758960,-3.95,-269848960,-3.11,92590432,1.07,528783616,6.1
2023-06-21,BK0693,基因测序,1936.65,-0.98,-968898704,-8.28,-444441248,-3.8,-524457456,-4.48,84877472,0.73,885718624,7.57
2023-06-20,BK0693,基因测序,1955.88,-0.17,-219042480,-2.4,-193739760,-2.12,-25302720,-0.28,54370432,0.6000000000000001,165522256,1.81
2023-06-19,BK0693,基因测序,1959.14,-0.21,-246274816,-2.72,-81938736,-0.9,-164336080,-1.81,13854336,0.15,235608448,2.6
2023-06-16,BK0693,基因测序,1963.34,0.5,23162272,0.26,14439696,0.16,8722576,0.1,16865056,0.19,-41666864,-0.47
