日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-05,BK0801,增强现实,996.96,-0.84,-626727776,-4.83,-301137552,-2.32,-325590224,-2.51,106152192,0.8200000000000001,520575472,4.02
2023-07-04,BK0801,增强现实,1005.42,1.55,496907056,3.25,311729760,2.04,185177296,1.21,-179869440,-1.18,-317037568,-2.07
2023-07-03,BK0801,增强现实,990.06,-1.32,-589920528,-3.52,-501567856,-2.99,-88352672,-0.53,-23833344,-0.14,613753600,3.66
2023-06-30,BK0801,增强现实,1003.34,0.8,-44483424,-0.35000000000000003,47674272,0.38,-92157696,-0.73,-233750992,-1.84,278234400,2.2
2023-06-29,BK0801,增强现实,995.41,1.28,-117626640,-1.0,-155236992,-1.32,37610352,0.32,146964672,1.25,-29338032,-0.25
2023-06-28,BK0801,增强现实,982.83,-1.95,-824476288,-5.76,-378082720,-2.64,-446393568,-3.12,-27260160,-0.19,851736544,5.95
2023-06-27,BK0801,增强现实,1002.37,1.49,-461273680,-4.32,-308111104,-2.88,-153162576,-1.43,19530352,0.18,441743344,4.13
2023-06-26,BK0801,增强现实,987.62,-3.7,-1452312768,-9.8,-656260368,-4.43,-796052400,-5.37,55803904,0.38,1396508880,9.43
2023-06-21,BK0801,增强现实,1025.52,-3.68,-1721294032,-10.3,-1199290816,-7.17,-522003216,-3.12,327636736,1.96,1393657248,8.34
2023-06-20,BK0801,增强现实,1064.65,0.13,-462696128,-2.34,48685888,0.25,-511382016,-2.59,18241536,0.09,444454656,2.25
2023-06-19,BK0801,增强现实,1063.25,1.87,-637490368,-3.43,-419216064,-2.25,-218274304,-1.17,122675456,0.66,514814720,2.77
2023-06-16,BK0801,增强现实,1043.69,1.89,430085840,2.48,480068816,2.77,-49982976,-0.29,-298764544,-1.72,-131321344,-0.76
