日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-13,BK1113,复合集流体,959.23,0.08,-294701054,-8.6,-127853822,-3.73,-166847232,-4.87,38301152,1.12,256399904,7.48
2023-07-12,BK1113,复合集流体,958.47,-2.71,-533313400,-12.7,-287694616,-6.85,-245618784,-5.85,81232240,1.94,452081152,10.77
2023-07-11,BK1113,复合集流体,985.17,0.72,-19610176,-0.5,-9551744,-0.24,-10058432,-0.25,-117446960,-2.97,137057136,3.46
2023-07-10,BK1113,复合集流体,978.15,-1.73,-305615023,-6.15,-134025023,-2.69,-171590000,-3.45,17791200,0.36,287823824,5.79
2023-07-07,BK1113,复合集流体,995.4,-0.29,-73099136,-1.17,-74754832,-1.19,1655696,0.03,-23135328,-0.37,96234448,1.54
2023-07-06,BK1113,复合集流体,998.3,0.97,23993376,0.4,41028896,0.68,-17035520,-0.28,-117124560,-1.95,93131168,1.55
2023-07-05,BK1113,复合集流体,988.71,-1.04,-25051696,-0.38,16444336,0.25,-41496032,-0.63,1389232,0.02,23662464,0.36
2023-07-04,BK1113,复合集流体,999.11,-0.03,-519713168,-7.27,-263464992,-3.69,-256248176,-3.59,169434608,2.37,350278576,4.9
2023-07-03,BK1113,复合集流体,999.38,2.07,-416847872,-4.48,-121853824,-1.31,-294994048,-3.17,88730576,0.95,328117280,3.52
2023-06-30,BK1113,复合集流体,979.15,7.62,323803456,4.63,375308320,5.37,-51504864,-0.74,-83231968,-1.19,-240571472,-3.44
2023-06-29,BK1113,复合集流体,909.79,0.7000000000000001,-103883721,-2.78,-41122633,-1.1,-62761088,-1.6800000000000002,40805072,1.09,63078656,1.69
2023-06-28,BK1113,复合集流体,903.44,-1.71,-285872436,-6.58,-105775572,-2.44,-180096864,-4.15,-2776944,-0.06,288649376,6.65
2023-06-27,BK1113,复合集流体,919.2,0.85,-20878640,-0.44,-49924880,-1.06,29046240,0.62,38520640,0.8200000000000001,-17642000,-0.37
2023-06-26,BK1113,复合集流体,911.46,1.97,251738688,3.91,180781920,2.81,70956768,1.1,-7732032,-0.12,-244006656,-3.79
2023-06-21,BK1113,复合集流体,893.83,4.09,299832672,6.53,211746944,4.61,88085728,1.92,-56887616,-1.24,-242945056,-5.29
2023-06-20,BK1113,复合集流体,858.71,0.08,-45861102,-2.44,-11977918,-0.64,-33883184,-1.8,6210144,0.33,39650960,2.11
2023-06-19,BK1113,复合集流体,858.03,-1.02,-279070584,-11.48,-133124552,-5.47,-145946032,-6.0,110618448,4.55,168452112,6.93
2023-06-16,BK1113,复合集流体,866.89,-1.46,-179076196,-5.27,-133995156,-3.95,-45081040,-1.33,85093936,2.51,93982256,2.77
