日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-04,BK0814,大飞机,1202.98,0.18,-726319856,-5.96,-354050032,-2.9,-372269824,-3.05,96916896,0.8,629402960,5.16
2023-08-03,BK0814,大飞机,1200.79,-0.6000000000000001,-522360128,-4.74,-283285136,-2.5700000000000003,-239074992,-2.17,106769904,0.97,415590224,3.77
2023-08-02,BK0814,大飞机,1207.99,-0.16,-1226415520,-8.14,-748547168,-4.97,-477868352,-3.17,430976000,2.86,795439440,5.28
2023-08-01,BK0814,大飞机,1209.98,-0.09,-540965872,-3.27,-282101920,-1.71,-258863952,-1.57,202825728,1.23,338140160,2.05
2023-07-31,BK0814,大飞机,1211.12,0.58,-492109520,-2.8,-191198912,-1.09,-300910608,-1.71,66915840,0.38,425193728,2.42
2023-07-28,BK0814,大飞机,1204.11,0.18,-601052416,-4.11,-296454736,-2.03,-304597680,-2.08,30845440,0.21,570206976,3.9
2023-07-27,BK0814,大飞机,1201.89,-0.24,-233787136,-1.65,-209880000,-1.48,-23907136,-0.17,179464960,1.27,54322432,0.38
2023-07-26,BK0814,大飞机,1204.79,-0.77,-285979584,-2.83,-66046672,-0.65,-219932912,-2.18,21264880,0.21,264714720,2.62
2023-07-24,BK0814,大飞机,1194.5,0.05,-430351328,-4.08,-160257680,-1.52,-270093648,-2.56,114540912,1.09,315810416,2.99
2023-07-21,BK0814,大飞机,1193.85,-0.64,-517344864,-5.24,-216978784,-2.2,-300366080,-3.04,14719744,0.15,502625136,5.1
2023-07-20,BK0814,大飞机,1201.58,-1.63,-943382064,-7.92,-348785408,-2.93,-594596656,-4.99,116943168,0.98,826438880,6.94
2023-07-19,BK0814,大飞机,1221.46,-0.8300000000000001,-875576976,-7.29,-452854624,-3.77,-422722352,-3.52,247764080,2.06,627812976,5.23
2023-07-17,BK0814,大飞机,1228.71,0.02,-472440016,-3.37,-163334832,-1.17,-309105184,-2.21,192031488,1.37,280408320,2.0
2023-07-14,BK0814,大飞机,1228.48,-0.26,-710700400,-4.79,-384742672,-2.59,-325957728,-2.2,113301248,0.76,597399040,4.03
2023-07-13,BK0814,大飞机,1231.72,0.4,-254791824,-1.71,-245246816,-1.65,-9545008,-0.06,-137743360,-0.93,392535040,2.64
2023-07-12,BK0814,大飞机,1226.78,-1.39,-674440064,-4.02,-147851904,-0.88,-526588160,-3.14,124789248,0.74,549650944,3.27
2023-07-11,BK0814,大飞机,1244.02,1.11,-250821360,-1.73,-131573632,-0.91,-119247728,-0.8200000000000001,-3404288,-0.02,254225664,1.75
2023-07-10,BK0814,大飞机,1230.34,0.26,327178416,2.32,200467728,1.42,126710688,0.9,110558976,0.78,-437737216,-3.1
2023-07-07,BK0814,大飞机,1227.13,-0.97,-511397792,-4.16,-268714400,-2.18,-242683392,-1.97,101809696,0.8300000000000001,409588224,3.33
2023-07-06,BK0814,大飞机,1239.2,-0.34,-482850224,-3.45,-378745088,-2.71,-104105136,-0.74,-81667840,-0.58,564518144,4.04
2023-07-05,BK0814,大飞机,1243.46,-0.86,-570851440,-3.3,-395945472,-2.29,-174905968,-1.01,-5509376,-0.03,576360960,3.33
2023-07-04,BK0814,大飞机,1254.26,0.51,-179888608,-1.01,138447952,0.78,-318336560,-1.79,-233894400,-1.32,413783040,2.33
2023-07-03,BK0814,大飞机,1247.85,0.4,-240570752,-1.17,-127508096,-0.62,-113062656,-0.55,-101696768,-0.49,342267392,1.66
2023-06-30,BK0814,大飞机,1242.92,1.72,542521504,2.47,311154336,1.42,231367168,1.05,-303013376,-1.38,-239507968,-1.09
2023-06-29,BK0814,大飞机,1221.89,1.27,-249539888,-1.43,8552880,0.05,-258092768,-1.48,-39198976,-0.22,288738816,1.66
2023-06-28,BK0814,大飞机,1206.61,0.5,-492155872,-3.28,-89049616,-0.59,-403106256,-2.69,105467136,0.7000000000000001,386688512,2.58
2023-06-27,BK0814,大飞机,1200.59,1.36,-165616368,-1.29,-4929648,-0.04,-160686720,-1.25,-2512896,-0.02,168129024,1.31
2023-06-26,BK0814,大飞机,1184.47,-1.53,-650172288,-4.71,-356406528,-2.58,-293765760,-2.13,-106325760,-0.77,756497920,5.48
2023-06-21,BK0814,大飞机,1202.83,-0.88,-790361088,-4.69,-380957584,-2.26,-409403504,-2.43,180195328,1.07,610166016,3.62
2023-06-20,BK0814,大飞机,1213.45,1.19,570342176,2.8,341159200,1.67,229182976,1.12,-324019456,-1.59,-246322688,-1.21
2023-06-19,BK0814,大飞机,1199.23,0.30000000000000004,-477585344,-3.24,-342641840,-2.33,-134943504,-0.92,-14689280,-0.1,492274688,3.34
2023-06-16,BK0814,大飞机,1195.69,1.4,269757056,1.85,205826176,1.41,63930880,0.44,-189363712,-1.3,-80393472,-0.55
