日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK1140,央企改革,995.06,0.22,-1370882816,-1.36,-357359872,-0.35000000000000003,-1013522944,-1.0,-964927232,-0.96,2326515712,2.3
2023-09-04,BK1140,央企改革,1000.66,1.65,4606305280,3.36,2532142848,1.85,2074162432,1.51,-1651804160,-1.21,-2937816832,-2.15
2023-08-31,BK1140,央企改革,981.69,-0.78,-5542489344,-4.6,-2893873920,-2.4,-2648615424,-2.2,1174217216,0.98,4361830912,3.62
2023-08-29,BK1140,央企改革,988.93,2.06,-281035264,-0.18,211499264,0.14,-492534528,-0.32,-2151615744,-1.4,2446970624,1.59
2023-08-28,BK1140,央企改革,968.96,1.35,-5467654144,-2.9,-1965294848,-1.04,-3502359296,-1.86,653805568,0.35000000000000003,4780801024,2.54
2023-08-25,BK1140,央企改革,956.04,-1.39,-6414575360,-5.35,-2721764352,-2.27,-3692811008,-3.08,-725646336,-0.61,7080463872,5.91
2023-08-24,BK1140,央企改革,969.55,-0.71,-5547399168,-4.28,-3399213056,-2.63,-2148186112,-1.66,-484159232,-0.37,6050700288,4.67
2023-08-23,BK1140,央企改革,976.5,-1.66,-6234533120,-5.5,-3344837376,-2.95,-2889695744,-2.55,1017109760,0.9,5187683328,4.58
2023-08-21,BK1140,央企改革,983.7,-1.0,-4767213312,-4.74,-3264509184,-3.25,-1502704128,-1.49,895727104,0.89,3871960832,3.85
2023-08-18,BK1140,央企改革,993.63,-1.1,-4674542080,-4.29,-1969373952,-1.81,-2705168128,-2.48,226967552,0.21,4421155584,4.06
2023-08-16,BK1140,央企改革,992.28,-1.17,-5409292032,-5.4,-3288307712,-3.28,-2120984320,-2.12,-125442560,-0.13,5518985728,5.51
2023-08-15,BK1140,央企改革,1003.99,-0.56,-3455916800,-3.5,-1645947648,-1.67,-1809969152,-1.83,926044928,0.94,2516159232,2.55
2023-08-14,BK1140,央企改革,1009.61,0.54,-1757657856,-1.52,-728908800,-0.63,-1028749056,-0.89,-153893120,-0.13,1926406400,1.67
2023-08-11,BK1140,央企改革,1004.22,-1.86,-10059034880,-8.63,-6301111808,-5.4,-3757923072,-3.22,1582524416,1.36,8462269696,7.26
2023-08-10,BK1140,央企改革,1023.27,0.23,-2264028928,-2.34,-207167488,-0.21,-2056861440,-2.13,-1041279232,-1.08,3282941440,3.4
2023-08-09,BK1140,央企改革,1020.88,-0.99,-7426908416,-6.94,-4026408960,-3.76,-3400499456,-3.18,262211328,0.25,7141096192,6.68
2023-08-08,BK1140,央企改革,1031.12,-0.31,-4626850560,-3.89,-2389751296,-2.01,-2237099264,-1.88,861583872,0.72,3748188672,3.15
2023-08-07,BK1140,央企改革,1034.28,-0.47,-7709551616,-5.99,-4842809856,-3.76,-2866741760,-2.23,253777152,0.2,7434489600,5.77
2023-08-04,BK1140,央企改革,1039.18,0.27,-1268127488,-0.74,1355179264,0.79,-2623306752,-1.53,-777638912,-0.45,2064110336,1.21
2023-08-03,BK1140,央企改革,1036.35,0.04,-2655143680,-2.25,-350787584,-0.30000000000000004,-2304356096,-1.95,573051392,0.49,2088765184,1.77
2023-08-02,BK1140,央企改革,1035.98,-0.5,-8329716992,-6.47,-3940141568,-3.06,-4389575424,-3.41,1634259200,1.27,6665474560,5.18
2023-08-01,BK1140,央企改革,1041.14,-0.01,-5750958336,-3.8,-3220555264,-2.13,-2530403072,-1.67,626216704,0.41,5146541568,3.4
2023-07-31,BK1140,央企改革,1041.22,0.9,-4421901824,-2.33,-2765768192,-1.46,-1656133632,-0.87,509287168,0.27,3904166400,2.06
2023-07-28,BK1140,央企改革,1031.96,1.0,4313075200,2.6,5853931264,3.52,-1540856064,-0.93,-3497683456,-2.11,-839685888,-0.51
2023-07-27,BK1140,央企改革,1021.7,-0.34,-3439680256,-2.87,-2059842048,-1.72,-1379838208,-1.15,-1474816,0.0,3438045184,2.86
2023-07-26,BK1140,央企改革,1025.14,-0.49,-6555180032,-6.03,-5008169984,-4.61,-1547010048,-1.42,632562944,0.58,5914624768,5.45
2023-07-24,BK1140,央企改革,1013.05,0.12,-2369041664,-2.69,-1428912896,-1.62,-940128768,-1.07,152484352,0.17,2244214784,2.55
2023-07-21,BK1140,央企改革,1011.84,-0.21,-5052473600,-5.58,-3004216576,-3.32,-2048257024,-2.26,-61850624,-0.07,5124875776,5.66
2023-07-20,BK1140,央企改革,1013.97,-1.38,-9359930112,-8.59,-5352591360,-4.91,-4007338752,-3.68,800461824,0.73,8505898496,7.8
2023-07-19,BK1140,央企改革,1028.17,0.03,-4541435648,-4.65,-2472561920,-2.53,-2068873728,-2.12,811399168,0.8300000000000001,3700004352,3.79
2023-07-17,BK1140,央企改革,1029.4,-0.22,-4554695936,-3.73,-2789074944,-2.28,-1765620992,-1.45,21820928,0.02,4532293888,3.71
2023-07-14,BK1140,央企改革,1031.66,0.23,237503232,0.17,1652311296,1.18,-1414808064,-1.01,-640759808,-0.46,424936960,0.30000000000000004
2023-07-13,BK1140,央企改革,1029.32,0.99,-1052839168,-0.74,377812224,0.27,-1430651392,-1.01,-1292073984,-0.91,2382771712,1.69
2023-07-12,BK1140,央企改革,1019.19,-1.34,-9134916608,-6.53,-4788195840,-3.42,-4346720768,-3.11,1355799040,0.97,7740882688,5.53
2023-07-11,BK1140,央企改革,1033.04,0.5,-2074018304,-1.83,-387661312,-0.34,-1686356992,-1.49,-1252199936,-1.11,3330089984,2.94
2023-07-10,BK1140,央企改革,1027.92,0.16,-3083158784,-2.76,-1749098240,-1.57,-1334060544,-1.19,347073024,0.31,2725617408,2.44
2023-07-07,BK1140,央企改革,1026.31,-0.30000000000000004,-3430884864,-2.79,-1476499200,-1.2,-1954385664,-1.59,74117376,0.06,3348049408,2.73
2023-07-06,BK1140,央企改革,1029.39,-0.39,-4892929280,-3.9,-3237834240,-2.58,-1655095040,-1.32,476723456,0.38,4419361280,3.52
2023-07-05,BK1140,央企改革,1033.42,-0.45,-4958494208,-3.63,-2813684992,-2.06,-2144809216,-1.57,542940672,0.4,4390219520,3.22
2023-07-04,BK1140,央企改革,1038.07,0.08,-4070198784,-2.71,-2054622720,-1.37,-2015576064,-1.34,160764160,0.11,3893550592,2.6
2023-07-03,BK1140,央企改革,1037.21,0.84,2228837376,1.33,1997584384,1.2,231252992,0.14,-1163857408,-0.7000000000000001,-1089110784,-0.65
2023-06-30,BK1140,央企改革,1028.59,0.8300000000000001,-997467392,-0.74,-447133440,-0.33,-550333952,-0.41,-1605478144,-1.19,2608796672,1.93
2023-06-29,BK1140,央企改革,1020.12,0.58,-3539858432,-2.69,-1541896192,-1.17,-1997962240,-1.52,-8829184,-0.01,3548151552,2.69
2023-06-28,BK1140,央企改革,1014.26,-0.14,-5703213056,-3.95,-3151372032,-2.18,-2551841024,-1.77,1064054784,0.74,4653397504,3.23
2023-06-27,BK1140,央企改革,1015.71,1.95,1573015040,1.11,2242969088,1.58,-669954048,-0.47,-1215284992,-0.86,-365418496,-0.26
2023-06-26,BK1140,央企改革,996.29,-1.82,-9902954496,-6.14,-6599607040,-4.1,-3303347456,-2.05,611359744,0.38,9241144832,5.73
2023-06-21,BK1140,央企改革,1014.8,-1.28,-10814357504,-6.69,-6877417472,-4.25,-3936940032,-2.43,1189552640,0.74,9569495296,5.92
2023-06-20,BK1140,央企改革,1028.0,-0.51,-6017339392,-3.37,-2748060160,-1.54,-3269279232,-1.83,79454464,0.04,5894255360,3.3
2023-06-19,BK1140,央企改革,1033.25,0.02,-6276416768,-3.43,-3109384448,-1.7000000000000002,-3167032320,-1.73,1154413312,0.63,5195234304,2.84
2023-06-16,BK1140,央企改革,1033.09,1.64,3348824064,1.79,2278982144,1.22,1069841920,0.5700000000000001,-1191120640,-0.64,-2126995712,-1.13
