日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0923,字节概念,1065.26,-0.24,-1070564240,-5.7,-512676224,-2.73,-557888016,-2.97,-1674496,-0.01,1072238848,5.71
2023-09-04,BK0923,字节概念,1080.76,1.16,-438826544,-2.22,19350736,0.1,-458177280,-2.32,-72633600,-0.37,511460352,2.59
2023-08-31,BK0923,字节概念,1071.2,-0.98,-1693142160,-6.6,-705330832,-2.75,-987811328,-3.85,254238464,0.99,1438903808,5.61
2023-08-29,BK0923,字节概念,1056.65,4.61,1612254544,5.72,1425147216,5.06,187107328,0.66,-1038539776,-3.69,-573714944,-2.04
2023-08-28,BK0923,字节概念,1010.12,0.32,-526296656,-1.97,278986416,1.05,-805283072,-3.02,-328652544,-1.23,854949120,3.2
2023-08-25,BK0923,字节概念,1006.94,-3.9,-2748948592,-11.0,-1379576944,-5.52,-1369371648,-5.48,105002496,0.42,2643946240,10.58
2023-08-24,BK0923,字节概念,1047.85,0.62,360124336,1.27,348536496,1.23,11587840,0.04,-500107776,-1.77,139983360,0.5
2023-08-23,BK0923,字节概念,1041.39,-1.49,-1954956160,-7.98,-1016486528,-4.15,-938469632,-3.83,410461184,1.6800000000000002,1544495104,6.31
2023-08-21,BK0923,字节概念,1029.4,0.43,-222565040,-1.45,328982672,2.14,-551547712,-3.58,-407281920,-2.64,629847040,4.09
2023-08-18,BK0923,字节概念,1024.97,-3.23,-2930831712,-14.04,-1541502416,-7.38,-1389329296,-6.65,441912320,2.12,2488919296,11.92
2023-08-16,BK0923,字节概念,1045.63,-1.3,-1192939776,-6.16,-589448704,-3.04,-603491072,-3.11,-89942016,-0.46,1282881792,6.62
2023-08-15,BK0923,字节概念,1059.44,-1.89,-2515373376,-11.98,-1408415808,-6.71,-1106957568,-5.27,524630272,2.5,1990743296,9.48
2023-08-14,BK0923,字节概念,1079.84,1.96,345485328,1.5,324702992,1.41,20782336,0.09,-57105152,-0.25,-288380160,-1.25
2023-08-11,BK0923,字节概念,1059.1,-2.05,-1158258384,-5.14,-567992528,-2.52,-590265856,-2.62,-78365952,-0.35000000000000003,1236624384,5.49
2023-08-10,BK0923,字节概念,1081.29,0.56,-162365024,-0.86,431822480,2.29,-594187504,-3.16,-194194176,-1.03,356559104,1.89
2023-08-09,BK0923,字节概念,1075.3,-1.94,-2504177792,-11.94,-1155176320,-5.51,-1349001472,-6.43,282305792,1.35,2221871872,10.59
2023-08-08,BK0923,字节概念,1096.52,-0.74,-1489030576,-6.17,-704605104,-2.92,-784425472,-3.25,53373184,0.22,1435657216,5.95
2023-08-07,BK0923,字节概念,1104.64,0.59,-1208886528,-3.87,-822726656,-2.63,-386159872,-1.24,347233792,1.11,861652736,2.76
2023-08-04,BK0923,字节概念,1098.14,2.36,2158203328,7.13,1753073344,5.79,405129984,1.34,-775032576,-2.56,-1383170560,-4.57
2023-08-03,BK0923,字节概念,1072.8,-0.21,-837501360,-4.44,-503464112,-2.67,-334037248,-1.77,192969216,1.02,644532224,3.41
2023-08-02,BK0923,字节概念,1075.04,-0.07,-714974752,-4.16,-461247696,-2.68,-253727056,-1.48,214794240,1.25,500180736,2.91
2023-08-01,BK0923,字节概念,1075.79,-0.54,-208056848,-0.97,79578096,0.37,-287634944,-1.34,-191789824,-0.9,399846400,1.87
2023-07-31,BK0923,字节概念,1081.66,2.03,35900368,0.13,36705488,0.13,-805120,0.0,-117686272,-0.43,81786112,0.30000000000000004
