日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK1000,宁组合,568.43,-0.37,152884064,0.6000000000000001,-361759904,-1.42,514643968,2.02,-481413632,-1.89,328529408,1.29
2023-09-04,BK1000,宁组合,571.82,1.14,1359444464,5.6,670201584,2.76,689242880,2.84,-661554176,-2.72,-697890304,-2.87
2023-08-31,BK1000,宁组合,567.74,-0.15,-453517296,-2.09,-309419248,-1.43,-144098048,-0.67,-353951232,-1.63,807469056,3.73
2023-08-29,BK1000,宁组合,566.0,1.84,1796123136,4.85,1176771072,3.17,619352064,1.67,-618712832,-1.67,-1177410304,-3.18
2023-08-28,BK1000,宁组合,555.75,0.73,-114967552,-0.32,258599168,0.73,-373566720,-1.05,116184320,0.33,-1216512,0.0
2023-08-25,BK1000,宁组合,551.74,-1.82,-575670960,-2.59,-380047536,-1.71,-195623424,-0.88,-3917824,-0.02,579588352,2.6
2023-08-24,BK1000,宁组合,561.99,2.52,690401168,2.63,618314128,2.36,72087040,0.27,-594770432,-2.27,-95630848,-0.36
2023-08-23,BK1000,宁组合,548.16,-2.8200000000000003,-1511896048,-7.27,-1143655920,-5.5,-368240128,-1.77,20623616,0.1,1491272192,7.17
2023-08-21,BK1000,宁组合,568.92,-1.7000000000000002,-885325408,-3.87,-519467616,-2.27,-365857792,-1.6,-16163840,-0.07,901489152,3.94
2023-08-18,BK1000,宁组合,578.76,-1.28,-112120224,-0.56,-508227488,-2.53,396107264,1.97,-125737472,-0.63,237857792,1.18
2023-08-16,BK1000,宁组合,580.91,-1.16,-875597680,-4.44,-273233008,-1.39,-602364672,-3.06,28705280,0.15,846892544,4.3
2023-08-15,BK1000,宁组合,587.71,-1.52,-1125061280,-4.9,-899494816,-3.92,-225566464,-0.98,-73713408,-0.32,1198774784,5.22
2023-08-14,BK1000,宁组合,596.79,-1.07,-2357136016,-8.93,-1132348560,-4.29,-1224787456,-4.64,673398784,2.55,1683737344,6.38
