日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-10,BK0932,尾气治理,1334.9,-0.11,-42695936,-1.22,-21198784,-0.6000000000000001,-21497152,-0.61,67173008,1.92,-24556288,-0.7000000000000001
2023-07-07,BK0932,尾气治理,1336.32,-1.2,-210399614,-6.61,-60777326,-1.91,-149622288,-4.7,21892624,0.6900000000000001,188005456,5.9
2023-07-06,BK0932,尾气治理,1352.53,-0.67,-325449689,-8.01,-135071481,-3.32,-190378208,-4.69,59383520,1.46,265357280,6.53
2023-07-05,BK0932,尾气治理,1361.65,-0.01,-4483792,-0.08,66523392,1.23,-71007184,-1.31,-21973952,-0.41,25839808,0.48
2023-07-04,BK0932,尾气治理,1361.83,1.39,-131156960,-2.39,-66530096,-1.21,-64626864,-1.18,21917776,0.4,109192176,1.99
2023-07-03,BK0932,尾气治理,1343.19,0.48,-112522713,-2.6,-88323257,-2.04,-24199456,-0.56,-31095440,-0.72,143352800,3.31
2023-06-30,BK0932,尾气治理,1336.74,1.97,18460681,0.43,17710281,0.42,750400,0.02,-35887232,-0.84,17477776,0.41
2023-06-29,BK0932,尾气治理,1310.94,1.03,-26155666,-0.76,-20083698,-0.59,-6071968,-0.18,7591584,0.22,19212672,0.56
2023-06-28,BK0932,尾气治理,1297.62,-0.11,-190394624,-5.76,-43675472,-1.32,-146719152,-4.44,87840896,2.66,103061984,3.12
2023-06-27,BK0932,尾气治理,1298.99,1.26,-80584052,-2.52,-40081044,-1.25,-40503008,-1.27,27680992,0.86,52773920,1.65
2023-06-26,BK0932,尾气治理,1282.84,-0.97,-161735618,-4.04,-68329298,-1.71,-93406320,-2.34,-5625584,-0.14,167220656,4.18
2023-06-21,BK0932,尾气治理,1295.38,-0.56,-70590291,-1.86,-52783379,-1.39,-17806912,-0.47,-2301088,-0.06,73480864,1.94
2023-06-20,BK0932,尾气治理,1302.74,0.11,-106752122,-2.87,-68380218,-1.84,-38371904,-1.03,44317600,1.19,62443856,1.6800000000000002
2023-06-19,BK0932,尾气治理,1301.26,0.43,-16954125,-0.49,-27902013,-0.8,10947888,0.31,-14327488,-0.41,31065456,0.89
2023-06-16,BK0932,尾气治理,1295.72,0.41,-54963328,-1.58,-32007680,-0.92,-22955648,-0.66,-21022832,-0.6000000000000001,76483744,2.19
