日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-28,BK0947,屏下摄像,820.24,0.59,223274256,3.93,252985008,4.46,-29710752,-0.52,-144376448,-2.54,-78897792,-1.39
2023-07-27,BK0947,屏下摄像,815.39,-1.43,-317492848,-5.92,-316614768,-5.91,-878080,-0.02,-60032784,-1.12,377525632,7.04
2023-07-26,BK0947,屏下摄像,827.2,-3.05,-984599040,-12.59,-395417632,-5.06,-589181408,-7.54,235586336,3.01,749012688,9.58
2023-07-24,BK0947,屏下摄像,840.78,0.8200000000000001,216072400,3.46,237605520,3.8,-21533120,-0.34,-86705328,-1.39,-129367072,-2.07
2023-07-21,BK0947,屏下摄像,833.92,-0.61,-772829664,-12.62,-416867792,-6.8100000000000005,-355961872,-5.8100000000000005,172874944,2.8200000000000003,599954704,9.79
2023-07-20,BK0947,屏下摄像,839.02,-2.6,-1114130832,-13.97,-610011696,-7.65,-504119136,-6.32,134538192,1.69,979592624,12.28
2023-07-19,BK0947,屏下摄像,861.46,-0.14,-360626368,-5.9,-409519648,-6.7,48893280,0.8,-18020656,-0.29,378647024,6.19
2023-07-17,BK0947,屏下摄像,866.78,-0.31,-102265200,-1.08,-167215216,-1.76,64950016,0.68,223096352,2.35,-120831168,-1.27
2023-07-14,BK0947,屏下摄像,869.51,0.63,1312805136,10.51,1134018736,9.08,178786400,1.43,-687586528,-5.5,-625218608,-5.0
2023-07-13,BK0947,屏下摄像,864.08,2.38,30152048,0.36,56986336,0.67,-26834288,-0.32,-237044000,-2.8,206891952,2.45
2023-07-12,BK0947,屏下摄像,843.96,-1.2,-364785792,-3.91,-339195184,-3.64,-25590608,-0.27,102335744,1.1,262450064,2.81
2023-07-11,BK0947,屏下摄像,854.24,0.96,312631392,4.31,563338752,7.76,-250707360,-3.45,-187515952,-2.58,-125115424,-1.72
2023-07-10,BK0947,屏下摄像,846.08,0.12,-125330096,-1.69,135393744,1.83,-260723840,-3.52,50256480,0.68,75073600,1.01
2023-07-07,BK0947,屏下摄像,845.06,-0.71,526065712,5.4,344372736,3.54,181692976,1.87,-319872064,-3.28,-206193632,-2.12
2023-07-06,BK0947,屏下摄像,851.11,1.88,513947792,4.9,359720912,3.43,154226880,1.47,-373716352,-3.56,-140231456,-1.34
2023-07-05,BK0947,屏下摄像,835.42,-1.22,-696199808,-8.74,-632697488,-7.94,-63502320,-0.8,344013040,4.32,352186768,4.42
2023-07-04,BK0947,屏下摄像,845.71,2.42,209609360,2.63,182480848,2.29,27128512,0.34,-18381632,-0.23,-191227728,-2.4
2023-07-03,BK0947,屏下摄像,825.76,-0.44,26873344,0.26,4372368,0.04,22500976,0.22,-151065952,-1.45,124192608,1.19
2023-06-30,BK0947,屏下摄像,829.45,2.27,825368016,8.69,945501136,9.96,-120133120,-1.26,-364903616,-3.84,-460464384,-4.85
2023-06-29,BK0947,屏下摄像,811.07,1.83,466958480,4.74,550521952,5.58,-83563472,-0.85,-376160416,-3.81,-90798064,-0.92
2023-06-28,BK0947,屏下摄像,796.53,-1.9,-154425536,-1.57,-308909584,-3.13,154484048,1.57,126403712,1.28,28021824,0.28
2023-06-27,BK0947,屏下摄像,811.93,1.8,108492576,1.0,281102976,2.59,-172610400,-1.59,206498096,1.9,-314990656,-2.9
2023-06-26,BK0947,屏下摄像,797.6,-1.96,-218195104,-1.94,-26858272,-0.24,-191336832,-1.7000000000000002,-2940240,-0.03,221135344,1.96
2023-06-21,BK0947,屏下摄像,813.58,-2.17,-421848944,-4.15,-315141168,-3.1,-106707776,-1.05,121236240,1.19,300612704,2.96
2023-06-20,BK0947,屏下摄像,831.64,1.57,1204452608,8.8,1770512512,12.94,-566059904,-4.14,-920256784,-6.72,-284195872,-2.08
2023-06-19,BK0947,屏下摄像,818.8,1.95,36064944,0.41,206951680,2.33,-170886736,-1.92,-39344368,-0.44,3279392,0.04
2023-06-16,BK0947,屏下摄像,803.11,1.08,230080304,3.07,80067312,1.07,150012992,2.0,-81348080,-1.08,-148732208,-1.98
