日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-10,BK1004,工业母机,1143.39,0.0,-517956880,-6.48,-209061904,-2.62,-308894976,-3.86,2644880,0.03,513650656,6.43
2023-08-09,BK1004,工业母机,1143.37,-1.7000000000000002,-1477589856,-13.84,-1006080096,-9.42,-471509760,-4.42,97220672,0.91,1370051728,12.83
2023-08-08,BK1004,工业母机,1163.12,-0.93,-329776928,-3.0,22564976,0.21,-352341904,-3.21,-4956944,-0.05,327259552,2.98
2023-08-07,BK1004,工业母机,1174.05,-0.26,-634640528,-5.14,-230485232,-1.87,-404155296,-3.27,184751936,1.5,448655824,3.63
2023-08-04,BK1004,工业母机,1177.12,0.5700000000000001,286564160,2.21,203778288,1.57,82785872,0.64,-24801792,-0.19,-263570352,-2.03
2023-08-03,BK1004,工业母机,1170.4,-0.66,-571512560,-5.5,-301756832,-2.9,-269755728,-2.6,9560080,0.09,561527856,5.41
2023-08-02,BK1004,工业母机,1178.15,0.97,317516576,2.63,125907744,1.04,191608832,1.59,70387168,0.58,-380049888,-3.15
2023-08-01,BK1004,工业母机,1166.84,-0.36,-6822080,-0.06,62425632,0.58,-69247712,-0.64,-91008608,-0.84,94575392,0.87
2023-07-31,BK1004,工业母机,1171.05,0.76,-458378000,-3.79,-258361232,-2.14,-200016768,-1.65,109670400,0.91,347439808,2.87
2023-07-28,BK1004,工业母机,1162.26,0.25,-300616464,-2.63,-163195184,-1.43,-137421280,-1.2,-95208336,-0.8300000000000001,392212880,3.43
2023-07-27,BK1004,工业母机,1159.41,-0.75,-706864336,-6.34,-270968464,-2.43,-435895872,-3.91,11374368,0.1,698443808,6.27
2023-07-26,BK1004,工业母机,1168.18,-1.61,-888614800,-6.54,-457466032,-3.37,-431148768,-3.17,-12156672,-0.09,890471760,6.55
2023-07-24,BK1004,工业母机,1163.94,-0.01,-283770000,-2.45,57339728,0.49,-341109728,-2.94,-133617520,-1.15,413181984,3.5700000000000003
2023-07-21,BK1004,工业母机,1164.1,-2.45,-1367804768,-8.55,-627960752,-3.92,-739844016,-4.62,98110464,0.61,1264466944,7.9
2023-07-20,BK1004,工业母机,1193.39,-1.17,-923648016,-4.66,-703716368,-3.55,-219931648,-1.11,240575232,1.21,677256704,3.42
2023-07-19,BK1004,工业母机,1207.51,-1.07,-858078848,-5.16,-257913136,-1.55,-600165712,-3.61,80519424,0.48,764338432,4.59
2023-07-17,BK1004,工业母机,1217.03,-0.84,-262321616,-1.57,-163335968,-0.98,-98985648,-0.59,-46409728,-0.28,289822976,1.73
2023-07-14,BK1004,工业母机,1227.37,0.26,-338364224,-1.66,-16494144,-0.08,-321870080,-1.58,135691264,0.67,201348096,0.99
2023-07-13,BK1004,工业母机,1224.16,0.63,-659569696,-3.52,-391238432,-2.09,-268331264,-1.43,-60988416,-0.33,719177216,3.84
2023-07-12,BK1004,工业母机,1216.49,-1.27,-910714304,-4.28,-538520000,-2.53,-372194304,-1.75,166130944,0.78,734122240,3.45
2023-07-11,BK1004,工业母机,1232.12,1.45,215752272,1.1,550516560,2.81,-334764288,-1.71,-251552000,-1.28,18057728,0.09
2023-07-10,BK1004,工业母机,1214.46,-1.13,-1125622032,-6.73,-686939648,-4.11,-438682384,-2.62,55803648,0.33,1062780928,6.36
2023-07-07,BK1004,工业母机,1228.3,-1.05,-864665776,-4.24,-517977008,-2.54,-346688768,-1.7000000000000002,83226624,0.41,773562880,3.8
2023-07-06,BK1004,工业母机,1241.32,0.56,192762416,0.8,567383600,2.35,-374621184,-1.55,-441864704,-1.83,250525696,1.04
2023-07-05,BK1004,工业母机,1234.39,-1.57,-648307104,-2.43,7459424,0.03,-655766528,-2.46,-288062720,-1.08,913378560,3.42
2023-07-04,BK1004,工业母机,1254.08,1.67,-591247584,-2.58,-142510048,-0.62,-448737536,-1.96,62970368,0.27,534914560,2.33
2023-07-03,BK1004,工业母机,1233.5,-1.5,-665751936,-2.47,-634521216,-2.35,-31230720,-0.12,-207222784,-0.77,878710528,3.26
2023-06-30,BK1004,工业母机,1252.25,0.68,280600592,1.16,588996880,2.44,-308396288,-1.28,-282076928,-1.17,-17271552,-0.07
2023-06-29,BK1004,工业母机,1243.76,2.26,88319312,0.4,292217680,1.34,-203898368,-0.93,-23986688,-0.11,-62139136,-0.28
2023-06-28,BK1004,工业母机,1216.3,0.6900000000000001,-565797888,-2.52,-285651456,-1.27,-280146432,-1.25,-220317696,-0.98,813740288,3.62
