日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK1056,幽门螺杆菌概念,851.2,-0.17,-157027333,-5.16,-93513237,-3.07,-63514096,-2.09,-54594656,-1.79,211621984,6.96
2023-09-04,BK1056,幽门螺杆菌概念,858.19,0.44,-15269033,-0.38,11419431,0.28,-26688464,-0.66,19051328,0.47,-3782288,-0.09
2023-08-31,BK1056,幽门螺杆菌概念,859.37,0.65,49102934,0.8300000000000001,25750726,0.44,23352208,0.4,-20704960,-0.35000000000000003,-28397968,-0.48
2023-08-29,BK1056,幽门螺杆菌概念,850.63,2.76,55526381,0.92,25494333,0.42,30032048,0.5,-60565760,-1.01,5039392,0.08
2023-08-28,BK1056,幽门螺杆菌概念,827.8,0.9,-313305488,-4.73,-102792432,-1.55,-210513056,-3.18,25941632,0.39,287363840,4.34
2023-08-25,BK1056,幽门螺杆菌概念,820.41,-1.4,-170859368,-4.11,-61888184,-1.49,-108971184,-2.62,100782512,2.42,70076848,1.69
2023-08-24,BK1056,幽门螺杆菌概念,832.09,0.65,-137544254,-3.13,-5665838,-0.13,-131878416,-3.0,-32822208,-0.75,170366464,3.88
2023-08-23,BK1056,幽门螺杆菌概念,826.72,-1.45,-155249806,-3.51,-42267118,-0.96,-112982688,-2.56,-38696576,-0.88,193946384,4.39
2023-08-21,BK1056,幽门螺杆菌概念,848.09,-0.67,-150190529,-3.23,-63945073,-1.37,-86245456,-1.85,19855952,0.43,130334560,2.8
2023-08-18,BK1056,幽门螺杆菌概念,853.83,-3.21,-377716404,-5.79,-153843796,-2.36,-223872608,-3.43,-112987056,-1.73,490703488,7.52
2023-08-16,BK1056,幽门螺杆菌概念,883.45,-0.71,-413590880,-4.95,-107608416,-1.29,-305982464,-3.66,34206512,0.41,379384368,4.54
2023-08-15,BK1056,幽门螺杆菌概念,889.73,0.8300000000000001,103856528,1.35,117510272,1.53,-13653744,-0.18,-176370512,-2.29,72513984,0.94
2023-08-14,BK1056,幽门螺杆菌概念,882.43,-0.29,-435020096,-5.12,-141574240,-1.67,-293445856,-3.45,178146528,2.1,256873568,3.02
2023-08-11,BK1056,幽门螺杆菌概念,885.0,0.67,60634560,0.63,155347280,1.62,-94712720,-0.99,111006720,1.16,-171641296,-1.79
2023-08-10,BK1056,幽门螺杆菌概念,879.15,-0.51,-607485051,-9.15,-194116123,-2.92,-413368928,-6.23,111674048,1.6800000000000002,495811008,7.47
2023-08-09,BK1056,幽门螺杆菌概念,883.62,1.81,301829904,3.14,252057472,2.62,49772432,0.52,-97316656,-1.01,-204513248,-2.12
2023-08-08,BK1056,幽门螺杆菌概念,867.9,0.89,73212128,1.09,64414592,0.96,8797536,0.13,-30229040,-0.45,-42983088,-0.64
2023-08-07,BK1056,幽门螺杆菌概念,860.22,-2.03,-450208048,-6.54,-212563904,-3.09,-237644144,-3.45,-16248336,-0.24,466456368,6.78
2023-08-04,BK1056,幽门螺杆菌概念,878.0,-0.63,-187973317,-4.15,-93908133,-2.07,-94065184,-2.08,-15033664,-0.33,203007008,4.48
2023-08-03,BK1056,幽门螺杆菌概念,883.53,1.27,38231771,0.73,-22406197,-0.43,60637968,1.15,135064560,2.5700000000000003,-173296320,-3.29
2023-08-02,BK1056,幽门螺杆菌概念,872.41,-0.89,-389389363,-8.73,-143799923,-3.22,-245589440,-5.51,28912288,0.65,360477072,8.08
2023-08-01,BK1056,幽门螺杆菌概念,880.23,-0.75,-331493355,-5.99,-190529419,-3.44,-140963936,-2.55,-23048448,-0.42,354541808,6.41
2023-07-31,BK1056,幽门螺杆菌概念,886.84,-0.5,-194713184,-3.23,-131543488,-2.18,-63169696,-1.05,-19065680,-0.32,213778864,3.54
2023-07-28,BK1056,幽门螺杆菌概念,891.27,0.61,-113859079,-2.81,-38627783,-0.95,-75231296,-1.86,-90319344,-2.23,204178416,5.04
2023-07-27,BK1056,幽门螺杆菌概念,885.9,-0.43,-124820538,-3.19,-57621322,-1.47,-67199216,-1.72,-34494192,-0.88,159314736,4.07
2023-07-26,BK1056,幽门螺杆菌概念,889.76,0.32,-10902656,-0.23,-26284704,-0.56,15382048,0.33,-6283232,-0.13,17185888,0.37
2023-07-24,BK1056,幽门螺杆菌概念,883.51,1.05,-36131493,-0.86,-44546789,-1.06,8415296,0.2,32915168,0.78,3216320,0.08
2023-07-21,BK1056,幽门螺杆菌概念,874.35,1.0,59883462,1.66,-8043050,-0.22,67926512,1.88,-17931728,-0.5,-41951728,-1.16
2023-07-20,BK1056,幽门螺杆菌概念,865.69,-0.55,-153317458,-5.22,-54341522,-1.85,-98975936,-3.37,-60879424,-2.07,214196880,7.29
2023-07-19,BK1056,幽门螺杆菌概念,870.52,-0.16,-65972547,-2.5700000000000003,-34705843,-1.35,-31266704,-1.22,-16201808,-0.63,82174368,3.2
2023-07-17,BK1056,幽门螺杆菌概念,876.07,-0.02,23532626,0.58,11935010,0.30000000000000004,11597616,0.29,-68624832,-1.7000000000000002,45092192,1.12
2023-07-14,BK1056,幽门螺杆菌概念,876.23,-0.15,-131492168,-3.79,-28575192,-0.8200000000000001,-102916976,-2.96,3158880,0.09,128333280,3.7
2023-07-13,BK1056,幽门螺杆菌概念,877.54,0.77,-119332864,-3.21,-22680336,-0.61,-96652528,-2.6,-23723664,-0.64,143056512,3.85
2023-07-12,BK1056,幽门螺杆菌概念,870.86,-1.04,-110937550,-2.64,-76225614,-1.81,-34711936,-0.8300000000000001,80438864,1.91,30498672,0.73
2023-07-11,BK1056,幽门螺杆菌概念,879.97,0.54,-66958351,-2.04,-31214879,-0.95,-35743472,-1.09,-66205744,-2.02,133164112,4.07
2023-07-10,BK1056,幽门螺杆菌概念,875.22,-0.07,-94539412,-2.5,1567468,0.04,-96106880,-2.54,75797072,2.0,18742336,0.49
2023-07-07,BK1056,幽门螺杆菌概念,875.84,0.03,-60003388,-1.82,-255836,-0.01,-59747552,-1.81,22067312,0.67,37936096,1.15
2023-07-06,BK1056,幽门螺杆菌概念,875.6,-1.11,-361260793,-8.58,-157789817,-3.75,-203470976,-4.83,64899744,1.54,296361040,7.04
2023-07-05,BK1056,幽门螺杆菌概念,885.4,-0.39,-248437530,-4.55,-159315706,-2.92,-89121824,-1.63,-83496208,-1.53,331933712,6.08
2023-07-04,BK1056,幽门螺杆菌概念,888.83,0.14,28529824,0.5700000000000001,17872400,0.36,10657424,0.21,-37542512,-0.75,9012704,0.18
2023-07-03,BK1056,幽门螺杆菌概念,887.63,0.15,-150555001,-3.63,-27969833,-0.67,-122585168,-2.95,-20435776,-0.49,170990800,4.12
2023-06-30,BK1056,幽门螺杆菌概念,886.27,0.92,-187078817,-4.32,-36143313,-0.84,-150935504,-3.49,74215520,1.71,112863312,2.61
2023-06-29,BK1056,幽门螺杆菌概念,878.23,1.14,37661087,0.94,42916431,1.07,-5255344,-0.13,24807952,0.62,-62469040,-1.56
2023-06-28,BK1056,幽门螺杆菌概念,868.31,-0.32,-176165706,-5.04,-37534410,-1.07,-138631296,-3.96,9800720,0.28,166364992,4.76
2023-06-27,BK1056,幽门螺杆菌概念,871.06,1.8,-78159073,-1.92,-59754353,-1.46,-18404720,-0.45,-10977920,-0.27,89136976,2.18
2023-06-26,BK1056,幽门螺杆菌概念,855.69,-1.24,-145108996,-3.62,-60293860,-1.51,-84815136,-2.12,-41901648,-1.05,187010656,4.67
2023-06-21,BK1056,幽门螺杆菌概念,866.43,-0.92,-135106151,-3.26,-10145879,-0.24,-124960272,-3.01,-16783248,-0.4,151889408,3.66
2023-06-20,BK1056,幽门螺杆菌概念,874.51,-0.54,-155763703,-3.5,-61881799,-1.39,-93881904,-2.11,-9008880,-0.2,164772592,3.7
2023-06-19,BK1056,幽门螺杆菌概念,879.25,-0.68,-120166979,-2.69,-61972403,-1.39,-58194576,-1.3,165895520,3.72,-45728544,-1.02
2023-06-16,BK1056,幽门螺杆菌概念,885.27,0.29,-47888781,-1.04,6315363,0.14,-54204144,-1.18,47970800,1.04,-82016,0.0
