日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-07,BK0904,广电,1225.81,-0.65,-120665262,-3.26,-79577326,-2.15,-41087936,-1.11,18657296,0.5,102209776,2.76
2023-07-06,BK0904,广电,1233.88,-0.2,-46200525,-1.29,-29827341,-0.8300000000000001,-16373184,-0.46,9596832,0.27,36601696,1.02
2023-07-05,BK0904,广电,1236.4,-0.59,-144809123,-4.16,-125883987,-3.62,-18925136,-0.54,65211184,1.87,79408928,2.28
2023-07-04,BK0904,广电,1243.73,0.21,65840723,1.85,53198595,1.49,12642128,0.36,38148976,1.07,-103901760,-2.92
2023-07-03,BK0904,广电,1241.15,-0.17,-154023972,-3.17,-94752772,-1.95,-59271200,-1.22,82473712,1.7000000000000002,71719568,1.47
2023-06-30,BK0904,广电,1243.24,0.56,155079536,3.42,48446912,1.07,106632624,2.35,-24676496,-0.54,-130096272,-2.87
2023-06-29,BK0904,广电,1236.27,0.8300000000000001,95276176,1.86,74349728,1.45,20926448,0.41,70607520,1.38,-165483024,-3.23
2023-06-28,BK0904,广电,1226.12,-0.85,-278672208,-4.34,-143066544,-2.23,-135605664,-2.11,203413760,3.17,75070880,1.17
2023-06-27,BK0904,广电,1236.61,1.9,-16664160,-0.28,-23058272,-0.39,6394112,0.11,48270752,0.8200000000000001,-31711504,-0.54
2023-06-26,BK0904,广电,1213.61,-4.0,-436224512,-6.59,-205074480,-3.1,-231150032,-3.49,-54298288,-0.8200000000000001,489874608,7.4
2023-06-21,BK0904,广电,1264.14,-3.77,-1111102112,-13.71,-610389872,-7.53,-500712240,-6.18,163371424,2.02,947986544,11.7
2023-06-20,BK0904,广电,1313.64,-1.72,-527000320,-7.52,-255224512,-3.64,-271775808,-3.88,-46426240,-0.66,572852096,8.18
2023-06-19,BK0904,广电,1336.65,-0.51,-546702064,-6.5600000000000005,-202500448,-2.43,-344201616,-4.13,5416720,0.07,540425456,6.49
2023-06-16,BK0904,广电,1343.46,0.55,-202267424,-2.39,-92161616,-1.09,-110105808,-1.3,64475200,0.76,137763200,1.63
