日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK1076,建筑节能,901.43,-0.04,-150912981,-5.5600000000000005,-55515381,-2.05,-95397600,-3.51,-4798144,-0.18,155711120,5.74
2023-09-04,BK1076,建筑节能,908.35,1.75,-29598888,-0.86,-6184488,-0.18,-23414400,-0.68,25334208,0.73,4264688,0.12
2023-08-31,BK1076,建筑节能,895.79,-1.54,-131361502,-3.47,-48934430,-1.29,-82427072,-2.17,25233248,0.67,106128256,2.8
2023-08-29,BK1076,建筑节能,901.95,3.74,-43772154,-1.07,30000822,0.73,-73772976,-1.8,-26710656,-0.65,70482800,1.72
2023-08-28,BK1076,建筑节能,869.44,2.03,-161774136,-3.77,-35810232,-0.84,-125963904,-2.94,-16601616,-0.39,178375760,4.16
2023-08-25,BK1076,建筑节能,852.15,-1.58,-40865325,-1.48,-43706989,-1.59,2841664,0.1,-27848336,-1.01,68713664,2.49
2023-08-24,BK1076,建筑节能,865.81,-1.1,-166848084,-5.76,-60241044,-2.08,-106607040,-3.68,-35878384,-1.24,202726480,7.0
2023-08-23,BK1076,建筑节能,875.46,-2.08,-123704100,-4.17,-74680244,-2.52,-49023856,-1.65,-50262016,-1.7000000000000002,173966112,5.87
2023-08-21,BK1076,建筑节能,893.45,0.17,-51197075,-1.63,5006973,0.16,-56204048,-1.79,8703248,0.28,42493824,1.35
2023-08-18,BK1076,建筑节能,891.96,-0.56,-89418960,-2.9,-31211216,-1.01,-58207744,-1.88,29565760,0.96,59853200,1.94
2023-08-16,BK1076,建筑节能,885.72,0.30000000000000004,-37652361,-1.34,8749287,0.31,-46401648,-1.65,-70998336,-2.52,108650688,3.86
2023-08-15,BK1076,建筑节能,883.08,-0.54,-102001201,-4.31,-11898273,-0.5,-90102928,-3.81,-104944704,-4.43,206945888,8.74
2023-08-14,BK1076,建筑节能,887.83,0.33,-25248643,-0.8200000000000001,62331837,2.02,-87580480,-2.84,-128918976,-4.18,154167616,5.0
2023-08-11,BK1076,建筑节能,884.91,-2.16,-458885654,-12.64,-263740102,-7.27,-195145552,-5.38,95841728,2.64,363043904,10.0
2023-08-10,BK1076,建筑节能,904.48,-0.34,-241275984,-9.05,-68842848,-2.58,-172433136,-6.46,-36392464,-1.36,277668448,10.41
2023-08-09,BK1076,建筑节能,907.56,-0.77,-135739429,-4.99,-56337989,-2.07,-79401440,-2.92,-5258560,-0.19,140997984,5.18
2023-08-08,BK1076,建筑节能,914.61,0.17,-136023798,-4.09,-40260422,-1.21,-95763376,-2.88,-16271504,-0.49,152295296,4.58
2023-08-07,BK1076,建筑节能,913.08,-1.0,-297662011,-8.92,-84433243,-2.53,-213228768,-6.39,-104711840,-3.14,402373856,12.06
2023-08-04,BK1076,建筑节能,922.28,0.26,-83823584,-2.0,57480176,1.37,-141303760,-3.38,-17934912,-0.43,101758496,2.43
2023-08-03,BK1076,建筑节能,919.93,-0.51,-102408393,-3.3,-22963529,-0.74,-79444864,-2.56,-73939184,-2.38,176347584,5.69
2023-08-02,BK1076,建筑节能,924.6,-0.22,-162111828,-4.21,-44113828,-1.15,-117998000,-3.07,-62393344,-1.62,224505168,5.83
2023-08-01,BK1076,建筑节能,926.65,-0.99,-220734175,-4.82,-90222575,-1.97,-130511600,-2.85,-105411280,-2.3,326145440,7.12
2023-07-31,BK1076,建筑节能,935.91,1.3,66097232,1.1,25944368,0.43,40152864,0.67,-50123424,-0.84,-15973840,-0.27
2023-07-28,BK1076,建筑节能,923.86,-0.02,-282986010,-5.66,-47795866,-0.96,-235190144,-4.7,-85049648,-1.7000000000000002,368035648,7.36
2023-07-27,BK1076,建筑节能,924.08,-1.21,-332256864,-5.18,-152543872,-2.38,-179712992,-2.8,52635440,0.8200000000000001,279621424,4.36
2023-07-26,BK1076,建筑节能,935.41,1.02,-137881968,-2.04,14653616,0.22,-152535584,-2.25,-24577264,-0.36,162459248,2.4
2023-07-24,BK1076,建筑节能,893.37,0.02,-380453584,-7.35,-195400928,-3.77,-185052656,-3.5700000000000003,92924512,1.8,287529072,5.55
2023-07-21,BK1076,建筑节能,893.16,0.29,164088889,4.25,244117881,6.33,-80028992,-2.07,-63948288,-1.66,-100140608,-2.6
2023-07-20,BK1076,建筑节能,890.58,-0.73,-95345620,-3.0,-23832500,-0.75,-71513120,-2.25,16554848,0.52,78790768,2.48
2023-07-19,BK1076,建筑节能,897.15,0.04,-205871270,-6.59,-127854390,-4.09,-78016880,-2.5,49453904,1.58,156417376,5.0
2023-07-17,BK1076,建筑节能,896.42,0.2,-142413236,-4.37,-15154756,-0.46,-127258480,-3.9,1733520,0.05,140679712,4.31
2023-07-14,BK1076,建筑节能,894.61,0.09,-115095456,-3.07,-56146480,-1.5,-58948976,-1.57,35009904,0.93,80085552,2.13
2023-07-13,BK1076,建筑节能,893.8,0.95,-125445090,-3.92,-51176530,-1.6,-74268560,-2.32,32800256,1.02,92644816,2.9
2023-07-12,BK1076,建筑节能,885.43,-1.42,-348869662,-9.65,-93526926,-2.59,-255342736,-7.07,91229248,2.52,257640416,7.13
2023-07-11,BK1076,建筑节能,898.18,0.55,-183284451,-6.34,-24790179,-0.86,-158494272,-5.49,19394448,0.67,163890000,5.67
2023-07-10,BK1076,建筑节能,893.24,0.6900000000000001,-78195374,-2.31,36954226,1.09,-115149600,-3.4,28520448,0.84,49674928,1.47
2023-07-07,BK1076,建筑节能,887.09,-0.45,-119861984,-3.63,-76264144,-2.31,-43597840,-1.32,3814192,0.12,116047792,3.52
2023-07-06,BK1076,建筑节能,891.13,-0.05,-231762463,-6.58,-93610207,-2.66,-138152256,-3.92,58276368,1.65,173486096,4.92
2023-07-05,BK1076,建筑节能,891.57,-0.64,-162821093,-4.93,-47544565,-1.44,-115276528,-3.49,-8653376,-0.26,171474480,5.19
2023-07-04,BK1076,建筑节能,897.29,0.01,-426562852,-12.32,-217395140,-6.28,-209167712,-6.04,128287040,3.7,298275824,8.61
2023-07-03,BK1076,建筑节能,897.24,0.76,102014402,2.4,178842370,4.21,-76827968,-1.81,-79294944,-1.87,-22719456,-0.53
2023-06-30,BK1076,建筑节能,890.45,1.17,-138213901,-3.5700000000000003,-13793005,-0.36,-124420896,-3.21,41950880,1.08,96263024,2.49
