日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-07,BK0847,影视概念,838.07,-0.55,-391964608,-3.7,-270639136,-2.56,-121325472,-1.15,82869680,0.78,309296720,2.92
2023-07-06,BK0847,影视概念,842.7,-0.03,-882624,-0.01,-53423120,-0.51,52540496,0.5,-138762752,-1.31,139643376,1.32
2023-07-05,BK0847,影视概念,842.92,-0.86,-440969296,-4.37,-140791792,-1.39,-300177504,-2.97,68971968,0.68,371808336,3.68
2023-07-04,BK0847,影视概念,850.26,0.32,-187588720,-1.64,-161119376,-1.41,-26469344,-0.23,40024992,0.35000000000000003,147651680,1.29
2023-07-03,BK0847,影视概念,847.57,0.02,-271696128,-1.86,-119537952,-0.8200000000000001,-152158176,-1.04,85394432,0.58,186470912,1.28
2023-06-30,BK0847,影视概念,847.36,0.35000000000000003,54620736,0.43,13630384,0.11,40990352,0.32,-150897152,-1.18,96583424,0.75
2023-06-29,BK0847,影视概念,844.41,1.07,247390960,1.73,189808416,1.33,57582544,0.4,173722112,1.22,-420712448,-2.95
2023-06-28,BK0847,影视概念,835.46,-1.45,-694571136,-4.2,-398008384,-2.4,-296562752,-1.79,286146304,1.73,408237312,2.47
2023-06-27,BK0847,影视概念,847.78,2.0,155774160,1.06,275193808,1.87,-119419648,-0.81,-237515520,-1.61,81636352,0.55
2023-06-26,BK0847,影视概念,831.18,-3.55,-1609318592,-9.11,-434297904,-2.46,-1175020688,-6.65,-164631296,-0.93,1773301504,10.03
2023-06-21,BK0847,影视概念,861.79,-4.09,-2570623424,-11.06,-1243189952,-5.35,-1327433472,-5.71,45857792,0.2,2525021440,10.86
2023-06-20,BK0847,影视概念,898.53,-0.13,-462309088,-1.89,77631520,0.32,-539940608,-2.21,-69248000,-0.28,530982400,2.17
2023-06-19,BK0847,影视概念,899.69,-0.02,-721202096,-3.13,-255813040,-1.11,-465389056,-2.02,-36913408,-0.16,757255680,3.28
2023-06-16,BK0847,影视概念,899.91,0.28,-462818416,-2.1,-116511088,-0.53,-346307328,-1.57,-211915008,-0.96,674704640,3.06
