日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-10,BK0972,快手概念,1227.93,0.33,82650656,1.26,139492784,2.13,-56842128,-0.87,-90094064,-1.38,7443424,0.11
2023-07-07,BK0972,快手概念,1223.88,-0.95,-433505520,-5.13,-211335616,-2.5,-222169904,-2.63,-48204992,-0.5700000000000001,481710512,5.7
2023-07-06,BK0972,快手概念,1235.66,0.45,43358512,0.56,111867696,1.44,-68509184,-0.88,-129337552,-1.66,85979040,1.11
2023-07-05,BK0972,快手概念,1230.08,-0.8300000000000001,-245037680,-3.08,-21723696,-0.27,-223313984,-2.81,168176336,2.11,76861328,0.97
2023-07-04,BK0972,快手概念,1240.39,0.14,-266778336,-4.01,-109462144,-1.65,-157316192,-2.36,110195344,1.66,156582992,2.35
2023-07-03,BK0972,快手概念,1238.62,-1.19,-483193408,-5.76,-246338976,-2.94,-236854432,-2.8200000000000003,135459424,1.61,347733984,4.14
2023-06-30,BK0972,快手概念,1253.59,0.18,-128313824,-1.59,-75005600,-0.93,-53308224,-0.66,-59466800,-0.74,187780624,2.32
2023-06-29,BK0972,快手概念,1251.38,1.64,-142847344,-1.77,-78838208,-0.98,-64009136,-0.79,19606192,0.24,123241136,1.52
2023-06-28,BK0972,快手概念,1231.24,-2.86,-560037712,-5.29,-228794336,-2.16,-331243376,-3.13,-133714768,-1.26,693752512,6.5600000000000005
2023-06-27,BK0972,快手概念,1267.48,1.78,-315445824,-3.37,-30889600,-0.33,-284556224,-3.04,-64361984,-0.6900000000000001,379807808,4.06
2023-06-26,BK0972,快手概念,1245.27,-5.6,-1424008560,-10.38,-625031488,-4.5600000000000005,-798977072,-5.82,-88638464,-0.65,1512647040,11.02
2023-06-21,BK0972,快手概念,1319.08,-5.49,-2309742768,-13.51,-1242103360,-7.27,-1067639408,-6.25,76642304,0.45,2233100064,13.07
2023-06-20,BK0972,快手概念,1395.72,-1.08,-1211008800,-6.31,-829408800,-4.32,-381600000,-1.99,146013440,0.76,1064995200,5.55
2023-06-19,BK0972,快手概念,1411.02,1.12,71528096,0.34,362225568,1.72,-290697472,-1.38,48140800,0.23,-119668736,-0.5700000000000001
2023-06-16,BK0972,快手概念,1395.44,1.57,601844432,3.59,545582288,3.25,56262144,0.34,-286461184,-1.71,-315383312,-1.88
