日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-28,BK0534,成渝特区,17322.99,1.22,1747600896,4.54,1583249664,4.12,164351232,0.43,-830208256,-2.16,-917392384,-2.38
2023-07-27,BK0534,成渝特区,17114.85,-0.52,-480551600,-1.66,27587664,0.1,-508139264,-1.76,-153389056,-0.53,633940736,2.19
2023-07-26,BK0534,成渝特区,17204.15,0.24,-1915060816,-7.45,-1703118416,-6.63,-211942400,-0.8200000000000001,316506624,1.23,1598554368,6.22
2023-07-24,BK0534,成渝特区,16828.71,-0.06,-1206298848,-6.95,-654799488,-3.78,-551499360,-3.18,261935104,1.51,944363520,5.44
2023-07-21,BK0534,成渝特区,16838.38,0.48,439230192,2.27,214240752,1.11,224989440,1.16,-386236160,-2.0,-52993792,-0.27
2023-07-20,BK0534,成渝特区,16757.9,-1.0,-1017576224,-5.28,-490648096,-2.54,-526928128,-2.73,-124230144,-0.64,1141806080,5.92
2023-07-19,BK0534,成渝特区,16927.88,0.04,-757148048,-5.28,-438017152,-3.06,-319130896,-2.23,80502016,0.56,676645840,4.72
2023-07-17,BK0534,成渝特区,16968.98,-0.05,-857403328,-4.78,-405499296,-2.26,-451904032,-2.52,105422080,0.59,751981312,4.19
2023-07-14,BK0534,成渝特区,16978.26,-0.30000000000000004,-1407679504,-6.5600000000000005,-982019600,-4.58,-425659904,-1.98,350182144,1.63,1057497600,4.93
2023-07-13,BK0534,成渝特区,17029.73,0.85,595475264,2.12,600373056,2.14,-4897792,-0.02,-352974848,-1.26,-242500608,-0.86
2023-07-12,BK0534,成渝特区,16886.12,-0.95,-1045775392,-3.63,-856427040,-2.97,-189348352,-0.66,134426368,0.47,911349248,3.16
2023-07-11,BK0534,成渝特区,17048.68,0.58,97870624,0.44,370261792,1.67,-272391168,-1.23,-279613184,-1.26,181742592,0.8200000000000001
2023-07-10,BK0534,成渝特区,16950.43,-0.18,-275788480,-1.2,-295745728,-1.28,19957248,0.09,21831680,0.09,253956864,1.1
2023-07-07,BK0534,成渝特区,16980.46,-0.08,-705406256,-3.17,-308001072,-1.38,-397405184,-1.79,19272960,0.09,686133504,3.08
2023-07-06,BK0534,成渝特区,16994.29,0.05,-639401392,-2.72,-302219440,-1.29,-337181952,-1.44,-159526144,-0.68,798927360,3.4
2023-07-05,BK0534,成渝特区,16985.14,-0.32,-1089198688,-4.18,-458984032,-1.76,-630214656,-2.42,44915712,0.17,1044282880,4.01
2023-07-04,BK0534,成渝特区,17040.41,0.38,-33797344,-0.11,107277600,0.36,-141074944,-0.47,153604864,0.51,-119807744,-0.4
2023-07-03,BK0534,成渝特区,16975.54,0.84,1737555664,6.21,1213584336,4.33,523971328,1.87,-621883648,-2.22,-1115672064,-3.98
2023-06-30,BK0534,成渝特区,16834.37,0.81,-735966880,-3.49,-358770080,-1.7000000000000002,-377196800,-1.79,-147397376,-0.7000000000000001,883364352,4.19
2023-06-29,BK0534,成渝特区,16699.78,-0.04,-1445852960,-7.54,-805240176,-4.2,-640612784,-3.34,50127872,0.26,1395725312,7.28
2023-06-28,BK0534,成渝特区,16706.61,-0.25,-527869296,-2.22,-213682544,-0.9,-314186752,-1.32,74888192,0.31,452981248,1.9
2023-06-27,BK0534,成渝特区,16748.01,1.61,66615072,0.26,-68425184,-0.27,135040256,0.53,21035008,0.08,-87650304,-0.34
2023-06-26,BK0534,成渝特区,16482.43,-1.34,-1096092848,-3.36,-450679216,-1.38,-645413632,-1.98,-27418112,-0.08,1123510784,3.44
2023-06-21,BK0534,成渝特区,16706.59,-0.76,-1902539936,-7.68,-1242582176,-5.02,-659957760,-2.67,242217984,0.98,1660321536,6.7
2023-06-20,BK0534,成渝特区,16834.59,-0.21,-894930160,-3.29,-333367536,-1.22,-561562624,-2.06,-197816320,-0.73,1092746240,4.01
2023-06-19,BK0534,成渝特区,16869.64,-0.29,-1442267376,-4.8,-833697776,-2.77,-608569600,-2.02,153059584,0.51,1289207808,4.29
2023-06-16,BK0534,成渝特区,16919.31,1.09,553300528,1.78,393925680,1.27,159374848,0.51,-510453760,-1.64,-42846464,-0.14
