日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-10,BK0642,手游概念,1167.68,0.5700000000000001,-353121568,-1.42,-240528160,-0.97,-112593408,-0.45,155312384,0.63,197808896,0.8
2023-07-07,BK0642,手游概念,1161.07,-1.2,-2574475728,-7.66,-1829887952,-5.44,-744587776,-2.22,298627072,0.89,2275848704,6.77
2023-07-06,BK0642,手游概念,1175.16,0.31,1273436160,4.0,1584068096,4.98,-310631936,-0.98,-997360384,-3.14,-276075776,-0.87
2023-07-05,BK0642,手游概念,1171.48,-1.25,-1715060768,-6.23,-1083892768,-3.94,-631168000,-2.29,342575616,1.24,1372485120,4.98
2023-07-04,BK0642,手游概念,1186.26,0.7000000000000001,-163457008,-0.48,320806928,0.93,-484263936,-1.41,-425653760,-1.24,589110528,1.72
2023-07-03,BK0642,手游概念,1178.03,-3.05,-4251687056,-10.32,-2854774672,-6.93,-1396912384,-3.39,711312128,1.73,3540375040,8.59
2023-06-30,BK0642,手游概念,1215.15,-0.95,-1464777264,-3.98,-579168560,-1.57,-885608704,-2.41,-382688768,-1.04,1847466240,5.02
2023-06-29,BK0642,手游概念,1226.86,1.91,-1120536832,-2.7,-756201216,-1.82,-364335616,-0.88,364945664,0.88,755591424,1.82
2023-06-28,BK0642,手游概念,1203.92,-0.46,-1452635904,-2.8200000000000003,160968448,0.31,-1613604352,-3.13,-193464064,-0.38,1646100224,3.19
2023-06-27,BK0642,手游概念,1209.49,2.09,57378304,0.15,290905344,0.76,-233527040,-0.61,-654908928,-1.71,597530624,1.56
2023-06-26,BK0642,手游概念,1184.7,-4.5600000000000005,-3846702336,-7.66,-1947838208,-3.88,-1898864128,-3.78,-192255232,-0.38,4038957824,8.05
2023-06-21,BK0642,手游概念,1241.27,-5.87,-8786822912,-13.46,-6735750400,-10.32,-2051072512,-3.14,2078508288,3.18,6708314624,10.28
2023-06-20,BK0642,手游概念,1318.7,1.0,763451392,1.09,927549696,1.32,-164098304,-0.23,-618064128,-0.88,-145387264,-0.21
2023-06-19,BK0642,手游概念,1305.67,0.8200000000000001,-2331939584,-3.78,-696288512,-1.13,-1635651072,-2.65,532497408,0.86,1799442432,2.92
2023-06-16,BK0642,手游概念,1295.03,1.42,2654990848,4.54,2361144576,4.04,293846272,0.5,-1703202560,-2.91,-951788544,-1.63
