日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-10,BK1117,抗原检测,804.89,-0.06,-402900080,-8.79,-67674992,-1.48,-335225088,-7.31,14111840,0.31,388788240,8.48
2023-08-09,BK1117,抗原检测,805.41,1.7000000000000002,97843088,1.31,28333152,0.38,69509936,0.93,-16799856,-0.22,-81043248,-1.08
2023-08-08,BK1117,抗原检测,791.92,0.29,-124310954,-2.35,-48465610,-0.92,-75845344,-1.43,10580672,0.2,113730304,2.15
2023-08-07,BK1117,抗原检测,789.6,-2.12,-681510368,-9.45,-187315792,-2.6,-494194576,-6.85,-18741360,-0.26,700251728,9.71
2023-08-04,BK1117,抗原检测,806.68,-0.65,-260529432,-5.74,-112317784,-2.48,-148211648,-3.27,-52299072,-1.15,312828496,6.9
2023-08-03,BK1117,抗原检测,811.98,0.99,-56900852,-1.04,-32902148,-0.6000000000000001,-23998704,-0.44,85528832,1.56,-28628000,-0.52
2023-08-02,BK1117,抗原检测,804.04,-0.88,-427477794,-8.73,-202839810,-4.14,-224637984,-4.59,102558256,2.09,324919536,6.63
2023-08-01,BK1117,抗原检测,811.19,-0.87,-276868343,-5.18,-138025447,-2.58,-138842896,-2.6,73725760,1.38,203142560,3.8
2023-07-31,BK1117,抗原检测,818.33,-0.47,-253295920,-3.79,-193111296,-2.89,-60184624,-0.9,-35512480,-0.53,288808400,4.32
2023-07-28,BK1117,抗原检测,822.23,0.63,-65571184,-1.46,68576352,1.52,-134147536,-2.98,-147874624,-3.28,213445824,4.74
2023-07-27,BK1117,抗原检测,817.08,-0.55,-108104745,-2.67,-65669849,-1.62,-42434896,-1.05,6276416,0.15,101828320,2.51
2023-07-26,BK1117,抗原检测,821.59,0.4,-16354032,-0.32,10032752,0.19,-26386784,-0.51,-82380688,-1.59,98734720,1.91
2023-07-24,BK1117,抗原检测,812.95,0.52,-118467214,-2.84,-44981102,-1.08,-73486112,-1.76,60769312,1.46,57697904,1.38
2023-07-21,BK1117,抗原检测,808.77,0.93,5227103,0.12,-3909297,-0.09,9136400,0.21,-19879616,-0.46,14652528,0.34
2023-07-20,BK1117,抗原检测,801.33,-0.53,-114336521,-3.2,-81031769,-2.27,-33304752,-0.93,-41586480,-1.16,155923008,4.36
2023-07-19,BK1117,抗原检测,805.62,-0.08,32402689,1.01,-3399135,-0.11,35801824,1.12,20159072,0.63,-52561776,-1.65
2023-07-17,BK1117,抗原检测,806.55,-0.67,-153237409,-3.6,-58858321,-1.38,-94379088,-2.22,44305264,1.04,108932128,2.56
2023-07-14,BK1117,抗原检测,811.97,-0.6000000000000001,-189534213,-5.82,-107426597,-3.3,-82107616,-2.52,87003280,2.67,102530928,3.15
2023-07-13,BK1117,抗原检测,816.9,0.66,-193590437,-5.2,-133479685,-3.58,-60110752,-1.61,50077264,1.34,143513152,3.85
2023-07-12,BK1117,抗原检测,811.52,-1.5,-204519754,-5.75,-78145834,-2.2,-126373920,-3.55,19119968,0.54,185399792,5.21
2023-07-11,BK1117,抗原检测,823.87,0.28,-22800241,-0.81,4057311,0.14,-26857552,-0.95,-11812512,-0.42,34612752,1.23
2023-07-10,BK1117,抗原检测,821.61,0.63,20803346,0.52,16927426,0.42,3875920,0.1,70576544,1.77,-91379888,-2.29
2023-07-07,BK1117,抗原检测,816.43,-0.23,-53489540,-1.74,-29806004,-0.97,-23683536,-0.77,-9558400,-0.31,63047952,2.05
2023-07-06,BK1117,抗原检测,818.32,-0.96,-268709541,-7.45,-127850869,-3.55,-140858672,-3.91,4337520,0.12,264372032,7.33
2023-07-05,BK1117,抗原检测,826.22,-0.43,-237679560,-5.84,-145165880,-3.5700000000000003,-92513680,-2.27,44785248,1.1,192894304,4.74
2023-07-04,BK1117,抗原检测,829.8,0.31,-99566409,-2.12,-40747129,-0.87,-58819280,-1.25,39185328,0.84,60381072,1.29
2023-07-03,BK1117,抗原检测,827.26,0.24,-101947421,-2.25,-22696141,-0.5,-79251280,-1.75,32670512,0.72,69276912,1.53
2023-06-30,BK1117,抗原检测,825.29,0.88,-116394929,-2.49,-25463585,-0.54,-90931344,-1.94,-40287248,-0.86,156682176,3.35
2023-06-29,BK1117,抗原检测,818.12,0.53,-111804616,-2.7,-30625464,-0.74,-81179152,-1.96,66609856,1.61,45194736,1.09
2023-06-28,BK1117,抗原检测,813.79,-0.33,-184653623,-4.24,-29227415,-0.67,-155426208,-3.5700000000000003,55678864,1.28,128974752,2.96
2023-06-27,BK1117,抗原检测,816.45,1.45,49092771,1.04,15040403,0.32,34052368,0.72,1573744,0.03,-50666496,-1.07
2023-06-26,BK1117,抗原检测,804.77,-1.26,-204634532,-4.41,-64881796,-1.4,-139752736,-3.01,-205286576,-4.42,409921120,8.83
2023-06-21,BK1117,抗原检测,815.04,-1.62,-392571827,-7.67,-127894355,-2.5,-264677472,-5.17,28299520,0.55,364272304,7.12
2023-06-20,BK1117,抗原检测,828.44,-0.26,-89033184,-1.52,-21649152,-0.37,-67384032,-1.15,16808768,0.29,72224416,1.23
2023-06-19,BK1117,抗原检测,830.61,-0.8200000000000001,-254502752,-4.31,-92698016,-1.57,-161804736,-2.74,194903344,3.3,59599408,1.01
2023-06-16,BK1117,抗原检测,837.44,0.1,-121289008,-2.18,-38014464,-0.68,-83274544,-1.49,112148928,2.01,9140112,0.16
