日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-14,BK1003,抽水蓄能,1149.96,-0.19,-181862774,-5.55,-63157174,-1.93,-118705600,-3.62,13577888,0.41,168284880,5.14
2023-08-11,BK1003,抽水蓄能,1152.11,-2.09,-242570900,-7.09,-89888692,-2.63,-152682208,-4.46,6481440,0.19,236089456,6.9
2023-08-10,BK1003,抽水蓄能,1176.71,0.37,-71764219,-2.72,957029,0.04,-72721248,-2.76,-60780176,-2.3,132544416,5.02
2023-08-09,BK1003,抽水蓄能,1172.43,-0.64,-189307904,-5.22,-48516864,-1.34,-140791040,-3.88,-166852160,-4.6,356160064,9.82
2023-08-08,BK1003,抽水蓄能,1179.97,-0.55,-254202838,-7.99,-137366486,-4.32,-116836352,-3.67,37032624,1.16,217170224,6.82
2023-08-07,BK1003,抽水蓄能,1186.47,-0.59,-470099307,-12.65,-124830363,-3.36,-345268944,-9.29,103736368,2.79,366362960,9.86
2023-08-04,BK1003,抽水蓄能,1193.49,-0.42,-290527456,-7.03,-114285408,-2.76,-176242048,-4.26,19605136,0.47,270922320,6.55
2023-08-03,BK1003,抽水蓄能,1198.48,0.16,-35558288,-1.01,21820272,0.62,-57378560,-1.62,-25579376,-0.72,61137648,1.73
2023-08-02,BK1003,抽水蓄能,1196.52,-1.03,-434578880,-10.09,-187175104,-4.35,-247403776,-5.75,60682768,1.41,373896112,8.68
2023-08-01,BK1003,抽水蓄能,1208.93,0.31,-1431088,-0.02,20597120,0.33,-22028208,-0.35000000000000003,-98238544,-1.55,99669616,1.58
2023-07-31,BK1003,抽水蓄能,1205.22,1.67,-31838528,-0.51,9279216,0.15,-41117744,-0.66,-215859280,-3.46,247697808,3.97
2023-07-28,BK1003,抽水蓄能,1185.38,0.45,-146481264,-2.8,-6357904,-0.12,-140123360,-2.68,-105769760,-2.02,252251024,4.83
2023-07-27,BK1003,抽水蓄能,1180.04,-0.75,-51457936,-1.33,-7267040,-0.19,-44190896,-1.14,-74558464,-1.92,126016368,3.25
2023-07-26,BK1003,抽水蓄能,1188.91,-0.12,-115143744,-2.88,-48693600,-1.22,-66450144,-1.66,-70230192,-1.76,185373920,4.64
2023-07-24,BK1003,抽水蓄能,1183.94,0.59,-126773318,-3.55,-69000534,-1.93,-57772784,-1.62,-29232704,-0.8200000000000001,156006016,4.36
2023-07-21,BK1003,抽水蓄能,1176.99,-0.36,-163556798,-4.79,-62208782,-1.82,-101348016,-2.97,-4971264,-0.15,168528048,4.93
2023-07-20,BK1003,抽水蓄能,1181.29,-1.33,-298583912,-7.82,-99297336,-2.6,-199286576,-5.22,-47078704,-1.23,345662624,9.06
2023-07-19,BK1003,抽水蓄能,1197.27,-0.14,-175516610,-4.7,-74486226,-1.99,-101030384,-2.7,29380672,0.79,146135936,3.91
2023-07-17,BK1003,抽水蓄能,1203.5,0.74,-145685728,-3.18,59268544,1.29,-204954272,-4.47,-33210096,-0.72,178895840,3.9
2023-07-14,BK1003,抽水蓄能,1194.68,-1.4,-381575792,-7.97,-192946112,-4.03,-188629680,-3.94,-27596432,-0.58,409172240,8.54
