日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-06,BK1084,数字哨兵,1708.64,-0.30000000000000004,-256309268,-8.86,-186621204,-6.45,-69688064,-2.41,63191232,2.18,193118032,6.68
2023-07-05,BK1084,数字哨兵,1713.73,-1.23,-182558259,-5.13,-121232755,-3.41,-61325504,-1.72,133336528,3.75,49221744,1.38
2023-07-04,BK1084,数字哨兵,1734.99,0.1,11800341,0.37,46164485,1.45,-34364144,-1.08,-23510128,-0.74,11709776,0.37
2023-07-03,BK1084,数字哨兵,1733.18,-0.93,-283326560,-6.92,-232601680,-5.68,-50724880,-1.24,75930752,1.86,207395824,5.07
2023-06-30,BK1084,数字哨兵,1749.49,0.47,-81041888,-1.83,-10152592,-0.23,-70889296,-1.6,-69082176,-1.56,150124080,3.39
2023-06-29,BK1084,数字哨兵,1741.37,1.25,-165775616,-4.0,-99668912,-2.41,-66106704,-1.6,-3415776,-0.08,169191392,4.08
2023-06-28,BK1084,数字哨兵,1719.95,-4.12,-397509529,-10.01,-209227673,-5.27,-188281856,-4.74,123491872,3.11,274017664,6.9
2023-06-27,BK1084,数字哨兵,1793.82,3.07,-33902512,-0.74,1533744,0.03,-35436256,-0.78,-62908256,-1.38,96810784,2.12
2023-06-26,BK1084,数字哨兵,1740.38,-6.67,-704176448,-11.71,-446138832,-7.42,-258037616,-4.29,266500096,4.43,437676352,7.28
2023-06-21,BK1084,数字哨兵,1864.67,-3.28,-430190016,-6.67,-275938176,-4.28,-154251840,-2.39,36711360,0.5700000000000001,393478672,6.1
2023-06-20,BK1084,数字哨兵,1927.87,0.42,-9947392,-0.12,176142064,2.11,-186089456,-2.23,-141703648,-1.69,151651024,1.81
2023-06-19,BK1084,数字哨兵,1919.72,2.86,-78024512,-0.92,50468544,0.59,-128493056,-1.51,33301600,0.39,44722912,0.53
2023-06-16,BK1084,数字哨兵,1866.26,3.02,304012016,5.99,335098000,6.6,-31085984,-0.61,-45520640,-0.9,-258491376,-5.09
