日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-10,BK1061,数字经济,1004.09,-0.27,-1921933824,-6.07,-1159758848,-3.66,-762174976,-2.41,-1181184,0.0,1922986496,6.07
2023-07-07,BK1061,数字经济,1006.8,-1.62,-2975763680,-7.06,-1885816544,-4.48,-1089947136,-2.59,92512000,0.22,2882959360,6.84
2023-07-06,BK1061,数字经济,1023.41,0.17,15216256,0.04,-10328704,-0.02,25544960,0.06,-337571072,-0.8,321627392,0.76
2023-07-05,BK1061,数字经济,1021.67,-1.41,-3076139904,-7.5,-1732274816,-4.22,-1343865088,-3.27,516074496,1.26,2559459328,6.24
2023-07-04,BK1061,数字经济,1036.26,0.39,-776630256,-1.88,-235521008,-0.5700000000000001,-541109248,-1.31,-81089792,-0.2,858065920,2.07
2023-07-03,BK1061,数字经济,1032.23,0.03,-1972650496,-3.69,-1536725760,-2.88,-435924736,-0.8200000000000001,635480832,1.19,1337818624,2.5
2023-06-30,BK1061,数字经济,1031.97,0.65,-670787328,-1.34,-595109632,-1.19,-75677696,-0.15,-179787264,-0.36,850785536,1.7000000000000002
2023-06-29,BK1061,数字经济,1025.34,1.35,-2112109568,-3.94,-1023437568,-1.91,-1088672000,-2.03,649768192,1.21,1462550784,2.73
2023-06-28,BK1061,数字经济,1011.72,-2.3,-3888024320,-6.94,-1944226048,-3.47,-1943798272,-3.47,469918976,0.84,3416964608,6.1
2023-06-27,BK1061,数字经济,1035.51,1.83,-1786829824,-3.68,-943369216,-1.94,-843460608,-1.74,274529792,0.5700000000000001,1512270080,3.12
2023-06-26,BK1061,数字经济,1016.89,-4.76,-5972144640,-8.75,-3042592256,-4.46,-2929552384,-4.29,272227840,0.4,5698896640,8.35
2023-06-21,BK1061,数字经济,1067.75,-3.7,-7200585728,-8.85,-4745583104,-5.83,-2455002624,-3.02,830358272,1.02,6371133696,7.83
2023-06-20,BK1061,数字经济,1108.77,-0.33,-3223219712,-3.63,-2230258176,-2.51,-992961536,-1.12,236034304,0.27,2983924224,3.36
2023-06-19,BK1061,数字经济,1112.44,1.78,309060864,0.35000000000000003,1752399104,1.99,-1443338240,-1.64,-853027840,-0.97,543550720,0.62
2023-06-16,BK1061,数字经济,1092.97,2.09,2524127488,3.16,2524128768,3.16,-1280,0.0,-1187575552,-1.49,-1337950976,-1.6800000000000002
