日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0883,数字货币,1404.45,0.68,-218280240,-1.24,104003408,0.59,-322283648,-1.83,56759808,0.32,161520640,0.91
2023-09-04,BK0883,数字货币,1408.79,1.79,409543856,2.45,413069312,2.47,-3525456,-0.02,-1933568,-0.01,-407610624,-2.44
2023-08-31,BK0883,数字货币,1404.19,-1.17,-1338667040,-6.93,-589407952,-3.05,-749259088,-3.88,133027840,0.6900000000000001,1205639424,6.24
2023-08-29,BK0883,数字货币,1392.95,4.49,887718976,3.76,893079616,3.78,-5360640,-0.02,-447936768,-1.9,-439782144,-1.86
2023-08-28,BK0883,数字货币,1333.13,0.03,-984889136,-3.79,-516888112,-1.99,-468001024,-1.8,400938496,1.54,583950592,2.25
2023-08-25,BK0883,数字货币,1332.7,-3.25,-1367144496,-6.22,-597399600,-2.72,-769744896,-3.5,308013312,1.4,1059131136,4.82
2023-08-24,BK0883,数字货币,1377.41,0.13,208453584,0.97,696665040,3.24,-488211456,-2.27,-419952128,-1.95,211498496,0.98
2023-08-23,BK0883,数字货币,1375.65,-1.55,-446928736,-2.62,-118416240,-0.6900000000000001,-328512496,-1.93,128717312,0.75,318211328,1.87
2023-08-21,BK0883,数字货币,1352.84,-0.28,-139797024,-1.17,-14413056,-0.12,-125383968,-1.05,-55603088,-0.47,195399936,1.64
2023-08-18,BK0883,数字货币,1356.7,-2.32,-814221168,-5.26,-402590928,-2.6,-411630240,-2.66,240236288,1.55,573985024,3.7
2023-08-16,BK0883,数字货币,1376.67,-1.45,-299248848,-2.0,-6956304,-0.05,-292292544,-1.95,102629120,0.6900000000000001,196619520,1.32
2023-08-15,BK0883,数字货币,1396.99,-1.22,-833460944,-6.52,-287325888,-2.25,-546135056,-4.27,103982592,0.81,729478560,5.7
2023-08-14,BK0883,数字货币,1414.18,1.45,-359648160,-2.53,-187587728,-1.32,-172060432,-1.21,-37511936,-0.26,397159936,2.79
2023-08-11,BK0883,数字货币,1394.03,-3.07,-1929373392,-12.14,-780964688,-4.91,-1148408704,-7.22,30736128,0.19,1898637312,11.94
2023-08-10,BK0883,数字货币,1438.18,0.38,-552173344,-3.23,-128292688,-0.75,-423880656,-2.48,-10740992,-0.06,562914304,3.3
2023-08-09,BK0883,数字货币,1432.74,0.35000000000000003,100370896,0.58,208497024,1.21,-108126128,-0.63,82591744,0.48,-182962688,-1.06
2023-08-08,BK0883,数字货币,1427.76,-1.26,-990568096,-7.06,-406670800,-2.9,-583897296,-4.16,-130822912,-0.93,1121390848,8.0
2023-08-07,BK0883,数字货币,1445.98,0.02,-1167191520,-5.76,-519541216,-2.56,-647650304,-3.2,83752192,0.41,1083439360,5.35
2023-08-04,BK0883,数字货币,1445.63,3.9,933258016,3.12,812514848,2.71,120743168,0.4,120525568,0.4,-1053783808,-3.52
2023-08-03,BK0883,数字货币,1391.3,0.29,-86276064,-0.6900000000000001,-57903920,-0.46,-28372144,-0.23,145970688,1.17,-59694816,-0.48
2023-08-02,BK0883,数字货币,1387.22,0.65,-37855792,-0.34,-74354016,-0.68,36498224,0.33,103618688,0.94,-65762912,-0.6000000000000001
2023-08-01,BK0883,数字货币,1378.29,-0.02,-314901632,-2.56,-116737216,-0.95,-198164416,-1.61,-14965312,-0.12,329866960,2.68
