日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-28,BK1118,数据确权,1370.98,-0.32,-734598336,-9.12,-439644784,-5.46,-294953552,-3.66,-51499840,-0.64,786098160,9.76
2023-07-27,BK1118,数据确权,1375.45,-1.45,-483811072,-5.75,-136241664,-1.62,-347569408,-4.13,-71192720,-0.85,555003792,6.6
2023-07-26,BK1118,数据确权,1395.62,-2.73,-1167362288,-12.45,-594610400,-6.34,-572751888,-6.11,-10018352,-0.11,1177380640,12.56
2023-07-24,BK1118,数据确权,1418.25,1.07,-66855680,-0.62,-228195632,-2.13,161339952,1.51,-5712096,-0.05,72567760,0.68
2023-07-21,BK1118,数据确权,1403.29,-0.67,-102853792,-0.96,92367904,0.86,-195221696,-1.81,-145420528,-1.35,248274320,2.31
2023-07-20,BK1118,数据确权,1412.69,-2.16,-608735408,-5.32,-295928160,-2.58,-312807248,-2.73,-4643184,-0.04,613378608,5.36
2023-07-19,BK1118,数据确权,1443.86,0.45,-420622160,-3.38,-110051840,-0.89,-310570320,-2.5,211792976,1.7000000000000002,208829184,1.6800000000000002
2023-07-17,BK1118,数据确权,1462.37,-0.78,-1036925424,-6.97,-528637952,-3.56,-508287472,-3.42,244070912,1.64,792854624,5.33
2023-07-14,BK1118,数据确权,1473.93,3.83,775161440,5.26,818947008,5.5600000000000005,-43785568,-0.30000000000000004,-323863296,-2.2,-451298016,-3.06
2023-07-13,BK1118,数据确权,1419.54,2.75,-22064880,-0.17,103722368,0.78,-125787248,-0.94,-61371456,-0.46,83436336,0.62
2023-07-12,BK1118,数据确权,1381.49,-2.46,-130114032,-1.19,286819216,2.63,-416933248,-3.83,-279237712,-2.56,409351744,3.76
2023-07-11,BK1118,数据确权,1416.31,-0.63,-63191488,-0.84,18382816,0.24,-81574304,-1.08,-38407664,-0.51,101599136,1.35
2023-07-10,BK1118,数据确权,1425.35,0.06,-161610000,-2.34,-134538480,-1.95,-27071520,-0.39,1746816,0.03,159863184,2.32
2023-07-07,BK1118,数据确权,1424.44,-1.48,-466308032,-4.95,-211937232,-2.25,-254370800,-2.7,-28461072,-0.30000000000000004,494769104,5.25
2023-07-06,BK1118,数据确权,1445.81,0.37,-266975712,-2.48,-256452272,-2.38,-10523440,-0.1,-37699696,-0.35000000000000003,304675392,2.83
2023-07-05,BK1118,数据确权,1440.45,-1.44,-404636784,-3.95,-250946208,-2.45,-153690576,-1.5,24846384,0.24,379790416,3.71
2023-07-04,BK1118,数据确权,1461.43,0.58,-197049904,-1.74,49520320,0.44,-246570224,-2.18,57466912,0.51,139582992,1.23
2023-07-03,BK1118,数据确权,1452.94,-0.79,-679228640,-5.05,-260333760,-1.94,-418894880,-3.11,300370688,2.23,378858096,2.8200000000000003
2023-06-30,BK1118,数据确权,1464.48,-0.66,-107215824,-1.03,-217703376,-2.09,110487552,1.06,-131582704,-1.26,238798544,2.29
2023-06-29,BK1118,数据确权,1474.27,1.47,-20030928,-0.19,-44407536,-0.43,24376608,0.23,91367200,0.88,-71336272,-0.6900000000000001
2023-06-28,BK1118,数据确权,1452.96,-2.38,-909777696,-6.53,-533182240,-3.83,-376595456,-2.7,226461952,1.63,683315760,4.9
2023-06-27,BK1118,数据确权,1488.31,1.69,-269258448,-2.31,-125333584,-1.08,-143924864,-1.24,7523600,0.06,261734848,2.25
2023-06-26,BK1118,数据确权,1463.61,-6.22,-1547630768,-9.85,-903509200,-5.75,-644121568,-4.1,177295104,1.13,1370335536,8.72
2023-06-21,BK1118,数据确权,1560.66,-4.58,-2556711392,-12.14,-1788146912,-8.49,-768564480,-3.65,333646848,1.58,2223064320,10.55
2023-06-20,BK1118,数据确权,1635.51,-0.6900000000000001,-2002347248,-8.56,-921683440,-3.94,-1080663808,-4.62,387761152,1.66,1614586112,6.9
2023-06-19,BK1118,数据确权,1646.88,1.69,-424320016,-1.69,513937136,2.04,-938257152,-3.73,-190788352,-0.76,615108608,2.45
2023-06-16,BK1118,数据确权,1619.56,1.82,298409040,1.22,189384016,0.77,109025024,0.45,-289921280,-1.19,-8487936,-0.03
