日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-14,BK1060,新冠药物,791.51,-0.5,-663489328,-6.71,-244051296,-2.47,-419438032,-4.24,219130704,2.21,444431408,4.49
2023-08-11,BK1060,新冠药物,795.52,0.59,232809552,1.8,254470528,1.96,-21660976,-0.17,35756032,0.28,-268345408,-2.07
2023-08-10,BK1060,新冠药物,790.82,-0.4,-754580592,-8.54,-267042816,-3.02,-487537776,-5.52,73947184,0.84,680690512,7.71
2023-08-09,BK1060,新冠药物,793.98,2.18,374652176,2.61,196449376,1.37,178202800,1.24,-46169344,-0.32,-328668928,-2.29
2023-08-08,BK1060,新冠药物,777.07,1.16,239032688,2.54,270289664,2.88,-31256976,-0.33,36321024,0.39,-275380016,-2.93
2023-08-07,BK1060,新冠药物,768.14,-2.67,-998984912,-11.37,-328302912,-3.74,-670682000,-7.63,214308240,2.44,784659504,8.93
2023-08-04,BK1060,新冠药物,789.19,-0.85,-562785328,-8.52,-232051488,-3.51,-330733840,-5.01,20521920,0.31,542226016,8.21
2023-08-03,BK1060,新冠药物,795.97,1.94,251852784,3.06,115509072,1.41,136343712,1.66,144457536,1.76,-396259744,-4.82
2023-08-02,BK1060,新冠药物,780.83,-1.12,-550538990,-10.46,-267831566,-5.09,-282707424,-5.37,33989264,0.65,516518752,9.81
2023-08-01,BK1060,新冠药物,789.64,-0.96,-392234032,-6.34,-251833856,-4.07,-140400176,-2.27,-4674368,-0.08,396603296,6.41
2023-07-31,BK1060,新冠药物,797.27,-0.74,-377478192,-5.29,-166412848,-2.33,-211065344,-2.96,-76603696,-1.07,454180016,6.36
2023-07-28,BK1060,新冠药物,803.22,0.95,-86883456,-1.59,-11557264,-0.21,-75326192,-1.38,-54145312,-0.99,141169136,2.58
2023-07-27,BK1060,新冠药物,795.63,-0.59,-243722145,-5.6,-125749265,-2.89,-117972880,-2.71,-13528864,-0.31,257204704,5.91
2023-07-26,BK1060,新冠药物,800.37,0.30000000000000004,-118856162,-2.39,-33656834,-0.68,-85199328,-1.71,27341856,0.55,91477104,1.84
2023-07-24,BK1060,新冠药物,793.05,0.85,-84656458,-1.62,-80994122,-1.55,-3662336,-0.07,2695952,0.05,81969968,1.57
2023-07-21,BK1060,新冠药物,786.38,0.62,13766320,0.29,-13055200,-0.28,26821520,0.5700000000000001,-30520480,-0.64,16752928,0.35000000000000003
2023-07-20,BK1060,新冠药物,781.55,-0.39,-203518918,-4.46,-116939510,-2.56,-86579408,-1.9,-60815104,-1.33,264278624,5.79
2023-07-19,BK1060,新冠药物,784.63,-0.61,-236265908,-6.47,-91019780,-2.49,-145246128,-3.98,9556064,0.26,226494400,6.2
2023-07-17,BK1060,新冠药物,795.75,-0.14,-36805216,-0.7000000000000001,14596448,0.28,-51401664,-0.98,-65150384,-1.25,101803120,1.95
2023-07-14,BK1060,新冠药物,796.83,-0.24,-217183393,-5.2,-73188257,-1.75,-143995136,-3.45,68748480,1.65,148239184,3.55
2023-07-13,BK1060,新冠药物,798.71,1.0,-76962010,-1.58,3925750,0.08,-80887760,-1.66,-41955472,-0.86,119109728,2.45
2023-07-12,BK1060,新冠药物,790.77,-1.6,-497651957,-9.27,-240621717,-4.48,-257030240,-4.79,18662528,0.35000000000000003,479072960,8.93
2023-07-11,BK1060,新冠药物,803.61,0.5,-197591091,-4.05,-102656515,-2.1,-94934576,-1.95,-83949328,-1.72,281492688,5.77
2023-07-10,BK1060,新冠药物,799.62,-0.07,-229289267,-4.73,-141516931,-2.92,-87772336,-1.81,134231232,2.77,95184624,1.96
2023-07-07,BK1060,新冠药物,800.21,0.2,-165551857,-3.32,-62436897,-1.25,-103114960,-2.07,41753408,0.84,123765200,2.48
2023-07-06,BK1060,新冠药物,798.58,-1.61,-373195984,-5.5600000000000005,-115854080,-1.73,-257341904,-3.84,54752880,0.8200000000000001,318543904,4.75
2023-07-05,BK1060,新冠药物,811.64,0.07,-151086864,-1.79,-95152912,-1.13,-55933952,-0.66,-7166928,-0.09,157918624,1.88
2023-07-04,BK1060,新冠药物,811.1,0.36,-154776048,-2.06,-104358512,-1.39,-50417536,-0.67,112294688,1.5,42399360,0.5700000000000001
2023-07-03,BK1060,新冠药物,808.17,0.86,-198618608,-2.91,-27317216,-0.4,-171301392,-2.51,32984032,0.48,165706592,2.43
2023-06-30,BK1060,新冠药物,801.26,1.51,-59081504,-0.92,-5995616,-0.09,-53085888,-0.8200000000000001,16230432,0.25,42747696,0.66
2023-06-29,BK1060,新冠药物,789.33,0.65,-65063392,-1.23,-27400704,-0.52,-37662688,-0.71,54224480,1.03,10989888,0.21
2023-06-28,BK1060,新冠药物,784.22,-0.4,-327045022,-6.96,-88579742,-1.88,-238465280,-5.07,45689616,0.97,282074736,6.0
2023-06-27,BK1060,新冠药物,787.35,1.54,-181417979,-3.37,-64463531,-1.2,-116954448,-2.17,-57422288,-1.07,238970096,4.44
2023-06-26,BK1060,新冠药物,775.4,-1.54,-401935264,-6.38,-193430080,-3.07,-208505184,-3.31,-34234992,-0.54,435584816,6.91
2023-06-21,BK1060,新冠药物,787.56,-1.75,-683547938,-10.27,-211970514,-3.18,-471577424,-7.08,32783216,0.49,651224944,9.78
2023-06-20,BK1060,新冠药物,801.56,-0.63,-178674000,-2.22,-154790272,-1.92,-23883728,-0.30000000000000004,-33040048,-0.41,211398688,2.63
2023-06-19,BK1060,新冠药物,806.62,-0.56,-314290144,-4.14,-140771984,-1.85,-173518160,-2.28,104693472,1.38,209617664,2.76
2023-06-16,BK1060,新冠药物,811.15,0.25,9310400,0.12,102711312,1.37,-93400912,-1.24,-104071024,-1.38,95021360,1.26
