日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-12,BK0493,新能源,14668.99,-0.29,-567594880,-1.33,-285093248,-0.67,-282501632,-0.66,62068480,0.15,505337600,1.19
2023-07-11,BK0493,新能源,14712.3,0.13,-1193192896,-3.44,-479466432,-1.38,-713726464,-2.06,-258937600,-0.75,1450878208,4.18
2023-07-10,BK0493,新能源,14693.9,0.67,149651088,0.36,97782672,0.24,51868416,0.13,-147400192,-0.36,-1512448,0.0
2023-07-07,BK0493,新能源,14595.59,-0.38,-900458176,-2.59,-427828160,-1.23,-472630016,-1.36,-104881152,-0.30000000000000004,1004616960,2.89
2023-07-06,BK0493,新能源,14651.11,-0.23,-840610032,-2.43,-424767984,-1.23,-415842048,-1.2,-194388224,-0.56,1033944320,2.99
2023-07-05,BK0493,新能源,14684.63,-0.58,-2140263728,-5.75,-1106987056,-2.97,-1033276672,-2.77,179278592,0.48,1962658048,5.27
2023-07-04,BK0493,新能源,14770.35,-0.18,-1858457648,-4.18,-1148862256,-2.59,-709595392,-1.6,71304704,0.16,1786997504,4.02
2023-07-03,BK0493,新能源,14796.86,1.02,1355742208,2.65,993618944,1.94,362123264,0.71,-732836096,-1.43,-623484416,-1.22
2023-06-30,BK0493,新能源,14647.46,0.86,-116745888,-0.29,142486112,0.35000000000000003,-259232000,-0.64,-499627776,-1.24,617014784,1.53
2023-06-29,BK0493,新能源,14522.3,0.21,-1471515200,-3.71,-678135104,-1.71,-793380096,-2.0,-75468800,-0.19,1547967488,3.9
2023-06-28,BK0493,新能源,14492.22,0.38,-176564336,-0.42,109313936,0.26,-285878272,-0.68,-4868352,-0.01,180380416,0.43
2023-06-27,BK0493,新能源,14436.95,1.44,-956324512,-2.28,-384975776,-0.92,-571348736,-1.36,688900352,1.64,267106304,0.64
2023-06-26,BK0493,新能源,14231.58,0.26,-449498880,-0.93,40669952,0.08,-490168832,-1.01,-210093824,-0.43,658669824,1.36
2023-06-21,BK0493,新能源,14194.67,-0.76,-1288728640,-3.28,-608349504,-1.55,-680379136,-1.73,227321600,0.58,1061204992,2.7
2023-06-20,BK0493,新能源,14303.83,-0.61,-2041462160,-5.3,-1213012368,-3.15,-828449792,-2.15,232956672,0.6000000000000001,1807288576,4.69
2023-06-19,BK0493,新能源,14390.9,0.05,-2323008576,-5.39,-1217327168,-2.8200000000000003,-1105681408,-2.56,370989568,0.86,1950482688,4.52
2023-06-16,BK0493,新能源,14383.72,0.77,-677420800,-1.47,-17725952,-0.04,-659694848,-1.43,50516992,0.11,626163968,1.36
