日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-07,BK0900,新能源车,1551.94,-1.09,-5269544448,-3.96,-2861942528,-2.15,-2407601920,-1.81,-241950464,-0.18,5493364992,4.12
2023-07-06,BK0900,新能源车,1569.08,0.27,-3150673664,-2.15,-370209536,-0.25,-2780464128,-1.9,-939490560,-0.64,4074654208,2.78
2023-07-05,BK0900,新能源车,1564.92,-1.03,-6935904768,-4.23,-3348055040,-2.04,-3587849728,-2.19,185912576,0.11,6719602432,4.09
2023-07-04,BK0900,新能源车,1581.2,2.21,1225376512,0.6900000000000001,2715085824,1.53,-1489709312,-0.84,-849110016,-0.48,-297361920,-0.17
2023-07-03,BK0900,新能源车,1546.96,0.43,15297280,0.01,881949952,0.5,-866652672,-0.49,-1474352384,-0.8300000000000001,1462422528,0.8300000000000001
2023-06-30,BK0900,新能源车,1540.35,1.44,1815357696,1.16,1693491712,1.08,121865984,0.08,-1290989568,-0.8200000000000001,-557447680,-0.36
2023-06-29,BK0900,新能源车,1518.42,1.58,452936448,0.31,1498983424,1.04,-1046046976,-0.73,-1162229248,-0.81,727928320,0.51
2023-06-28,BK0900,新能源车,1494.75,0.12,-3733736192,-2.77,-1841624832,-1.37,-1892111360,-1.41,601630976,0.45,3162717952,2.35
2023-06-27,BK0900,新能源车,1492.9,1.37,-1433172480,-1.11,-419007232,-0.33,-1014165248,-0.79,-20829696,-0.02,1433285376,1.11
2023-06-26,BK0900,新能源车,1472.73,-1.21,-5547072768,-3.65,-2504712960,-1.65,-3042359808,-2.0,-7537664,0.0,5547741184,3.65
2023-06-21,BK0900,新能源车,1490.79,-0.67,-6942512640,-4.59,-4402255360,-2.91,-2540257280,-1.6800000000000002,484607488,0.32,6454357504,4.26
2023-06-20,BK0900,新能源车,1500.86,0.42,-463502592,-0.27,1306481408,0.77,-1769984000,-1.04,-1385955840,-0.8200000000000001,1865501696,1.1
2023-06-19,BK0900,新能源车,1494.57,0.41,-4455515392,-2.89,-1882348032,-1.22,-2573167360,-1.67,507953152,0.33,3938030592,2.55
2023-06-16,BK0900,新能源车,1488.46,0.59,-337054720,-0.22,871283456,0.56,-1208338176,-0.77,-1492370688,-0.95,1826604032,1.17
