日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0825,新零售,879.55,-0.35000000000000003,-1103232352,-6.12,-532853872,-2.96,-570378480,-3.17,-10083840,-0.06,1113315840,6.18
2023-09-04,BK0825,新零售,892.71,1.4,1200769440,3.48,564432288,1.64,636337152,1.84,-680488448,-1.97,-520281344,-1.51
2023-08-31,BK0825,新零售,864.74,-0.9,-1089917104,-4.57,-652104368,-2.74,-437812736,-1.84,66078976,0.28,1023838208,4.3
2023-08-29,BK0825,新零售,873.81,2.15,-1510416,-0.01,223961840,0.88,-225472256,-0.89,-327910656,-1.29,329421056,1.3
2023-08-28,BK0825,新零售,855.39,0.5700000000000001,-2218352640,-6.47,-749543936,-2.19,-1468808704,-4.28,320560896,0.93,1897792256,5.53
2023-08-25,BK0825,新零售,850.58,-2.01,-1505551824,-7.06,-801253664,-3.76,-704298160,-3.3,193275392,0.91,1312276736,6.15
2023-08-24,BK0825,新零售,868.03,0.8,242102928,1.15,469423504,2.22,-227320576,-1.08,-197624064,-0.94,-44479232,-0.21
2023-08-23,BK0825,新零售,861.1,-1.38,-983389696,-5.5,-174561808,-0.98,-808827888,-4.53,-203241984,-1.14,1186631936,6.64
2023-08-21,BK0825,新零售,875.83,-0.49,-902101488,-5.02,-538533408,-3.0,-363568080,-2.02,36174592,0.2,865926912,4.82
2023-08-18,BK0825,新零售,880.1,-2.47,-2556174640,-11.54,-1241521776,-5.61,-1314652864,-5.94,330355712,1.49,2225818880,10.05
2023-08-16,BK0825,新零售,892.99,-0.66,-1030390624,-5.22,-364903440,-1.85,-665487184,-3.37,118569728,0.6000000000000001,911820800,4.62
2023-08-15,BK0825,新零售,898.94,0.24,-328459712,-1.62,177129280,0.87,-505588992,-2.5,-112628736,-0.56,441088512,2.18
2023-08-14,BK0825,新零售,896.8,0.6000000000000001,-910998272,-4.39,-387820352,-1.87,-523177920,-2.52,-70775808,-0.34,981774080,4.73
2023-08-11,BK0825,新零售,891.41,-1.87,-1729752208,-8.19,-711133056,-3.37,-1018619152,-4.82,33287424,0.16,1696464896,8.03
2023-08-10,BK0825,新零售,908.36,0.21,-999365824,-4.89,-366037696,-1.79,-633328128,-3.1,83792384,0.41,915573504,4.48
2023-08-09,BK0825,新零售,906.45,-1.23,-1079140128,-5.31,-350492816,-1.73,-728647312,-3.59,57461504,0.28,1021678848,5.03
2023-08-08,BK0825,新零售,917.73,-0.31,-1024443136,-4.25,-519303168,-2.15,-505139968,-2.1,44762624,0.19,979680768,4.06
2023-08-07,BK0825,新零售,920.54,-0.77,-1783361472,-6.57,-861877184,-3.17,-921484288,-3.39,86824448,0.32,1696536832,6.25
2023-08-04,BK0825,新零售,927.7,-1.01,-1316359984,-4.11,-561547312,-1.75,-754812672,-2.36,-51088896,-0.16,1367448832,4.27
2023-08-03,BK0825,新零售,937.21,0.62,-357407632,-1.17,123616880,0.41,-481024512,-1.58,-324387840,-1.07,681795584,2.24
2023-08-02,BK0825,新零售,931.46,-0.2,-1247587552,-4.22,-253598432,-0.86,-993989120,-3.36,-81970176,-0.28,1329558016,4.49
2023-08-01,BK0825,新零售,933.33,-1.01,-2980907744,-8.35,-1155573728,-3.24,-1825334016,-5.11,62239744,0.17,2918668032,8.17
2023-07-31,BK0825,新零售,942.81,2.76,-226420992,-0.53,455228160,1.06,-681649152,-1.58,-404412672,-0.94,630833408,1.47
2023-07-28,BK0825,新零售,917.48,1.79,1256253952,3.64,1451439360,4.2,-195185408,-0.5700000000000001,-627288320,-1.82,-628965632,-1.82
2023-07-27,BK0825,新零售,901.31,-0.98,-927385360,-3.35,-350058000,-1.27,-577327360,-2.09,-11200000,-0.04,938585344,3.4
2023-07-26,BK0825,新零售,910.26,0.71,-695319872,-2.79,-122956864,-0.49,-572363008,-2.3,-87482624,-0.35000000000000003,782802176,3.14
2023-07-24,BK0825,新零售,895.45,-0.56,-1406006608,-6.41,-552656672,-2.52,-853349936,-3.89,163793152,0.75,1242213632,5.67
2023-07-21,BK0825,新零售,900.45,0.89,-150203168,-0.5700000000000001,5412064,0.02,-155615232,-0.59,-125324032,-0.47,275527168,1.04
2023-07-20,BK0825,新零售,892.49,1.14,49184560,0.21,189913136,0.81,-140728576,-0.6000000000000001,-160441344,-0.68,111256832,0.47
2023-07-19,BK0825,新零售,882.44,1.06,-403251184,-1.99,-41861360,-0.21,-361389824,-1.78,81786112,0.4,321465344,1.59
2023-07-17,BK0825,新零售,866.7,-0.43,-1436519008,-8.77,-553909696,-3.38,-882609312,-5.39,52664064,0.32,1383854848,8.44
2023-07-14,BK0825,新零售,870.41,-0.28,-564120928,-2.78,-234391648,-1.15,-329729280,-1.62,262647808,1.29,301473024,1.48
2023-07-13,BK0825,新零售,872.84,0.8200000000000001,587647360,2.97,554048640,2.8,33598720,0.17,-365708544,-1.85,-221938944,-1.12
2023-07-12,BK0825,新零售,865.73,-1.0,-115011648,-0.6900000000000001,26783648,0.16,-141795296,-0.85,-119336448,-0.71,234348032,1.4
2023-07-11,BK0825,新零售,874.49,0.25,-434385488,-3.19,-153466752,-1.13,-280918736,-2.06,-91485696,-0.67,525871104,3.86
2023-07-10,BK0825,新零售,872.3,0.6000000000000001,-595064864,-3.48,-145176416,-0.85,-449888448,-2.63,341368832,1.99,253696000,1.48
2023-07-07,BK0825,新零售,867.1,0.5,549753648,3.28,366678128,2.19,183075520,1.09,-305193472,-1.82,-244560128,-1.46
2023-07-06,BK0825,新零售,862.82,-0.11,-249054736,-1.64,-178544240,-1.18,-70510496,-0.46,-273633024,-1.8,522687488,3.44
2023-07-05,BK0825,新零售,863.79,-0.8300000000000001,-1011864768,-6.6,-581557328,-3.79,-430307440,-2.8,240559104,1.57,771305728,5.03
2023-07-04,BK0825,新零售,871.06,-0.06,-390303584,-2.29,-131046848,-0.77,-259256736,-1.52,-73919488,-0.43,464223232,2.72
2023-07-03,BK0825,新零售,871.59,1.38,1099650592,4.91,521623584,2.33,578027008,2.58,-411239680,-1.84,-688411136,-3.07
2023-06-30,BK0825,新零售,859.7,1.2,-31527408,-0.17,206405184,1.13,-237932592,-1.3,12930048,0.07,18597376,0.1
2023-06-29,BK0825,新零售,849.47,0.32,-644152864,-4.01,-138402448,-0.86,-505750416,-3.15,-31779584,-0.2,675932416,4.21
2023-06-28,BK0825,新零售,846.75,-0.07,-552198032,-3.18,-319211136,-1.84,-232986896,-1.34,117259264,0.67,434938880,2.5
2023-06-27,BK0825,新零售,847.34,2.43,334546096,1.75,485707968,2.54,-151161872,-0.79,-224350208,-1.17,-110195712,-0.58
2023-06-26,BK0825,新零售,827.23,-2.07,-1400095216,-7.05,-928103440,-4.67,-471991776,-2.38,250764544,1.26,1149330688,5.79
2023-06-21,BK0825,新零售,844.7,-1.38,-1398348928,-7.66,-724817440,-3.97,-673531488,-3.69,307445248,1.6800000000000002,1090903552,5.98
2023-06-20,BK0825,新零售,856.51,-1.08,-1182090496,-5.48,-664203008,-3.08,-517887488,-2.4,-11377408,-0.05,1193467648,5.53
2023-06-19,BK0825,新零售,865.82,-1.56,-1389007328,-5.5,-708552160,-2.81,-680455168,-2.7,-89499392,-0.35000000000000003,1478506752,5.86
2023-06-16,BK0825,新零售,879.56,0.02,226480304,0.95,271642032,1.14,-45161728,-0.19,-290314496,-1.22,63834368,0.27
